round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,res9,brain_tumor,0.1,0,base.2,1.000000
1,0,res9,brain_tumor,0.1,1,base.6,1.000000
1,0,res9,brain_tumor,0.1,2,base.7,1.000000
1,0,res9,brain_tumor,0.1,3,base.11,1.000000
1,0,res9,brain_tumor,0.1,4,base.15,1.000000
1,0,res9,brain_tumor,0.1,5,base.16,1.000000
1,0,res9,brain_tumor,0.1,6,base.17,1.000000
1,0,res9,brain_tumor,0.1,7,base.18,1.000000
1,0,res9,brain_tumor,0.1,8,classifier,1.000000
1,4,res9,brain_tumor,0.1,0,base.2,0.994279
1,4,res9,brain_tumor,0.1,1,base.6,0.987918
1,4,res9,brain_tumor,0.1,2,base.7,0.977453
1,4,res9,brain_tumor,0.1,3,base.11,0.956741
1,4,res9,brain_tumor,0.1,4,base.15,0.933323
1,4,res9,brain_tumor,0.1,5,base.16,0.905590
1,4,res9,brain_tumor,0.1,6,base.17,0.718104
1,4,res9,brain_tumor,0.1,7,base.18,0.718104
1,4,res9,brain_tumor,0.1,8,classifier,0.686931
1,1,res9,brain_tumor,0.1,0,base.2,0.989621
1,1,res9,brain_tumor,0.1,1,base.6,0.972915
1,1,res9,brain_tumor,0.1,2,base.7,0.967467
1,1,res9,brain_tumor,0.1,3,base.11,0.964266
1,1,res9,brain_tumor,0.1,4,base.15,0.957060
1,1,res9,brain_tumor,0.1,5,base.16,0.946589
1,1,res9,brain_tumor,0.1,6,base.17,0.781203
1,1,res9,brain_tumor,0.1,7,base.18,0.781203
1,1,res9,brain_tumor,0.1,8,classifier,0.621527
1,6,res9,brain_tumor,0.1,0,base.2,0.993252
1,6,res9,brain_tumor,0.1,1,base.6,0.984539
1,6,res9,brain_tumor,0.1,2,base.7,0.983068
1,6,res9,brain_tumor,0.1,3,base.11,0.971319
1,6,res9,brain_tumor,0.1,4,base.15,0.966831
1,6,res9,brain_tumor,0.1,5,base.16,0.965062
1,6,res9,brain_tumor,0.1,6,base.17,0.914338
1,6,res9,brain_tumor,0.1,7,base.18,0.914338
