round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,res9,brain_tumor,0.1,0,base.2,0.998182
1,0,1,res9,brain_tumor,0.1,1,base.6,0.958491
1,0,1,res9,brain_tumor,0.1,2,base.7,0.924942
1,0,1,res9,brain_tumor,0.1,3,base.11,0.916720
1,0,1,res9,brain_tumor,0.1,4,base.15,0.799971
1,0,1,res9,brain_tumor,0.1,5,base.16,0.595054
1,0,1,res9,brain_tumor,0.1,6,base.17,0.595054
1,0,1,res9,brain_tumor,0.1,7,base.18,0.595054
1,0,1,res9,brain_tumor,0.1,8,classifier,0.161614
1,0,2,res9,brain_tumor,0.1,0,base.2,0.999152
1,0,2,res9,brain_tumor,0.1,1,base.6,0.951526
1,0,2,res9,brain_tumor,0.1,2,base.7,0.760240
1,0,2,res9,brain_tumor,0.1,3,base.11,0.646241
1,0,2,res9,brain_tumor,0.1,4,base.15,0.487090
1,0,2,res9,brain_tumor,0.1,5,base.16,0.314748
1,0,2,res9,brain_tumor,0.1,6,base.17,0.314748
1,0,2,res9,brain_tumor,0.1,7,base.18,0.314748
1,0,2,res9,brain_tumor,0.1,8,classifier,0.067419
1,0,3,res9,brain_tumor,0.1,0,base.2,0.979790
1,0,3,res9,brain_tumor,0.1,1,base.6,0.905173
1,0,3,res9,brain_tumor,0.1,2,base.7,0.781220
1,0,3,res9,brain_tumor,0.1,3,base.11,0.712758
1,0,3,res9,brain_tumor,0.1,4,base.15,0.527542
1,0,3,res9,brain_tumor,0.1,5,base.16,0.352869
1,0,3,res9,brain_tumor,0.1,6,base.17,0.352869
1,0,3,res9,brain_tumor,0.1,7,base.18,0.352869
1,0,3,res9,brain_tumor,0.1,8,classifier,0.079076
1,0,4,res9,brain_tumor,0.1,0,base.2,0.997559
1,0,4,res9,brain_tumor,0.1,1,base.6,0.992244
1,0,4,res9,brain_tumor,0.1,2,base.7,0.974997
1,0,4,res9,brain_tumor,0.1,3,base.11,0.963345
1,0,4,res9,brain_tumor,0.1,4,base.15,0.849602
1,0,4,res9,brain_tumor,0.1,5,base.16,0.613231
1,0,4,res9,brain_tumor,0.1,6,base.17,0.613231
1,0,4,res9,brain_tumor,0.1,7,base.18,0.613231
1,0,4,res9,brain_tumor,0.1,8,classifier,0.187523
1,0,5,res9,brain_tumor,0.1,0,base.2,0.996028
1,0,5,res9,brain_tumor,0.1,1,base.6,0.978229
1,0,5,res9,brain_tumor,0.1,2,base.7,0.904558
1,0,5,res9,brain_tumor,0.1,3,base.11,0.905607
1,0,5,res9,brain_tumor,0.1,4,base.15,0.842570
1,0,5,res9,brain_tumor,0.1,5,base.16,0.690374
1,0,5,res9,brain_tumor,0.1,6,base.17,0.690374
1,0,5,res9,brain_tumor,0.1,7,base.18,0.690374
1,0,5,res9,brain_tumor,0.1,8,classifier,0.414918
1,0,6,res9,brain_tumor,0.1,0,base.2,0.967704
1,0,6,res9,brain_tumor,0.1,1,base.6,0.864994
1,0,6,res9,brain_tumor,0.1,2,base.7,0.700700
1,0,6,res9,brain_tumor,0.1,3,base.11,0.593025
1,0,6,res9,brain_tumor,0.1,4,base.15,0.588740
1,0,6,res9,brain_tumor,0.1,5,base.16,0.583350
1,0,6,res9,brain_tumor,0.1,6,base.17,0.583350
1,0,6,res9,brain_tumor,0.1,7,base.18,0.583350
1,0,6,res9,brain_tumor,0.1,8,classifier,0.487586
1,0,7,res9,brain_tumor,0.1,0,base.2,0.995570
1,0,7,res9,brain_tumor,0.1,1,base.6,0.912517
1,0,7,res9,brain_tumor,0.1,2,base.7,0.767100
1,0,7,res9,brain_tumor,0.1,3,base.11,0.557769
1,0,7,res9,brain_tumor,0.1,4,base.15,0.428872
1,0,7,res9,brain_tumor,0.1,5,base.16,0.405994
1,0,7,res9,brain_tumor,0.1,6,base.17,0.405994
1,0,7,res9,brain_tumor,0.1,7,base.18,0.405994
1,0,7,res9,brain_tumor,0.1,8,classifier,0.124168
1,0,8,res9,brain_tumor,0.1,0,base.2,0.998761
1,0,8,res9,brain_tumor,0.1,1,base.6,0.979997
1,0,8,res9,brain_tumor,0.1,2,base.7,0.804663
1,0,8,res9,brain_tumor,0.1,3,base.11,0.632861
1,0,8,res9,brain_tumor,0.1,4,base.15,0.418214
1,0,8,res9,brain_tumor,0.1,5,base.16,0.312978
1,0,8,res9,brain_tumor,0.1,6,base.17,0.312978
1,0,8,res9,brain_tumor,0.1,7,base.18,0.312978
1,0,8,res9,brain_tumor,0.1,8,classifier,0.105203
1,0,9,res9,brain_tumor,0.1,0,base.2,0.985659
1,0,9,res9,brain_tumor,0.1,1,base.6,0.889938
1,0,9,res9,brain_tumor,0.1,2,base.7,0.749655
1,0,9,res9,brain_tumor,0.1,3,base.11,0.776281
1,0,9,res9,brain_tumor,0.1,4,base.15,0.633364
1,0,9,res9,brain_tumor,0.1,5,base.16,0.446796
1,0,9,res9,brain_tumor,0.1,6,base.17,0.446796
1,0,9,res9,brain_tumor,0.1,7,base.18,0.446796
1,0,9,res9,brain_tumor,0.1,8,classifier,0.125697
1,1,2,res9,brain_tumor,0.1,0,base.2,0.999395
1,1,2,res9,brain_tumor,0.1,1,base.6,0.987384
1,1,2,res9,brain_tumor,0.1,2,base.7,0.883788
1,1,2,res9,brain_tumor,0.1,3,base.11,0.671812
1,1,2,res9,brain_tumor,0.1,4,base.15,0.366509
1,1,2,res9,brain_tumor,0.1,5,base.16,0.213621
1,1,2,res9,brain_tumor,0.1,6,base.17,0.213621
1,1,2,res9,brain_tumor,0.1,7,base.18,0.213621
1,1,2,res9,brain_tumor,0.1,8,classifier,0.094055
1,1,3,res9,brain_tumor,0.1,0,base.2,0.977427
1,1,3,res9,brain_tumor,0.1,1,base.6,0.855758
1,1,3,res9,brain_tumor,0.1,2,base.7,0.778586
1,1,3,res9,brain_tumor,0.1,3,base.11,0.687292
1,1,3,res9,brain_tumor,0.1,4,base.15,0.691573
1,1,3,res9,brain_tumor,0.1,5,base.16,0.560964
1,1,3,res9,brain_tumor,0.1,6,base.17,0.560964
1,1,3,res9,brain_tumor,0.1,7,base.18,0.560964
1,1,3,res9,brain_tumor,0.1,8,classifier,0.242994
1,1,4,res9,brain_tumor,0.1,0,base.2,0.992727
1,1,4,res9,brain_tumor,0.1,1,base.6,0.952642
1,1,4,res9,brain_tumor,0.1,2,base.7,0.955399
1,1,4,res9,brain_tumor,0.1,3,base.11,0.918778
1,1,4,res9,brain_tumor,0.1,4,base.15,0.769446
1,1,4,res9,brain_tumor,0.1,5,base.16,0.736214
1,1,4,res9,brain_tumor,0.1,6,base.17,0.736214
1,1,4,res9,brain_tumor,0.1,7,base.18,0.736214
1,1,4,res9,brain_tumor,0.1,8,classifier,0.461998
1,1,5,res9,brain_tumor,0.1,0,base.2,0.999433
1,1,5,res9,brain_tumor,0.1,1,base.6,0.964563
1,1,5,res9,brain_tumor,0.1,2,base.7,0.924169
1,1,5,res9,brain_tumor,0.1,3,base.11,0.881036
1,1,5,res9,brain_tumor,0.1,4,base.15,0.844070
1,1,5,res9,brain_tumor,0.1,5,base.16,0.661040
1,1,5,res9,brain_tumor,0.1,6,base.17,0.661040
1,1,5,res9,brain_tumor,0.1,7,base.18,0.661040
1,1,5,res9,brain_tumor,0.1,8,classifier,0.314250
1,1,6,res9,brain_tumor,0.1,0,base.2,0.974954
1,1,6,res9,brain_tumor,0.1,1,base.6,0.897163
1,1,6,res9,brain_tumor,0.1,2,base.7,0.815529
1,1,6,res9,brain_tumor,0.1,3,base.11,0.669828
1,1,6,res9,brain_tumor,0.1,4,base.15,0.389116
1,1,6,res9,brain_tumor,0.1,5,base.16,0.281673
1,1,6,res9,brain_tumor,0.1,6,base.17,0.281673
1,1,6,res9,brain_tumor,0.1,7,base.18,0.281673
1,1,6,res9,brain_tumor,0.1,8,classifier,0.284013
1,1,7,res9,brain_tumor,0.1,0,base.2,0.998559
1,1,7,res9,brain_tumor,0.1,1,base.6,0.930404
1,1,7,res9,brain_tumor,0.1,2,base.7,0.855513
1,1,7,res9,brain_tumor,0.1,3,base.11,0.601252
1,1,7,res9,brain_tumor,0.1,4,base.15,0.466071
1,1,7,res9,brain_tumor,0.1,5,base.16,0.529816
1,1,7,res9,brain_tumor,0.1,6,base.17,0.529816
1,1,7,res9,brain_tumor,0.1,7,base.18,0.529816
1,1,7,res9,brain_tumor,0.1,8,classifier,0.738177
1,1,8,res9,brain_tumor,0.1,0,base.2,0.994548
1,1,8,res9,brain_tumor,0.1,1,base.6,0.980193
1,1,8,res9,brain_tumor,0.1,2,base.7,0.894618
1,1,8,res9,brain_tumor,0.1,3,base.11,0.634535
1,1,8,res9,brain_tumor,0.1,4,base.15,0.364659
