round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,27.1309,13.7773,13.1975,26.7627,0,0.090639,0.055383,1.40279,0.654469,1.074909,0.477157,0.001354,0.000827,0.000548,0.000255,0.023729,0.010534,0.448394,0.115201,0.125629,100.0,0.0,100.0,27.1601
2,0.00999014,25.2925,10.0934,6.3231,25.0,0,0.162729,0.149751,1.799095,1.045305,1.105938,0.745937,0.002431,0.002237,0.000702,0.000408,0.024414,0.016467,0.514312,0.111657,0.073241,100.0,0.0,100.0,27.6084
3,0.00996061,25.3482,10.1111,6.337,25.0,0,0.132973,0.065788,1.485859,0.584205,1.315999,1.128059,0.001987,0.000983,0.00058,0.000228,0.029051,0.024903,0.48543,0.149993,0.131196,100.0,0.0,100.0,27.8139
4,0.00991152,25.2925,10.0934,6.3231,25.0,0,0.41838,0.251214,2.496357,1.374064,2.367706,1.318112,0.006251,0.003753,0.000974,0.000536,0.052268,0.029098,0.543586,0.182851,0.437065,100.0,0.0,100.0,33.3929
5,0.00984307,25.3482,10.1111,6.337,25.0,0,0.259968,0.21609,2.187037,2.005854,1.682245,1.865188,0.003884,0.003228,0.000854,0.000783,0.037136,0.041175,0.404063,0.114825,0.231087,100.0,0.0,100.0,27.8523
6,0.00975553,28.3008,15.7511,30.6339,28.0405,0,0.310099,0.144347,1.614294,0.766839,1.891493,1.178405,0.004633,0.002157,0.00063,0.000299,0.041756,0.026014,0.477919,0.207205,0.347199,100.0,0.0,100.0,27.5948
7,0.00964923,25.3482,10.1111,6.337,25.0,0,0.212176,0.202774,1.917081,2.610064,1.303313,1.435038,0.00317,0.00303,0.000748,0.001019,0.028771,0.031679,0.179922,0.068808,0.0709,100.0,0.0,100.0,28.27
8,0.00952461,35.0418,25.0132,30.8221,34.8561,0,0.316385,0.144241,1.399562,0.675262,1.836176,1.145851,0.004727,0.002155,0.000546,0.000264,0.040535,0.025295,0.49273,0.211303,0.348765,100.0,0.0,100.0,27.9336
9,0.00938215,25.6267,11.2107,9.3441,25.2877,0,0.191063,0.147715,1.224942,0.747858,1.212416,1.103063,0.002855,0.002207,0.000478,0.000292,0.026765,0.024351,0.215774,0.09139,0.086677,50.0,50.0,100.0,13.62
10,0.00922242,31.1978,20.2386,30.8282,30.9697,0,0.215439,0.098103,1.445937,0.695088,1.127799,0.592458,0.003219,0.001466,0.000564,0.000271,0.024897,0.013079,0.315234,0.218755,0.179987,100.0,0.0,100.0,28.0609
11,0.00904604,25.6825,10.83,29.5976,25.3349,0,0.180857,0.097195,1.065079,0.489994,1.047406,0.718525,0.002702,0.001452,0.000416,0.000191,0.023122,0.015862,0.144249,0.158965,-0.025935,75.0,25.0,100.0,21.2864
12,0.00885371,39.0529,29.074,30.5918,38.9188,0,0.229573,0.113305,1.176905,0.526971,1.535377,0.952576,0.00343,0.001693,0.000459,0.000206,0.033894,0.021029,0.354115,0.154258,0.274595,100.0,0.0,100.0,27.7183
13,0.0086462,25.5153,10.4642,18.8583,25.1652,0,0.193392,0.114216,1.047056,0.514841,1.052202,0.866104,0.002889,0.001706,0.000409,0.000201,0.023228,0.01912,0.092521,0.047642,0.003103,50.0,50.0,100.0,14.4903
14,0.00842431,38.9972,30.0443,38.0773,38.8735,0,0.245224,0.110351,1.096341,0.475196,1.291325,0.780439,0.003664,0.001649,0.000428,0.000185,0.028507,0.017229,0.274645,0.124079,0.228942,100.0,0.0,100.0,28.0292
15,0.00818893,27.6323,15.7443,45.6261,27.2791,0,0.166591,0.088031,1.089739,0.514841,0.906344,0.63292,0.002489,0.001315,0.000425,0.000201,0.020008,0.013972,0.097305,0.083886,-0.040047,50.0,50.0,100.0,13.5474
16,0.00794099,38.6072,29.237,42.3396,38.4704,0,0.187298,0.085949,1.199172,0.569275,1.032658,0.618197,0.002798,0.001284,0.000468,0.000222,0.022796,0.013647,0.252182,0.129484,0.147974,100.0,0.0,100.0,28.2384
17,0.00768145,31.3092,21.1573,25.8521,30.9287,0,0.177344,0.092736,1.073472,0.439194,0.921221,0.611053,0.00265,0.001386,0.000419,0.000171,0.020336,0.013489,0.114741,0.087628,-0.024457,50.0,50.0,100.0,13.6191
18,0.00741136,39.3872,29.4369,30.5363,39.2591,0,0.215033,0.102855,1.151555,0.539353,1.298248,0.812711,0.003213,0.001537,0.000449,0.000211,0.02866,0.017941,0.279136,0.118766,0.21287,100.0,0.0,100.0,28.2126
19,0.00713177,27.7437,15.6291,36.8971,27.3753,0,0.193942,0.113428,1.060032,0.455619,0.936333,0.666935,0.002898,0.001695,0.000414,0.000178,0.02067,0.014723,0.159741,0.076634,0.015218,50.0,50.0,100.0,16.8433
20,0.00684378,43.1755,32.3663,46.6306,43.1151,0,0.195794,0.089811,1.226893,0.530963,0.9519,0.564156,0.002925,0.001342,0.000479,0.000207,0.021014,0.012454,0.187029,0.114228,0.122454,100.0,0.0,100.0,28.2113
21,0.00654854,28.3565,16.9783,22.3852,28.0306,0,0.189302,0.096887,1.054986,0.573014,0.903274,0.573458,0.002828,0.001448,0.000412,0.000224,0.01994,0.012659,0.06064,0.054141,-0.051343,50.0,50.0,100.0,13.6904
22,0.00624721,41.0585,30.8,30.823,40.9471,0,0.216505,0.119097,1.27761,0.594105,1.183327,0.694687,0.003235,0.001779,0.000499,0.000232,0.026123,0.015336,0.248472,0.173522,0.186867,100.0,0.0,100.0,28.9161
23,0.00594097,26.1838,13.2872,33.4142,26.5488,0,0.202841,0.109716,1.036716,0.552163,0.931681,0.598486,0.003031,0.001639,0.000405,0.000216,0.020567,0.013212,0.001185,0.070057,-0.065246,50.0,50.0,100.0,16.9473
24,0.00563104,39.1086,29.1361,30.4352,38.9776,0,0.224364,0.112913,1.610208,0.642939,1.196568,0.682372,0.003352,0.001687,0.000629,0.000251,0.026415,0.015064,0.290839,0.24801,0.180941,50.0,50.0,100.0,14.1937
25,0.00531864,42.8412,36.495,36.4508,42.5813,0,0.197159,0.106061,0.93339,0.397111,0.905863,0.540068,0.002946,0.001585,0.000364,0.000155,0.019997,0.011922,-0.006061,0.06263,-0.08514,50.0,50.0,100.0,16.1861
26,0.005005,44.1783,38.3246,48.5202,44.1285,0,0.216382,0.116895,1.158294,0.498306,1.105634,0.742754,0.003233,0.001746,0.000452,0.000195,0.024407,0.016397,0.198946,0.099377,0.176717,50.0,50.0,100.0,14.1578
27,0.00469136,27.8552,15.3543,33.0388,27.485,0,0.178381,0.094835,1.041985,0.403292,0.862518,0.544095,0.002665,0.001417,0.000407,0.000157,0.019041,0.012011,0.067569,0.086612,-0.071978,25.0,75.0,100.0,7.0639
