round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,res9,brain_tumor,0.1,0,base.2,0.990099
1,1,res9,brain_tumor,0.1,1,base.6,0.971222
1,1,res9,brain_tumor,0.1,2,base.7,0.958003
1,1,res9,brain_tumor,0.1,3,base.11,0.947854
1,1,res9,brain_tumor,0.1,4,base.15,0.942031
1,1,res9,brain_tumor,0.1,5,base.16,0.937618
1,1,res9,brain_tumor,0.1,6,base.17,0.675636
1,1,res9,brain_tumor,0.1,7,base.18,0.675636
1,1,res9,brain_tumor,0.1,8,classifier,0.486359
1,0,res9,brain_tumor,0.1,0,base.2,0.988197
1,0,res9,brain_tumor,0.1,1,base.6,0.982603
1,0,res9,brain_tumor,0.1,2,base.7,0.960071
1,0,res9,brain_tumor,0.1,3,base.11,0.916801
1,0,res9,brain_tumor,0.1,4,base.15,0.785646
1,0,res9,brain_tumor,0.1,5,base.16,0.659153
1,0,res9,brain_tumor,0.1,6,base.17,0.418793
1,0,res9,brain_tumor,0.1,7,base.18,0.418793
1,0,res9,brain_tumor,0.1,8,classifier,0.138875
1,4,res9,brain_tumor,0.1,0,base.2,0.995095
1,4,res9,brain_tumor,0.1,1,base.6,0.985037
1,4,res9,brain_tumor,0.1,2,base.7,0.975083
1,4,res9,brain_tumor,0.1,3,base.11,0.964874
1,4,res9,brain_tumor,0.1,4,base.15,0.948715
1,4,res9,brain_tumor,0.1,5,base.16,0.936779
1,4,res9,brain_tumor,0.1,6,base.17,0.597971
1,4,res9,brain_tumor,0.1,7,base.18,0.597971
1,4,res9,brain_tumor,0.1,8,classifier,0.089822
1,9,res9,brain_tumor,0.1,0,base.2,0.995127
1,9,res9,brain_tumor,0.1,1,base.6,0.985159
1,9,res9,brain_tumor,0.1,2,base.7,0.972685
1,9,res9,brain_tumor,0.1,3,base.11,0.939940
1,9,res9,brain_tumor,0.1,4,base.15,0.877311
1,9,res9,brain_tumor,0.1,5,base.16,0.850643
1,9,res9,brain_tumor,0.1,6,base.17,0.808426
1,9,res9,brain_tumor,0.1,7,base.18,0.808426
1,9,res9,brain_tumor,0.1,8,classifier,0.543436
1,6,res9,brain_tumor,0.1,0,base.2,0.986225
1,6,res9,brain_tumor,0.1,1,base.6,0.976811
1,6,res9,brain_tumor,0.1,2,base.7,0.939564
