epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.501113585746104,10.523897058823529,6.684179801517804,24.73002159827214,70.0445434298441,69.99971729436994,70.49631983398885,70.26205486082203
1,24.832962138084632,9.968708091193562,6.225572305974316,25.0,65.31180400890868,64.96606184198147,66.93613212390873,65.52254581624989
2,39.81069042316258,33.32150324425797,48.442692375858584,39.56389646852631,64.19821826280624,63.67426306370826,66.51105825349241,64.51611205456852
3,55.73496659242762,54.4598673853052,76.10228316224902,55.86780144716504,76.67037861915368,76.67794010286455,77.12716353659684,76.83668675408038
4,68.54120267260579,69.43205612188112,76.96294321769909,68.62861723200824,73.21826280623608,72.62026807660462,74.61434789560649,73.5110675373495
5,72.49443207126949,72.25204791830701,78.83783487624943,72.70403095208,68.76391982182628,68.7293326703361,71.10642907101867,69.00629856548757
6,77.2271714922049,77.54692368038637,79.77355283050983,77.41672437215706,72.66146993318485,72.5669012937978,74.37549525267077,73.01307685302525
7,76.94877505567929,77.13042816749049,78.31433728270824,77.09998924061358,70.26726057906458,69.43122281928818,72.70865170695241,70.71535866455159
8,73.2739420935412,72.82776547764553,79.4845205758633,73.5064416530212,66.25835189309576,66.39152386617131,70.5537876058709,66.65041093072898
9,80.23385300668151,80.4909553686345,81.99826980632882,80.3901917927263,75.0,74.85411504013261,75.91470076704702,75.34678802766543
10,77.06013363028953,77.1582842189453,81.55524531991827,77.19843567166632,60.18930957683742,59.06204747769826,59.63704550210941,60.47969772707684
11,75.05567928730513,74.81194123278642,81.51529890661394,75.28821075160138,71.60356347438753,71.3710232510484,73.70264733946323,72.0852398830854
12,78.78619153674833,79.17347210599965,83.66435099332173,78.95916833650077,69.87750556792874,70.09386175977295,73.81586232192429,70.15213350876938
13,77.11581291759465,76.8186086388085,83.1731991367587,77.41814785377015,72.66146993318485,72.60731157419774,73.93830677576211,72.96755293977434
14,82.07126948775056,82.3801564447372,84.47069268592425,82.14893173766711,70.26726057906458,69.63009285036799,71.7566833323506,70.45642747157679
15,79.84409799554567,80.00523323644614,83.60234657012829,79.99638348589853,77.33853006681515,77.18158462081897,78.03954620967215,77.7064728401723
16,83.40757238307349,83.58048435595349,84.71897267498721,83.5647766423646,77.78396436525613,78.06570355518134,78.74613444763821,77.928944270111
