round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,43.3259,36.066,49.9065,43.1075,0,0.633886,0.021231,2.71335,0.089434,0.756169,0.046313,0.00947,0.000317,0.001059,3.5e-05,0.016693,0.001022,0.984131,0.638135,0.803993,39.0942,24.2938,63.388,11.0021
2,0.00999014,40.3226,31.5874,51.6445,42.0809,0,0.139115,0.011481,1.722306,0.134734,0.314484,0.054485,0.002078,0.000172,0.000672,5.3e-05,0.006942,0.001203,0.816653,0.364144,0.387975,50.5981,21.4689,72.067,14.592
3,0.00996061,58.4538,57.3674,78.373,59.0292,0,0.142858,0.007376,1.403178,0.095031,0.270273,0.033011,0.002134,0.00011,0.000548,3.7e-05,0.005966,0.000729,0.822693,0.309405,0.347592,24.1076,42.3729,66.4804,6.9754
4,0.00991152,71.6352,71.8223,79.6435,71.671,0,0.136874,0.007872,1.305367,0.04908,0.259579,0.031885,0.002045,0.000118,0.00051,1.9e-05,0.00573,0.000704,0.799783,0.257305,0.227615,40.9561,26.257,67.2131,14.059
5,0.00984307,63.2925,60.3749,78.0129,63.2589,0,0.140572,0.012477,1.318115,0.169777,0.25563,0.0325,0.0021,0.000186,0.000514,6.6e-05,0.005643,0.000717,0.755968,0.194728,0.227619,32.7119,37.2881,70.0,11.8144
6,0.00975553,70.5784,71.0202,81.4313,70.9295,0,0.133984,0.010341,1.218512,0.06798,0.232321,0.017637,0.002002,0.000155,0.000476,2.7e-05,0.005129,0.000389,0.731671,0.207029,0.248726,50.2793,24.581,74.8603,15.5813
7,0.00964923,76.7519,77.3431,81.7229,76.676,0,0.124991,0.0119,1.179112,0.120703,0.227724,0.024556,0.001867,0.000178,0.00046,4.7e-05,0.005027,0.000542,0.737188,0.168521,0.216218,43.3333,26.6667,70.0,13.1277
8,0.00952461,82.2581,81.9536,82.3619,82.0473,0,0.129158,0.012536,1.193753,0.092209,0.229848,0.027703,0.00193,0.000187,0.000466,3.6e-05,0.005074,0.000612,0.681316,0.144731,0.156605,44.5587,24.2938,68.8525,14.9187
9,0.00938215,69.911,68.3773,79.1702,69.6749,0,0.115533,0.009544,1.146407,0.098879,0.223126,0.02605,0.001726,0.000143,0.000447,3.9e-05,0.004926,0.000575,0.658127,0.146422,0.190942,35.1448,30.6011,65.7459,12.3098
10,0.00922242,74.7497,72.8242,80.1892,74.7244,0,0.122729,0.008979,1.138171,0.093768,0.242435,0.047837,0.001834,0.000134,0.000444,3.7e-05,0.005352,0.001056,0.629374,0.126238,0.157959,44.3017,25.6983,70.0,16.888
11,0.00904604,78.8098,78.2561,80.4941,78.1889,0,0.111476,0.009859,1.110366,0.07439,0.220646,0.019073,0.001665,0.000147,0.000433,2.9e-05,0.004871,0.000421,0.639136,0.109753,0.204624,45.5828,20.339,65.9218,15.2789
12,0.00885371,80.8676,80.7684,83.3566,80.4641,0,0.115092,0.016527,1.148322,0.107892,0.208957,0.022233,0.00172,0.000247,0.000448,4.2e-05,0.004613,0.000491,0.603879,0.123629,0.219078,44.7813,28.9617,73.743,14.4857
13,0.0086462,78.3648,77.6796,79.7757,77.6911,0,0.110014,0.01429,1.101997,0.128966,0.200353,0.026095,0.001644,0.000213,0.00043,5e-05,0.004423,0.000576,0.614869,0.100747,0.20352,49.923,32.0442,81.9672,14.7238
14,0.00842431,75.4171,73.058,79.018,75.2362,0,0.111012,0.013068,1.107678,0.085999,0.206559,0.020807,0.001659,0.000195,0.000432,3.4e-05,0.00456,0.000459,0.606558,0.094159,0.154689,56.1847,22.3464,78.5311,19.0129
15,0.00818893,82.7586,82.5437,84.1827,82.3434,0,0.114844,0.015064,1.179027,0.147479,0.192308,0.017503,0.001716,0.000225,0.00046,5.8e-05,0.004245,0.000386,0.551353,0.09369,0.188993,47.354,27.2222,74.5763,15.3966
16,0.00794099,81.1457,80.9801,83.3156,80.6984,0,0.111126,0.013347,1.163945,0.081375,0.193611,0.029327,0.00166,0.000199,0.000454,3.2e-05,0.004274,0.000647,0.546136,0.108206,0.163983,48.7407,31.1475,79.8883,14.4382
17,0.00768145,76.8632,76.3564,81.5825,76.492,0,0.110748,0.011512,1.131071,0.106722,0.20234,0.026551,0.001655,0.000172,0.000441,4.2e-05,0.004467,0.000586,0.585139,0.075897,0.143847,41.5487,37.2222,78.7709,13.0503
18,0.00741136,78.6429,78.3737,82.5302,78.2458,0,0.113953,0.014007,1.139147,0.080748,0.200724,0.02552,0.001702,0.000209,0.000445,3.2e-05,0.004431,0.000563,0.547974,0.064718,0.122643,51.5363,23.4637,75.0,14.8216
19,0.00713177,79.1991,77.3252,81.4416,78.4989,0,0.105821,0.011827,1.096489,0.079467,0.205691,0.025826,0.001581,0.000177,0.000428,3.1e-05,0.004541,0.00057,0.550003,0.067479,0.225056,45.1565,28.1768,73.3333,12.4451
20,0.00684378,82.1468,80.8056,83.7683,81.5822,0,0.114692,0.01476,1.126236,0.100784,0.17972,0.022897,0.001714,0.000221,0.00044,3.9e-05,0.003967,0.000505,0.553094,0.067121,0.203438,25.1213,49.1803,74.3017,8.578
21,0.00654854,82.5362,82.3479,84.6028,82.1144,0,0.113475,0.008096,1.149411,0.081579,0.189561,0.03094,0.001695,0.000121,0.000449,3.2e-05,0.004185,0.000683,0.569421,0.062641,0.176258,54.3327,25.5556,79.8883,15.9982
22,0.00624721,84.9833,83.7897,85.4683,84.5598,0,0.112832,0.014462,1.166617,0.113403,0.180852,0.01863,0.001686,0.000216,0.000455,4.4e-05,0.003992,0.000411,0.523205,0.043999,0.169264,66.1017,20.339,86.4407,20.667
23,0.00594097,84.6496,84.0123,85.2757,84.1913,0,0.110334,0.014055,1.158476,0.168654,0.189104,0.023935,0.001648,0.00021,0.000452,6.6e-05,0.004175,0.000528,0.551469,0.050402,0.169987,62.3173,22.5989,84.9162,21.7513
24,0.00563104,83.7597,83.7049,85.8322,83.4199,1,0.116707,0.009725,1.173318,0.074164,0.162506,0.022877,0.001744,0.000145,0.000458,2.9e-05,0.003587,0.000505,0.591681,0.060009,0.199825,45.7428,33.7017,79.4444,13.6516
