epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,24.55456570155902,14.32576617950405,22.490008001243506,24.397211290677,95.0445434298441,94.95332031299874,95.32598341818614,95.0471002680089
1,33.57461024498886,29.849255339074215,45.306471219727825,33.64584217127131,97.93986636971047,97.9243803187056,97.9435429338747,97.94169911798065
2,43.207126948775056,37.54911501897907,52.227476773420854,42.99660198293408,97.7728285077951,97.76505054580731,97.78498831934606,97.76148665732565
3,42.42761692650334,38.128642864542755,46.104922413926545,42.667958879791335,97.88418708240535,97.89189632648144,97.92866228417161,97.87880312367264
4,38.02895322939867,28.732748964024534,40.59591819837722,38.360796620789245,92.81737193763921,92.9614898085034,93.9342066878168,92.79954664631592
5,41.14699331848553,33.53026413542993,43.59459978290726,40.99768481432444,98.10690423162583,98.10484878393858,98.10793028808136,98.11169340223081
6,34.02004454342985,28.793528219915487,41.33833496465978,34.279308767547384,98.10690423162583,98.09537806461468,98.1072187176642,98.10910653268786
7,44.65478841870824,37.73569810545549,49.28850846923556,44.515298506782045,98.2739420935412,98.27313245314451,98.27549957908182,98.27948538541892
8,46.88195991091314,41.60413155315642,44.27486356007554,46.83425673518166,98.10690423162583,98.10500630071532,98.10614928383666,98.11207797071171
9,49.220489977728285,42.2998107074441,52.99142056621064,49.027643483139784,98.05122494432071,98.04763767571771,98.06029270745134,98.05564456213384
10,44.766146993318486,41.9230849101046,45.418301206972785,44.80813336254311,98.55233853006682,98.55207398310048,98.55603897443042,98.55601904229624
11,51.7260579064588,45.450159114952115,59.509499265899514,51.542645435624266,98.60801781737194,98.60762340676898,98.60912150418525,98.61057465553675
12,47.60579064587973,44.17538596873598,50.84396121069644,47.54209159027537,97.9955456570156,97.99013646320086,98.00468726926701,97.99885661645317
13,52.728285077951,49.51042255083059,59.04305643522299,52.6157091202537,98.66369710467706,98.65875159698803,98.66540120008295,98.66403662609078
14,48.88641425389755,43.80773261162882,59.56243261966303,48.84745104340353,98.10690423162583,98.1062346168111,98.11365552964342,98.11095429664711
15,41.53674832962138,39.5191483778461,43.09577198879337,41.5648301707771,98.4966592427617,98.49652782690217,98.49911562303556,98.50070930778297
16,48.10690423162583,39.359954216349344,56.90911411173617,47.966230582878794,98.66369710467706,98.6648417234854,98.66910951327434,98.66662349563371
17,46.0467706013363,38.44250449149181,45.40406247962878,45.97333720819678,98.38530066815144,98.38515654964897,98.38961758010647,98.38859661189996
