round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.909197
1,0,1,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.927786
1,0,1,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.947154
1,0,1,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.931464
1,0,1,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.921523
1,0,1,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.887619
1,0,1,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.877067
1,0,1,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.871862
1,0,1,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.871708
1,0,1,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.862190
1,0,1,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.866216
1,0,1,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.857870
1,0,1,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.847882
1,0,1,vig_tiny,brain_tumor,0.1,13,classifier,0.525306
1,0,2,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.617500
1,0,2,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.518304
1,0,2,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.369301
1,0,2,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.267074
1,0,2,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.229561
1,0,2,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.175571
1,0,2,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.144105
1,0,2,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.124786
1,0,2,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.117664
1,0,2,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.106056
