round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.907590
1,1,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.869410
1,1,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.822436
1,1,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.801436
1,1,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.769952
1,1,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.749291
1,1,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.697805
1,1,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.665815
1,1,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.653350
1,1,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.627129
1,1,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.625260
1,1,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.619106
1,1,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.576069
1,1,vig_tiny,brain_tumor,0.1,13,classifier,0.308544
1,0,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.919226
1,0,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.874027
1,0,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.820861
1,0,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.799113
1,0,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.768519
1,0,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.746222
1,0,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.696050
1,0,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.663422
1,0,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.653417
1,0,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.627428
1,0,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.627404
1,0,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.621230
1,0,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.581737
1,0,vig_tiny,brain_tumor,0.1,13,classifier,0.487079
