round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,42.4513,28.3748,46.2884,41.809,0,1.049828,0.262966,2.702811,1.650354,0.634072,0.164333,0.005088,0.001274,0.001115,0.000681,0.022821,0.005914,0.011559,0.248414,0.152021,93.2184,3.3333,96.5517,25.841
2,0.00999014,55.6546,48.0986,57.0167,54.9558,0,0.994594,0.189364,2.401139,1.478367,0.485288,0.081972,0.00482,0.000918,0.00099,0.00061,0.017466,0.00295,-0.020337,0.095887,0.091209,52.2052,46.3023,98.5075,17.2657
3,0.00996061,59.2201,52.109,59.0277,58.4342,0,1.015545,0.227683,2.411699,1.527106,0.406706,0.074452,0.004922,0.001103,0.000995,0.00063,0.014638,0.00268,-0.028223,0.039606,0.083399,31.5233,66.2379,97.7612,9.1838
4,0.00991152,61.9499,54.4212,65.8971,61.1612,0,1.011652,0.244179,2.47829,1.275543,0.384633,0.082773,0.004903,0.001183,0.001022,0.000526,0.013843,0.002979,-0.019783,0.031615,0.029847,31.6264,66.881,98.5075,8.9704
5,0.00984307,65.9053,60.4977,74.3106,65.1719,0,0.998147,0.220064,2.357222,1.164892,0.355869,0.077357,0.004837,0.001067,0.000972,0.00048,0.012808,0.002784,-0.027879,0.020633,0.038542,28.1779,68.4887,96.6667,7.9779
6,0.00975553,61.6713,54.9382,69.4251,60.919,0,1.00681,0.263378,2.396472,1.297179,0.354201,0.087994,0.004879,0.001276,0.000988,0.000535,0.012748,0.003167,-0.041388,0.016506,0.026833,31.8408,66.6667,98.5075,10.0921
7,0.00964923,64.0111,57.444,68.9207,63.2596,0,1.018069,0.257347,2.465019,1.428832,0.330435,0.100225,0.004934,0.001247,0.001017,0.000589,0.011893,0.003607,-0.034225,0.016745,0.011961,26.7001,71.0611,97.7612,7.4082
8,0.00952461,68.2451,62.5951,75.0738,67.4751,0,1.004036,0.289524,2.418916,1.264098,0.33789,0.10033,0.004866,0.001403,0.000998,0.000521,0.012161,0.003611,-0.040352,0.012558,0.008107,23.9094,74.5981,98.5075,6.5981
9,0.00938215,67.2423,63.154,76.3069,66.5747,0,0.997034,0.268638,2.476388,1.241521,0.332006,0.102968,0.004832,0.001302,0.001021,0.000512,0.011949,0.003706,-0.049332,0.013879,-0.008564,45.2817,53.2258,98.5075,13.5072
10,0.00922242,77.6602,75.5807,81.1365,77.1543,0,0.956086,0.305502,1.967254,0.569376,0.31539,0.116501,0.004634,0.001481,0.000811,0.000235,0.011351,0.004193,-0.034272,0.014583,0.007924,15.2277,83.2797,98.5075,4.2536
11,0.00904604,80.9471,80.3213,83.3938,80.6105,0,0.918251,0.287328,1.88483,0.714198,0.304568,0.091147,0.00445,0.001393,0.000777,0.000295,0.010962,0.00328,-0.041186,0.007413,-0.002743,41.5943,56.9132,98.5075,11.6906
12,0.00885371,78.9415,76.6202,82.4113,78.4132,0,0.949796,0.324866,1.855995,0.530892,0.313618,0.118275,0.004603,0.001574,0.000765,0.000219,0.011287,0.004257,-0.055014,0.006774,-0.015316,13.8384,83.9228,97.7612,4.2633
13,0.0086462,81.337,80.1207,84.3852,80.9017,0,0.940383,0.345833,1.944985,0.662617,0.323198,0.128745,0.004557,0.001676,0.000802,0.000273,0.011632,0.004634,-0.052095,0.00707,-0.021584,13.7085,82.9582,96.6667,4.6034
14,0.00842431,77.0474,74.9632,82.5546,76.495,0,0.943748,0.343257,2.14254,0.779468,0.312105,0.119218,0.004574,0.001664,0.000884,0.000321,0.011233,0.004291,-0.049601,0.008851,-0.023411,15.2277,83.2797,98.5075,4.4638
15,0.00818893,72.9248,69.8342,76.8641,72.324,0,0.917219,0.329615,2.107166,0.900775,0.310893,0.114994,0.004445,0.001597,0.000869,0.000371,0.011189,0.004139,-0.052997,0.012288,-0.021321,11.9091,85.8521,97.7612,3.329
16,0.00794099,76.3231,75.3389,79.8774,75.9482,0,0.997003,0.312437,2.624089,1.806356,0.366821,0.126916,0.004832,0.001514,0.001082,0.000745,0.013202,0.004568,-0.026509,0.01125,-0.006188,23.0332,73.6334,96.6667,6.8569
17,0.00768145,82.6741,81.2344,84.6854,82.2378,0,0.869948,0.326425,1.608334,0.424869,0.311316,0.136362,0.004216,0.001582,0.000663,0.000175,0.011204,0.004908,-0.060711,0.016385,-0.039838,14.9062,83.6013,98.5075,4.4269
18,0.00741136,82.6184,81.2542,83.9607,82.201,0,0.859391,0.31935,1.548798,0.317413,0.309575,0.13206,0.004165,0.001548,0.000639,0.000131,0.011142,0.004753,-0.04673,0.009025,-0.017004,21.7618,77.492,99.2537,5.7729
19,0.00713177,82.8412,81.1087,85.3239,82.369,0,0.829478,0.312135,1.533636,0.432747,0.278311,0.123202,0.00402,0.001513,0.000632,0.000178,0.010017,0.004434,-0.052294,0.007461,-0.035605,15.3309,83.9228,99.2537,4.0251
20,0.00684378,84.4568,83.4928,85.7884,84.0871,0,0.8137,0.343153,1.536657,0.377701,0.280731,0.128627,0.003944,0.001663,0.000634,0.000156,0.010104,0.004629,-0.050122,0.013437,-0.031042,15.3309,83.9228,99.2537,4.0064
21,0.00654854,84.2897,83.4053,85.2387,83.9711,1,0.84852,0.314604,1.698773,0.611361,0.292148,0.135452,0.004112,0.001525,0.000701,0.000252,0.010515,0.004875,-0.055276,0.004176,-0.006256,14.0447,85.209,99.2537,4.0222
22,0.00624721,80.1114,78.0026,83.9046,79.5871,0,0.853926,0.367622,1.682866,0.431677,0.296516,0.149874,0.004138,0.001782,0.000694,0.000178,0.010672,0.005394,-0.045783,0.011431,-0.040066,13.2375,84.8875,98.125,3.811
23,0.00594097,86.6295,86.0753,86.9928,86.3717,0,0.860741,0.360881,1.610079,0.527033,0.312904,0.154571,0.004171,0.001749,0.000664,0.000217,0.011262,0.005563,-0.023848,0.023197,-0.026707,14.5237,83.6013,98.125,4.2011
24,0.00563104,83.7883,82.6656,85.2624,83.4056,0,0.790858,0.341536,1.518477,0.457842,0.277464,0.136243,0.003833,0.001655,0.000626,0.000189,0.009986,0.004903,-0.050535,0.012209,-0.050402,15.0094,84.2444,99.2537,4.3037
25,0.00531864,85.3482,84.5714,86.1681,85.0448,0,0.803926,0.358152,1.498578,0.494626,0.292377,0.146082,0.003896,0.001736,0.000618,0.000204,0.010523,0.005258,-0.042779,0.013654,-0.037259,14.2631,84.2444,98.5075,3.9953
26,0.005005,79.61,76.7747,84.4495,79.0014,0,0.774341,0.363077,1.610462,0.90554,0.295327,0.144325,0.003753,0.00176,0.000664,0.000373,0.010629,0.005194,-0.045482,0.011681,-0.018229,29.8697,69.3841,99.2537,8.5593
27,0.00469136,84.2897,83.6982,85.1191,83.9947,0,0.854119,0.311107,2.232115,0.9467,0.312661,0.142518,0.004139,0.001508,0.000921,0.00039,0.011253,0.005129,-0.047615,0.018541,-0.048615,43.3052,55.9486,99.2537,11.9492
28,0.00437896,85.7939,85.1746,86.3494,85.5117,0,0.793532,0.380204,1.584818,0.643094,0.302668,0.161171,0.003846,0.001843,0.000654,0.000265,0.010893,0.005801,-0.028536,0.018856,-0.060419,15.6524,83.6013,99.2537,4.4174
29,0.00406903,86.8524,86.3737,87.0166,86.6366,0,0.757687,0.32512,1.481104,0.357595,0.300397,0.175824,0.003672,0.001576,0.000611,0.000147,0.010812,0.006328,-0.043902,0.008528,-0.027084,13.2195,85.5305,98.75,3.8016
