round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.981336
1,1,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.891674
1,1,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.928747
1,1,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.981043
1,1,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.957311
1,1,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.927796
1,1,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.964456
1,1,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.925471
1,1,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.910373
1,1,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.918463
1,1,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.938003
1,1,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.891632
1,1,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.912121
1,1,vim_tiny,brain_tumor,0.1,13,classifier,0.357672
1,0,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.988962
1,0,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.983520
1,0,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.961754
1,0,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.963799
1,0,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.874476
1,0,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.963618
1,0,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.923232
1,0,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.901247
1,0,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.899631
1,0,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.937665
1,0,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.914136
1,0,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.902989
1,0,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.886468
1,0,vim_tiny,brain_tumor,0.1,13,classifier,0.156855
1,4,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.984449
1,4,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.983379
1,4,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.886953
1,4,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.992590
1,4,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.977186
1,4,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.974378
1,4,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.924228
1,4,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.898975
1,4,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.867012
1,4,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.922146
1,4,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.930239
1,4,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.902683
1,4,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.901939
1,4,vim_tiny,brain_tumor,0.1,13,classifier,0.318267
1,9,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.984616
1,9,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.893649
1,9,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.905961
1,9,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.911991
1,9,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.924212
1,9,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.908491
1,9,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.941529
1,9,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.876724
1,9,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.893258
1,9,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.918762
