round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,31.33,21.5823,46.2274,31.2278,0,0.211173,0.097171,3.590565,0.649206,0.60139,0.111164,0.004227,0.001945,0.001955,0.000353,0.021645,0.004001,0.560349,0.114059,0.146184,43.1456,36.25,79.3956,12.1353
2,0.00999014,64.9416,64.4175,66.7509,65.1768,0,0.138161,0.050285,1.706136,0.386578,0.33505,0.083603,0.002765,0.001007,0.000929,0.00021,0.012059,0.003009,0.893319,0.3888,0.298867,15.522,62.5,78.022,5.3429
3,0.00996061,73.1775,73.162,73.3663,73.2245,0,0.08116,0.044133,1.569757,0.492181,0.261518,0.039534,0.001625,0.000883,0.000855,0.000268,0.009412,0.001423,0.751255,0.243823,0.016565,13.7484,67.2956,81.044,3.7103
4,0.00991152,75.2365,75.1522,75.7188,75.397,0,0.072173,0.037029,1.49903,0.515227,0.27528,0.038035,0.001445,0.000741,0.000816,0.000281,0.009908,0.001369,0.679407,0.167616,-0.000971,11.7716,72.2944,84.0659,3.5202
5,0.00984307,79.0762,78.9844,79.1393,79.173,0,0.066563,0.031652,1.473573,0.43956,0.275781,0.052683,0.001332,0.000634,0.000802,0.000239,0.009926,0.001896,0.617655,0.137877,0.024985,13.9353,74.2515,88.1868,3.8804
6,0.00975553,80.0779,80.0528,80.4528,80.1621,0,0.060598,0.027814,1.490492,0.425028,0.290922,0.041554,0.001213,0.000557,0.000812,0.000231,0.010471,0.001496,0.542296,0.099837,0.00528,15.8176,69.1824,85.0,4.8047
7,0.00964923,81.1909,81.2023,81.728,81.2695,0,0.061666,0.025827,1.617381,0.438657,0.280747,0.043672,0.001234,0.000517,0.000881,0.000239,0.010104,0.001572,0.446203,0.074181,-0.014334,15.8235,70.4403,86.2637,4.8027
8,0.00952461,81.3578,81.3498,81.6758,81.4538,0,0.059238,0.021034,1.636183,0.442186,0.278832,0.032914,0.001186,0.000421,0.000891,0.000241,0.010035,0.001185,0.400001,0.06102,-0.013802,12.1294,73.5849,85.7143,3.9175
9,0.00938215,82.3595,82.3829,82.9096,82.4382,0,0.058683,0.024848,1.65602,0.496156,0.282519,0.047711,0.001175,0.000497,0.000902,0.00027,0.010168,0.001717,0.328493,0.052165,-0.025191,13.3078,72.956,86.2637,4.4727
10,0.00922242,83.2499,83.2848,83.678,83.3091,1,0.059691,0.02073,1.706631,0.4547,0.27491,0.038058,0.001195,0.000415,0.000929,0.000248,0.009894,0.00137,0.338806,0.049418,-0.028459,15.0719,74.2138,89.2857,4.1144
11,0.00904604,78.4641,78.7396,79.1585,78.5016,0,0.064636,0.030371,1.866399,0.783039,0.273999,0.042899,0.001294,0.000608,0.001016,0.000426,0.009861,0.001544,0.268056,0.039734,-0.001991,13.5642,75.3247,88.8889,4.0932
12,0.00885371,83.5281,83.6067,84.1424,83.5774,0,0.062987,0.02253,1.752052,0.435137,0.27053,0.044001,0.001261,0.000451,0.000954,0.000237,0.009737,0.001584,0.311429,0.060948,-0.00479,12.9437,77.0563,90.0,3.7236
13,0.0086462,83.6394,83.644,83.872,83.7221,0,0.058103,0.021898,1.645645,0.477734,0.262869,0.052163,0.001163,0.000438,0.000896,0.00026,0.009461,0.001877,0.282821,0.030047,-0.024076,12.6494,76.1006,88.75,4.4351
14,0.00842431,84.6967,84.7383,84.8921,84.775,0,0.060739,0.017865,1.7213,0.427837,0.261218,0.033042,0.001216,0.000358,0.000937,0.000233,0.009401,0.001189,0.275742,0.0308,-0.011447,14.1937,77.0563,91.25,4.4707
15,0.00818893,85.2532,85.2453,85.5339,85.3138,0,0.059021,0.020407,1.711743,0.504106,0.248307,0.035413,0.001181,0.000408,0.000932,0.000274,0.008937,0.001275,0.238177,0.026262,-0.007398,14.5283,75.4717,90.0,4.5016
16,0.00794099,85.0306,85.015,85.3183,85.1061,0,0.06102,0.017995,1.717563,0.380107,0.238522,0.030947,0.001221,0.00036,0.000935,0.000207,0.008585,0.001114,0.253423,0.024387,-0.042503,12.8017,78.4483,91.25,4.5426
17,0.00768145,85.754,85.7594,86.2525,85.793,0,0.061438,0.018867,1.707552,0.399005,0.24448,0.02735,0.00123,0.000378,0.00093,0.000217,0.008799,0.000984,0.245185,0.022337,-0.036512,11.9635,79.2453,91.2088,3.9166
18,0.00741136,85.1419,85.1437,85.2313,85.2511,0,0.062041,0.016639,1.711727,0.362931,0.236599,0.03908,0.001242,0.000333,0.000932,0.000198,0.008515,0.001407,0.26354,0.019251,-0.033233,12.7883,76.1006,88.8889,3.8774
19,0.00713177,85.2532,85.2781,85.5502,85.3492,0,0.057398,0.014088,1.584498,0.284147,0.237394,0.040506,0.001149,0.000282,0.000863,0.000155,0.008544,0.001458,0.226654,0.02045,-0.016852,9.6067,80.5031,90.1099,2.76
20,0.00684378,85.3088,85.3249,85.5438,85.4051,0,0.063767,0.017598,1.818532,0.41953,0.227215,0.034363,0.001276,0.000352,0.00099,0.000228,0.008178,0.001237,0.234136,0.016921,-0.044553,14.7177,74.8428,89.5604,3.9694
21,0.00654854,86.4218,86.4232,86.624,86.5025,0,0.061156,0.014709,1.672256,0.315401,0.223599,0.034525,0.001224,0.000294,0.00091,0.000172,0.008048,0.001243,0.229346,0.02073,-0.049985,10.1199,78.6164,88.7363,2.9152
22,0.00624721,86.5331,86.6047,86.8652,86.5887,0,0.059437,0.01753,1.62123,0.39423,0.219085,0.024933,0.00119,0.000351,0.000883,0.000215,0.007885,0.000897,0.236799,0.023215,-0.049548,11.2121,78.7879,90.0,4.0877
23,0.00594097,87.2565,87.2965,87.545,87.3125,0,0.065702,0.015014,1.831594,0.381689,0.232,0.037657,0.001315,0.000301,0.000997,0.000208,0.00835,0.001355,0.207652,0.020097,-0.029236,12.8672,78.6164,91.4835,3.8691
24,0.00563104,86.5888,86.6403,86.8124,86.6623,0,0.06068,0.019532,1.665949,0.526249,0.220213,0.041501,0.001215,0.000391,0.000907,0.000287,0.007926,0.001494,0.224643,0.016927,-0.02161,17.0362,74.2138,91.25,5.3699
25,0.00531864,87.6461,87.6631,87.9956,87.6933,0,0.057624,0.014693,1.565192,0.287712,0.208665,0.030433,0.001153,0.000294,0.000852,0.000157,0.00751,0.001095,0.217685,0.021385,-0.042577,13.1313,80.5195,93.6508,3.6554
26,0.005005,87.7017,87.7716,87.9648,87.7627,0,0.059395,0.020045,1.580699,0.433512,0.199525,0.039872,0.001189,0.000401,0.000861,0.000236,0.007181,0.001435,0.226952,0.019556,-0.047392,11.0195,79.3651,90.3846,3.2775
27,0.00469136,88.6477,88.7137,89.0053,88.6766,0,0.054619,0.012766,1.400685,0.286595,0.195827,0.023387,0.001093,0.000256,0.000763,0.000156,0.007048,0.000842,0.229299,0.034777,-0.024002,11.6093,79.8742,91.4835,3.596
28,0.00437896,87.9243,87.971,88.1489,87.9882,0,0.066971,0.017603,1.769944,0.510935,0.208908,0.025957,0.00134,0.000352,0.000964,0.000278,0.007519,0.000934,0.224809,0.022377,-0.005699,12.2211,80.0866,92.3077,4.0969
29,0.00406903,88.0356,88.0374,88.2614,88.0891,0,0.059009,0.019081,1.586018,0.440897,0.20461,0.027032,0.001181,0.000382,0.000864,0.00024,0.007364,0.000973,0.21438,0.024434,-0.041982,12.043,78.6164,90.6593,3.5861
30,0.00376279,88.2026,88.2531,88.5142,88.2546,0,0.060671,0.018858,1.593725,0.468144,0.192515,0.043977,0.001214,0.000377,0.000868,0.000255,0.006929,0.001583,0.217068,0.027611,-0.04233,11.4503,81.1321,92.5824,3.2604
31,0.00346146,88.4252,88.4795,88.8112,88.4545,0,0.055393,0.018742,1.419954,0.413546,0.188002,0.049703,0.001109,0.000375,0.000773,0.000225,0.006766,0.001789,0.287928,0.027012,-0.024455,13.2792,79.2208,92.5,3.5766
