round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,31.5702,20.4765,15.2749,31.4129,0,0.185036,0.151475,4.795382,3.237896,0.416899,0.287286,0.001889,0.001546,0.002049,0.001384,0.015005,0.01034,0.128334,-0.046834,-0.057448,100.0,0.0,100.0,40.377
2,0.00999014,25.0557,10.0178,6.2639,25.0,0,0.075379,0.065195,0.454976,0.291559,0.434418,0.267245,0.000769,0.000665,0.000194,0.000125,0.015635,0.009618,0.204911,0.15957,-0.012451,100.0,0.0,100.0,37.7636
3,0.00996061,27.1158,13.987,11.8636,27.036,0,0.067653,0.054624,0.176128,0.094749,0.420615,0.262177,0.00069,0.000558,7.5e-05,4e-05,0.015138,0.009436,0.186026,0.096058,-0.046873,100.0,0.0,100.0,37.7636
4,0.00991152,25.0557,10.0178,6.2639,25.0,0,0.069114,0.053033,0.153046,0.08621,0.429581,0.266091,0.000705,0.000541,6.5e-05,3.7e-05,0.015461,0.009577,0.192312,0.090045,-0.050672,100.0,0.0,100.0,39.5719
5,0.00984307,25.2784,10.0889,6.3196,25.0,0,0.068768,0.052758,0.139681,0.080169,0.426417,0.269004,0.000702,0.000538,6e-05,3.4e-05,0.015347,0.009682,0.18355,0.07945,-0.059192,100.0,0.0,100.0,37.7636
6,0.00975553,25.0557,10.0178,6.2639,25.0,0,0.067478,0.052807,0.136142,0.079465,0.441528,0.275617,0.000689,0.000539,5.8e-05,3.4e-05,0.015891,0.00992,0.189086,0.084474,-0.044945,100.0,0.0,100.0,40.377
7,0.00964923,25.2784,10.0889,6.3196,25.0,0,0.06862,0.052621,0.126714,0.073216,0.422013,0.264935,0.0007,0.000537,5.4e-05,3.1e-05,0.015189,0.009535,0.18217,0.07324,-0.057475,100.0,0.0,100.0,37.7627
8,0.00952461,25.2784,10.0889,6.3196,25.0,0,0.069463,0.052579,0.126029,0.075838,0.434701,0.280328,0.000709,0.000537,5.4e-05,3.2e-05,0.015645,0.010089,0.189385,0.078074,-0.048575,100.0,0.0,100.0,41.9235
9,0.00938215,25.2784,10.0889,6.3196,25.0,0,0.069806,0.052816,0.122467,0.073546,0.432438,0.279777,0.000712,0.000539,5.2e-05,3.1e-05,0.015564,0.010069,0.184747,0.068193,-0.05468,100.0,0.0,100.0,40.377
10,0.00922242,25.2784,10.0889,6.3196,25.0,0,0.069742,0.053257,0.11921,0.070248,0.427329,0.269672,0.000712,0.000544,5.1e-05,3e-05,0.01538,0.009706,0.181567,0.065574,-0.053261,100.0,0.0,100.0,40.405
11,0.00904604,25.2784,10.0889,6.3196,25.0,0,0.071708,0.052394,0.117289,0.068891,0.428671,0.271772,0.000732,0.000535,5e-05,2.9e-05,0.015428,0.009781,0.18885,0.064365,-0.054703,100.0,0.0,100.0,40.377
12,0.00885371,25.2784,10.0889,6.3196,25.0,0,0.069846,0.052893,0.11717,0.069046,0.434347,0.278058,0.000713,0.00054,5e-05,3e-05,0.015632,0.010008,0.172873,0.066313,-0.049339,100.0,0.0,100.0,41.9235
13,0.0086462,30.4009,19.8524,26.3292,30.1219,0,0.067966,0.052079,0.11557,0.06807,0.436236,0.280522,0.000694,0.000532,4.9e-05,2.9e-05,0.0157,0.010096,0.179127,0.061051,-0.053106,100.0,0.0,100.0,41.9235
