round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,vit_tiny,brain_tumor,0.1,0,base.patch_embed,1.000000
1,0,vit_tiny,brain_tumor,0.1,1,base.blocks.0,1.000000
1,0,vit_tiny,brain_tumor,0.1,2,base.blocks.1,1.000000
1,0,vit_tiny,brain_tumor,0.1,3,base.blocks.2,1.000000
1,0,vit_tiny,brain_tumor,0.1,4,base.blocks.3,1.000000
1,0,vit_tiny,brain_tumor,0.1,5,base.blocks.4,1.000000
1,0,vit_tiny,brain_tumor,0.1,6,base.blocks.5,1.000000
1,0,vit_tiny,brain_tumor,0.1,7,base.blocks.6,1.000000
1,0,vit_tiny,brain_tumor,0.1,8,base.blocks.7,1.000000
1,0,vit_tiny,brain_tumor,0.1,9,base.blocks.8,1.000000
1,0,vit_tiny,brain_tumor,0.1,10,base.blocks.9,1.000000
1,0,vit_tiny,brain_tumor,0.1,11,base.blocks.10,1.000000
1,0,vit_tiny,brain_tumor,0.1,12,base.blocks.11,1.000000
1,0,vit_tiny,brain_tumor,0.1,13,base.norm,1.000000
1,0,vit_tiny,brain_tumor,0.1,14,classifier,1.000000
1,4,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.947312
1,4,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.956452
1,4,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.964063
1,4,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.965907
1,4,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.963234
1,4,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.962533
1,4,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.962879
1,4,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.961704
1,4,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.959644
1,4,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.958443
1,4,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.958468
1,4,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.955580
1,4,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.952139
1,4,vit_tiny,brain_tumor,0.1,13,base.norm,0.945473
