round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,res9,brain_tumor,0.1,0,base.2,1.000000
1,0,res9,brain_tumor,0.1,1,base.6,1.000000
1,0,res9,brain_tumor,0.1,2,base.7,1.000000
1,0,res9,brain_tumor,0.1,3,base.11,1.000000
1,0,res9,brain_tumor,0.1,4,base.15,1.000000
1,0,res9,brain_tumor,0.1,5,base.16,1.000000
1,0,res9,brain_tumor,0.1,6,base.17,1.000000
1,0,res9,brain_tumor,0.1,7,base.18,1.000000
1,0,res9,brain_tumor,0.1,8,classifier,1.000000
1,4,res9,brain_tumor,0.1,0,base.2,0.994286
1,4,res9,brain_tumor,0.1,1,base.6,0.988687
1,4,res9,brain_tumor,0.1,2,base.7,0.977643
1,4,res9,brain_tumor,0.1,3,base.11,0.956348
1,4,res9,brain_tumor,0.1,4,base.15,0.933262
1,4,res9,brain_tumor,0.1,5,base.16,0.905924
1,4,res9,brain_tumor,0.1,6,base.17,0.724670
1,4,res9,brain_tumor,0.1,7,base.18,0.724670
1,4,res9,brain_tumor,0.1,8,classifier,0.695621
1,1,res9,brain_tumor,0.1,0,base.2,0.989591
1,1,res9,brain_tumor,0.1,1,base.6,0.972569
1,1,res9,brain_tumor,0.1,2,base.7,0.966982
1,1,res9,brain_tumor,0.1,3,base.11,0.963952
1,1,res9,brain_tumor,0.1,4,base.15,0.956761
1,1,res9,brain_tumor,0.1,5,base.16,0.946300
1,1,res9,brain_tumor,0.1,6,base.17,0.785793
1,1,res9,brain_tumor,0.1,7,base.18,0.785793
1,1,res9,brain_tumor,0.1,8,classifier,0.625542
1,6,res9,brain_tumor,0.1,0,base.2,0.993253
1,6,res9,brain_tumor,0.1,1,base.6,0.984531
1,6,res9,brain_tumor,0.1,2,base.7,0.983059
1,6,res9,brain_tumor,0.1,3,base.11,0.971370
1,6,res9,brain_tumor,0.1,4,base.15,0.966919
1,6,res9,brain_tumor,0.1,5,base.16,0.965158
1,6,res9,brain_tumor,0.1,6,base.17,0.914792
1,6,res9,brain_tumor,0.1,7,base.18,0.914792
