epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,24.387527839643653,10.13419713095789,6.388564760793465,24.496644295302016,83.12917594654789,82.98746305130746,83.90979675978662,83.03650222331477
1,29.84409799554566,17.475078564301498,14.275217823050806,30.033431646953783,85.07795100222717,85.01608825378923,86.82962947870423,85.00490896909739
2,25.05567928730512,10.458943860030766,31.2710911136108,25.217864923747275,86.08017817371937,86.0362508579952,88.04572673622334,86.02340984167687
3,24.888641425389753,9.964333481943825,6.222160356347438,25.0,78.17371937639199,78.27660215650238,86.34991416494448,78.05757254885268
4,41.81514476614699,32.40884670977133,41.74867500051444,41.674762998292415,82.79510022271714,82.92453668643954,86.35257894059559,82.72722822316172
5,25.556792873051226,11.596994817254744,24.11066398390342,25.673021939988566,88.8641425389755,88.596098406087,89.85275981003092,88.82587463370456
6,44.766146993318486,30.664899647835785,30.782914690100316,44.50284332076735,79.45434298440979,79.09798439586953,85.77138079651964,79.37605673279532
7,27.561247216035632,15.252677135966927,26.098703801015937,27.691084559745587,89.47661469933185,89.48646701100526,89.98183516732507,89.4367301808473
8,42.20489977728285,34.01482980423259,40.84219927716467,42.079947594653476,85.46770601336303,85.51833821686041,87.97539902549414,85.42735191849175
9,35.52338530066815,25.84433962264151,28.32126323934294,35.70840982734924,92.0935412026726,92.07476394967988,92.4348615185667,92.03843698511838
10,49.44320712694877,39.41388118496327,55.249024552366386,49.1614764191748,89.81069042316258,89.86705218107292,90.81904731946048,89.7597985272188
11,30.400890868596882,19.625422209266656,30.411503027549873,30.549703554338336,82.6837416481069,82.92242505175732,88.22643296310315,82.5474756812157
12,52.39420935412027,42.25500111796359,53.68437123112374,52.09381615305483,78.78619153674833,77.82291365417528,85.77245689259037,78.68373302408611
13,32.12694877505568,22.0943667724299,29.973795670403014,32.287497115799404,87.30512249443207,86.99971586930391,88.55308093270408,87.24800703052134
14,54.28730512249443,45.14170358331411,58.740479745406525,54.008087878144394,86.63697104677061,86.40088851460138,87.61473287175306,86.58154232014257
15,43.70824053452116,32.22802935850625,27.9872183274102,43.95132974187659,91.70378619153675,91.49084180275477,92.12992069652496,91.66834931084283
