round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,29.2479,19.2962,15.5947,28.8682,0,0.085693,0.050922,1.352936,0.645233,1.006001,0.440761,0.00128,0.000761,0.000528,0.000252,0.022208,0.00973,0.449365,0.113618,0.127569,100.0,0.0,100.0,27.4376
2,0.00999014,25.2925,10.0934,6.3231,25.0,0,0.132972,0.123286,1.631747,1.052008,0.931266,0.575012,0.001987,0.001842,0.000637,0.000411,0.020558,0.012694,0.507691,0.088481,0.029896,100.0,0.0,100.0,28.9116
3,0.00996061,25.3482,10.1111,6.337,25.0,0,0.121563,0.053068,1.504837,0.64334,1.254078,0.920791,0.001816,0.000793,0.000587,0.000251,0.027684,0.020327,0.470801,0.181253,0.119621,100.0,0.0,100.0,27.8956
4,0.00991152,25.2925,10.0934,6.3231,25.0,0,0.29552,0.196247,2.000323,1.185479,1.690399,0.95337,0.004415,0.002932,0.000781,0.000463,0.037316,0.021046,0.51617,0.161255,0.277663,100.0,0.0,100.0,27.8547
5,0.00984307,25.3482,10.1111,6.337,25.0,0,0.187531,0.092469,2.144841,1.001706,1.438165,1.236398,0.002802,0.001382,0.000837,0.000391,0.031748,0.027294,0.474405,0.312947,0.26301,100.0,0.0,100.0,27.7497
6,0.00975553,26.8524,13.2376,31.4636,26.5766,0,0.251566,0.135581,1.575433,0.885483,1.45846,0.838485,0.003758,0.002026,0.000615,0.000346,0.032196,0.01851,0.453368,0.132045,0.25973,100.0,0.0,100.0,27.9839
7,0.00964923,25.4039,10.2511,9.9333,25.0551,0,0.146821,0.087232,1.12449,0.542724,1.064669,0.833712,0.002194,0.001303,0.000439,0.000212,0.023503,0.018405,0.260314,0.08164,0.09344,100.0,0.0,100.0,28.2492
8,0.00952461,34.9304,24.9541,30.7822,34.746,0,0.172408,0.07485,1.109865,0.514039,1.079994,0.638633,0.002576,0.001118,0.000433,0.000201,0.023841,0.014098,0.352424,0.136391,0.167416,100.0,0.0,100.0,28.0908
9,0.00938215,27.4652,15.0895,11.8418,27.0951,0,0.138447,0.070998,0.960095,0.411816,0.922442,0.613429,0.002068,0.001061,0.000375,0.000161,0.020363,0.013542,0.127284,0.054421,0.006744,50.0,50.0,100.0,13.668
10,0.00922242,30.195,18.7644,31.3721,29.955,0,0.183411,0.087293,1.542525,0.770326,1.000001,0.592584,0.00274,0.001304,0.000602,0.000301,0.022076,0.013082,0.38841,0.261592,0.137053,100.0,0.0,100.0,27.6689
11,0.00904604,25.8496,11.6338,12.4126,25.4962,0,0.143044,0.066939,0.882163,0.336321,1.008692,0.674925,0.002137,0.001,0.000344,0.000131,0.022267,0.014899,0.130892,0.088618,-0.018464,100.0,0.0,100.0,28.1582
12,0.00885371,32.2006,21.6551,31.2013,31.9845,0,0.214296,0.098694,1.134777,0.519834,1.334414,0.824451,0.003202,0.001475,0.000443,0.000203,0.029458,0.0182,0.337958,0.086819,0.246597,100.0,0.0,100.0,27.7971
13,0.0086462,27.2423,14.4812,20.0789,26.8867,0,0.158312,0.088974,0.991435,0.435354,0.934045,0.634231,0.002365,0.001329,0.000387,0.00017,0.02062,0.014001,0.098346,0.017631,-0.002729,75.0,25.0,100.0,20.9291
14,0.00842431,32.0334,21.4978,30.6198,31.818,0,0.196039,0.09366,1.071131,0.500411,1.071083,0.646942,0.002929,0.001399,0.000418,0.000195,0.023645,0.014282,0.256942,0.084792,0.143574,100.0,0.0,100.0,28.1763
15,0.00818893,29.9721,19.1487,55.3223,29.5975,0,0.136272,0.065678,0.963611,0.371296,0.816553,0.483518,0.002036,0.000981,0.000376,0.000145,0.018026,0.010674,0.107171,0.052937,-0.041341,50.0,50.0,100.0,16.642
16,0.00794099,33.4262,23.3002,30.4652,33.2282,0,0.164377,0.079008,1.09246,0.50738,0.916341,0.555261,0.002456,0.00118,0.000426,0.000198,0.020229,0.012258,0.226399,0.087062,0.076938,100.0,0.0,100.0,28.0962
