round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.841894
1,0,1,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.750206
1,0,1,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.705683
1,0,1,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.655640
1,0,1,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.643882
1,0,1,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.599666
1,0,1,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.571123
1,0,1,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.539400
1,0,1,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.539151
1,0,1,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.514114
1,0,1,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.494804
1,0,1,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.484161
1,0,1,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.461485
1,0,1,vig_tiny,brain_tumor,0.1,13,classifier,0.398037
1,0,2,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.784827
1,0,2,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.764329
1,0,2,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.630105
1,0,2,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.581313
1,0,2,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.520781
1,0,2,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.528458
1,0,2,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.506462
1,0,2,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.468367
1,0,2,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.474168
1,0,2,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.438152
1,0,2,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.418847
1,0,2,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.425380
1,0,2,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.413614
1,0,2,vig_tiny,brain_tumor,0.1,13,classifier,0.196677
1,0,3,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.663189
1,0,3,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.606695
1,0,3,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.511724
1,0,3,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.443960
1,0,3,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.411783
1,0,3,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.377628
1,0,3,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.330025
1,0,3,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.307007
1,0,3,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.323493
1,0,3,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.298992
1,0,3,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.289507
1,0,3,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.278933
1,0,3,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.270265
1,0,3,vig_tiny,brain_tumor,0.1,13,classifier,0.168140
1,0,4,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.698311
1,0,4,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.664080
1,0,4,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.689901
1,0,4,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.627291
1,0,4,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.609892
1,0,4,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.605445
1,0,4,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.579289
1,0,4,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.580516
1,0,4,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.560811
1,0,4,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.550809
1,0,4,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.522855
1,0,4,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.514736
1,0,4,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.512080
1,0,4,vig_tiny,brain_tumor,0.1,13,classifier,0.339290
1,0,5,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.558767
1,0,5,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.525086
1,0,5,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.435498
1,0,5,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.392943
1,0,5,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.379483
1,0,5,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.343127
1,0,5,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.291846
1,0,5,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.296241
1,0,5,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.287961
1,0,5,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.286305
1,0,5,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.287380
1,0,5,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.283002
1,0,5,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.259322
1,0,5,vig_tiny,brain_tumor,0.1,13,classifier,0.089930
1,0,6,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.973972
1,0,6,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.934001
