round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.907360
1,1,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.868576
1,1,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.821945
1,1,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.801904
1,1,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.768320
1,1,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.747185
1,1,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.694337
1,1,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.661504
1,1,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.650779
1,1,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.624153
1,1,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.622540
1,1,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.614598
1,1,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.571318
1,1,vig_tiny,brain_tumor,0.1,13,classifier,0.142780
1,0,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.916524
1,0,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.869690
1,0,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.818284
1,0,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.797865
1,0,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.765217
1,0,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.742710
1,0,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.690485
1,0,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.658564
1,0,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.649248
1,0,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.621918
1,0,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.621087
1,0,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.614865
1,0,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.573396
1,0,vig_tiny,brain_tumor,0.1,13,classifier,0.429349
