round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,41.1699,36.385,56.7041,41.0527,0,1.224654,0.470083,1.711844,1.009723,0.702996,0.241884,0.005935,0.002278,0.000706,0.000416,0.025301,0.008706,-0.011972,0.105381,0.061504,50.0,50.0,100.0,13.9683
2,0.00999014,49.0808,47.2599,60.3685,49.0131,0,1.173779,0.444235,1.703453,1.001569,0.614375,0.208316,0.005689,0.002153,0.000703,0.000413,0.022112,0.007497,-0.018215,0.063365,0.050315,50.0,50.0,100.0,13.7533
3,0.00996061,56.1003,55.0503,62.3483,56.151,0,1.14583,0.447939,1.721385,1.127199,0.532756,0.185077,0.005553,0.002171,0.00071,0.000465,0.019174,0.006661,-0.028203,0.025927,0.002096,71.7742,28.2258,100.0,20.2369
4,0.00991152,55.8217,55.6074,70.4016,55.8101,0,1.135177,0.454703,1.761406,1.087025,0.533971,0.186839,0.005501,0.002204,0.000726,0.000448,0.019218,0.006724,-0.020456,0.024001,0.018552,28.2353,71.7647,100.0,9.4963
5,0.00984307,64.1226,64.1431,68.9044,64.2014,0,1.11693,0.437471,1.757619,1.197641,0.520856,0.18553,0.005413,0.00212,0.000725,0.000494,0.018746,0.006677,-0.016659,0.016001,-0.006178,15.9509,84.0491,100.0,5.1605
6,0.00975553,60.0557,61.8152,71.0558,60.0233,0,1.118915,0.462228,1.812507,1.159966,0.520937,0.187234,0.005423,0.00224,0.000747,0.000478,0.018749,0.006739,-0.012154,0.013162,-0.003232,14.1176,85.8824,100.0,4.5352
7,0.00964923,68.078,68.3401,70.7485,68.1699,0,1.093531,0.438609,1.667208,0.993568,0.528673,0.192809,0.0053,0.002126,0.000688,0.00041,0.019027,0.006939,-0.014522,0.015829,-0.016634,19.9387,80.0613,100.0,6.1818
8,0.00952461,72.9248,73.6198,74.859,73.0156,0,1.071113,0.446859,1.573102,0.882551,0.543589,0.202201,0.005191,0.002166,0.000649,0.000364,0.019564,0.007277,-0.002695,0.015967,-0.005183,17.7914,82.2086,100.0,5.6947
9,0.00938215,68.5794,68.4114,71.9588,68.7027,0,1.069816,0.444197,1.664919,0.929169,0.535557,0.200312,0.005185,0.002153,0.000687,0.000383,0.019275,0.007209,-0.009859,0.0125,-0.022419,11.7647,88.2353,100.0,4.2724
10,0.00922242,55.5989,56.813,68.2704,55.472,0,1.107218,0.472845,1.75177,0.897719,0.572199,0.217934,0.005366,0.002292,0.000722,0.00037,0.020594,0.007844,0.00206,0.015209,-0.013462,25.0,75.0,100.0,7.4688
11,0.00904604,66.6852,65.8221,72.9829,66.7891,0,1.033863,0.447168,1.679317,0.851756,0.541345,0.206883,0.00501,0.002167,0.000693,0.000351,0.019483,0.007446,-0.022784,0.014104,-0.033024,50.0,50.0,100.0,13.7789
12,0.00885371,63.9554,64.6641,75.1077,63.9122,0,1.079882,0.47077,1.55233,0.794693,0.588978,0.229003,0.005234,0.002282,0.00064,0.000328,0.021198,0.008242,0.012642,0.024712,0.002686,12.8834,87.1166,100.0,4.4923
13,0.0086462,64.1783,62.9642,69.8627,64.2049,0,1.015081,0.446281,1.70323,0.885576,0.560114,0.23079,0.004919,0.002163,0.000702,0.000365,0.020159,0.008306,-0.007409,0.01521,-0.026248,50.0,50.0,100.0,17.6511
14,0.00842431,55.7103,51.8337,69.2787,55.595,0,1.094736,0.522368,1.829292,0.965796,0.625135,0.271595,0.005306,0.002532,0.000754,0.000398,0.022499,0.009775,0.017448,0.023365,0.018591,27.4194,72.5806,100.0,7.8982
15,0.00818893,61.2813,58.7801,72.2843,61.3485,0,1.029978,0.494294,1.664711,1.055476,0.593002,0.283441,0.004992,0.002396,0.000687,0.000435,0.021343,0.010201,0.016493,0.018446,-0.017187,50.0,50.0,100.0,13.694
16,0.00794099,57.3816,51.3122,49.3272,57.1993,0,1.172639,0.608025,1.742439,1.026786,0.709948,0.340925,0.005683,0.002947,0.000719,0.000423,0.025552,0.01227,0.06718,0.030769,0.064824,50.0,50.0,100.0,14.0265
17,0.00768145,50.1393,39.0463,60.6451,50.2015,0,1.030793,0.558592,1.5744,1.061738,0.629761,0.360735,0.004996,0.002707,0.000649,0.000438,0.022666,0.012983,0.014386,0.021983,-0.012846,50.0,50.0,100.0,13.5656
18,0.00741136,56.156,49.9815,50.8955,55.9756,0,1.286775,0.716029,1.84655,1.138183,0.780111,0.403974,0.006236,0.00347,0.000762,0.000469,0.028077,0.014539,0.101259,0.035217,0.092241,61.2903,38.7097,100.0,19.994
19,0.00713177,53.1476,43.7612,62.9326,53.1628,0,1.007373,0.573781,1.366937,0.804683,0.605067,0.365637,0.004882,0.002781,0.000564,0.000332,0.021777,0.01316,-0.006501,0.021958,-0.036917,50.0,50.0,100.0,13.8045
20,0.00684378,65.4039,63.5279,71.6294,65.3728,0,1.225176,0.646141,1.668056,0.954998,0.72316,0.369677,0.005938,0.003131,0.000688,0.000394,0.026027,0.013305,0.107218,0.036725,0.086907,50.0,50.0,100.0,15.2273
21,0.00654854,58.0501,53.2686,64.5547,58.0861,0,0.955872,0.509882,1.334398,0.678683,0.545352,0.2865,0.004633,0.002471,0.00055,0.00028,0.019628,0.010311,-0.040845,0.018044,-0.065063,50.0,50.0,100.0,13.9112
22,0.00624721,68.3008,66.7455,73.3474,68.3461,0,1.194717,0.589767,1.472937,0.760285,0.690397,0.338814,0.00579,0.002858,0.000607,0.000314,0.024848,0.012194,0.121949,0.043689,0.076324,50.0,50.0,100.0,13.9224
23,0.00594097,54.429,50.4436,70.2668,54.2613,0,0.942838,0.555464,1.348508,0.749624,0.543505,0.28724,0.004569,0.002692,0.000556,0.000309,0.019561,0.010338,-0.071777,0.018219,-0.075892,25.0,75.0,100.0,6.8267
24,0.00563104,75.7103,71.7707,80.9791,75.9949,0,1.266352,0.641752,1.759881,1.12881,0.712086,0.364862,0.006137,0.00311,0.000726,0.000466,0.025629,0.013132,0.174139,0.032295,0.114675,73.3871,26.6129,100.0,23.2279
25,0.00531864,50.0279,49.7283,68.1338,49.7638,0,0.94989,0.595559,1.482402,0.96014,0.559786,0.277954,0.004604,0.002886,0.000611,0.000396,0.020147,0.010004,-0.059952,0.020557,-0.06455,56.9767,43.0233,100.0,16.2537
26,0.005005,71.6992,64.4157,80.5477,72.0219,0,1.227473,0.599545,1.622483,1.005247,0.694806,0.352926,0.005949,0.002906,0.000669,0.000415,0.025007,0.012702,0.161052,0.036053,0.101017,50.0,50.0,100.0,14.0364
27,0.00469136,45.0696,42.9665,67.5068,44.7461,0,0.958452,0.635923,1.498965,1.00792,0.569498,0.292115,0.004645,0.003082,0.000618,0.000416,0.020497,0.010513,-0.049435,0.026298,-0.049548,10.5882,89.4118,100.0,3.4998
28,0.00437896,71.3649,63.8184,81.7174,71.6871,0,1.212375,0.601548,1.618167,0.964856,0.682116,0.349676,0.005876,0.002915,0.000667,0.000398,0.02455,0.012585,0.143577,0.029947,0.09017,100.0,0.0,100.0,28.951
29,0.00406903,64.8468,66.1158,74.3724,64.7154,0,0.947655,0.580138,1.523328,0.908297,0.557465,0.273916,0.004593,0.002812,0.000628,0.000375,0.020064,0.009858,-0.051423,0.018657,-0.056849,12.0968,87.9032,100.0,4.0963
30,0.00376279,70.6407,63.0072,82.2802,70.9551,0,1.113648,0.528166,1.402921,0.888955,0.637845,0.303999,0.005397,0.00256,0.000579,0.000367,0.022957,0.010941,0.124457,0.025749,0.086804,46.7742,53.2258,100.0,13.7973
31,0.00346146,59.7214,60.1173,75.993,59.5432,0,0.948793,0.595336,1.355576,0.879025,0.557885,0.28073,0.004598,0.002885,0.000559,0.000363,0.020079,0.010104,-0.033264,0.015163,-0.040203,18.5484,81.4516,100.0,5.6339
32,0.00316622,71.6435,65.1606,81.37,71.9453,0,1.06357,0.521103,1.569581,1.075925,0.614388,0.302521,0.005154,0.002525,0.000647,0.000444,0.022112,0.010888,0.116335,0.017831,0.096631,25.0,75.0,100.0,6.8763
33,0.00287823,54.7075,53.5701,68.6691,54.5616,0,0.913891,0.545996,1.418524,0.878628,0.537484,0.27192,0.004429,0.002646,0.000585,0.000362,0.019344,0.009787,-0.020943,0.021468,-0.03619,12.7907,87.2093,100.0,3.9631
34,0.00259864,73.7604,70.7522,81.5855,74.0003,0,1.051934,0.527724,1.430658,0.77312,0.616936,0.293549,0.005098,0.002558,0.00059,0.000319,0.022204,0.010565,0.101559,0.025971,0.070699,50.0,50.0,100.0,14.0179
35,0.00232855,57.6045,54.1777,67.9231,57.4956,0,0.929522,0.525306,1.422638,0.845319,0.557685,0.27596,0.004505,0.002546,0.000587,0.000349,0.020072,0.009932,0.012555,0.034788,-0.008232,14.5161,85.4839,100.0,5.3017
36,0.00206901,75.5989,73.9904,79.9943,75.8101,0,1.045571,0.52822,1.693429,1.135069,0.623179,0.29711,0.005067,0.00256,0.000698,0.000468,0.022429,0.010693,0.071158,0.015407,0.058858,50.0,50.0,100.0,13.7484
37,0.00182107,55.9331,48.9887,68.698,55.774,0,1.010175,0.55428,1.435931,0.940438,0.611075,0.311215,0.004896,0.002686,0.000592,0.000388,0.021993,0.011201,0.039951,0.049243,0.013534,15.1163,84.8837,100.0,4.6394
38,0.00158569,66.2396,63.2017,76.7555,66.4208,0,1.003261,0.515944,1.798036,1.329544,0.606407,0.292537,0.004862,0.0025,0.000742,0.000548,0.021825,0.010529,0.06506,0.018883,0.053359,50.0,50.0,100.0,14.8181
