round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.980729
1,1,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.898758
1,1,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.909295
1,1,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.972648
1,1,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.941967
1,1,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.911782
1,1,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.928425
1,1,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.903921
1,1,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.870543
1,1,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.914652
1,1,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.963723
1,1,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.942289
1,1,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.927559
1,1,vim_tiny,brain_tumor,0.1,13,classifier,0.349969
1,0,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.980806
1,0,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.933224
1,0,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.927851
1,0,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.925048
1,0,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.698117
1,0,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.897369
1,0,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.901852
1,0,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.928926
1,0,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.897234
1,0,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.924694
1,0,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.838038
1,0,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.888314
1,0,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.904838
1,0,vim_tiny,brain_tumor,0.1,13,classifier,0.159932
1,4,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.976975
1,4,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.981481
1,4,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.927963
1,4,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.988587
1,4,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.978243
1,4,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.945323
1,4,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.926951
1,4,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.960187
1,4,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.987859
1,4,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.952939
1,4,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.987664
1,4,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.940459
1,4,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.964307
1,4,vim_tiny,brain_tumor,0.1,13,classifier,0.309755
1,9,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.991838
1,9,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.986859
1,9,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.969840
1,9,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.951470
1,9,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.871707
