round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,41.9499,35.8974,31.975,42.2349,0,0.096016,0.052854,4.236676,1.585,0.717875,0.261377,0.001922,0.001058,0.002307,0.000863,0.025837,0.009407,0.271032,0.038232,0.050699,100.0,0.0,100.0,27.0382
2,0.00999014,25.3482,10.1111,6.337,25.0,0,0.092106,0.065289,1.357226,0.633321,0.765245,0.465894,0.001844,0.001307,0.000739,0.000345,0.027542,0.016768,0.619939,0.173203,0.174566,50.0,50.0,100.0,13.7916
3,0.00996061,26.9638,13.9034,41.4106,26.6969,0,0.210553,0.094272,1.910174,0.837482,1.898102,1.040271,0.004214,0.001887,0.00104,0.000456,0.068314,0.03744,0.626706,0.216498,0.347669,100.0,0.0,100.0,27.6947
4,0.00991152,25.3482,10.1111,6.337,25.0,0,0.128986,0.068554,1.738622,1.243143,0.801856,0.572024,0.002582,0.001372,0.000947,0.000677,0.028859,0.020588,0.639713,0.155786,0.212718,100.0,0.0,100.0,27.7422
5,0.00984307,24.7354,9.9151,6.1838,25.0,0,0.311834,0.18083,3.818507,4.251443,1.925423,1.051208,0.006242,0.00362,0.002079,0.002315,0.069297,0.037834,0.558506,0.33612,0.477997,100.0,0.0,100.0,27.0964
6,0.00975553,25.3482,10.1111,6.337,25.0,0,0.140413,0.121593,0.839033,1.013028,0.703113,0.422424,0.002811,0.002434,0.000457,0.000552,0.025306,0.015203,0.609768,0.213173,0.029751,50.0,50.0,100.0,16.754
7,0.00964923,24.7354,9.9151,6.1838,25.0,0,1.102031,1.475924,24.034669,55.203263,2.045204,1.114971,0.022058,0.029542,0.013086,0.030057,0.073608,0.040129,0.448457,0.270947,0.333351,100.0,0.0,100.0,31.2873
8,0.00952461,25.3482,10.1111,6.337,25.0,0,0.633599,1.261466,2.166574,3.675882,0.985018,0.835459,0.012682,0.02525,0.00118,0.002001,0.035452,0.030069,0.180547,0.125582,0.131062,50.0,50.0,100.0,14.3147
9,0.00938215,25.2925,10.0934,6.3231,25.0,0,0.490801,0.295779,1.078877,0.605661,1.575784,1.054441,0.009824,0.00592,0.000587,0.00033,0.056714,0.03795,0.628605,0.483861,0.286165,100.0,0.0,100.0,28.4955
10,0.00922242,25.3482,10.1111,6.337,25.0,0,0.218287,0.099147,0.498411,0.306385,0.991385,0.833764,0.004369,0.001985,0.000271,0.000167,0.035681,0.030008,0.777889,0.626193,0.186983,100.0,0.0,100.0,28.4955
11,0.00904604,25.2925,10.0934,6.3231,25.0,0,0.552813,0.263437,0.778019,0.292864,1.604053,0.824744,0.011065,0.005273,0.000424,0.000159,0.057731,0.029683,0.511794,0.559891,0.23737,100.0,0.0,100.0,28.0799
12,0.00885371,25.3482,10.1111,6.337,25.0,0,0.311002,0.332912,0.602593,0.476001,1.103968,0.53005,0.006225,0.006664,0.000328,0.000259,0.039733,0.019077,0.517819,0.388167,0.047989,100.0,0.0,100.0,28.4955
13,0.0086462,25.2925,10.0934,6.3231,25.0,0,0.270189,0.118361,0.657447,0.277173,1.274562,0.554052,0.005408,0.002369,0.000358,0.000151,0.045872,0.019941,0.410898,0.318815,0.057233,100.0,0.0,100.0,28.0799
14,0.00842431,25.3482,10.1111,6.337,25.0,0,0.139722,0.095493,0.523948,0.282806,1.019584,0.485272,0.002797,0.001911,0.000285,0.000154,0.036696,0.017465,0.133336,0.192503,-0.009896,100.0,0.0,100.0,28.4955
15,0.00818893,25.2925,10.0934,6.3231,25.0,0,0.118999,0.080063,0.53747,0.265527,0.991237,0.350434,0.002382,0.001603,0.000293,0.000145,0.035675,0.012612,0.055532,0.169042,-0.015266,100.0,0.0,100.0,28.4955
16,0.00794099,31.8106,22.5475,18.3356,31.4059,0,0.144614,0.087001,0.532409,0.270832,0.904317,0.355353,0.002895,0.001741,0.00029,0.000147,0.032547,0.012789,0.13192,0.143924,-0.047983,100.0,0.0,100.0,28.4955
17,0.00768145,25.2925,10.0934,6.3231,25.0,0,0.129927,0.09946,0.546083,0.280891,0.937241,0.33675,0.002601,0.001991,0.000297,0.000153,0.033732,0.01212,0.046797,0.178017,-0.025297,100.0,0.0,100.0,28.0799
18,0.00741136,25.2925,10.0934,6.3231,25.0,0,0.154938,0.114406,0.544655,0.282613,0.893213,0.338073,0.003101,0.00229,0.000297,0.000154,0.032147,0.012167,0.076616,0.143466,-0.047162,100.0,0.0,100.0,28.4955
19,0.00713177,25.2925,10.0934,6.3231,25.0,0,0.154502,0.121887,0.581991,0.287873,0.912855,0.325592,0.003093,0.00244,0.000317,0.000157,0.032854,0.011718,0.034964,0.168512,-0.029341,100.0,0.0,100.0,27.1305
20,0.00684378,25.2925,10.0934,6.3231,25.0,0,0.172265,0.130205,0.602404,0.297698,0.877843,0.31969,0.003448,0.002606,0.000328,0.000162,0.031594,0.011506,0.041738,0.141939,-0.044789,100.0,0.0,100.0,27.1287
