round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,24.8886,9.9643,6.2222,25.0,0,0.205722,0.178113,5.038668,2.222319,0.824881,0.318402,0.0021,0.001818,0.002153,0.00095,0.029688,0.01146,0.188016,0.045641,0.084005,100.0,0.0,100.0,28.7661
2,0.00999014,35.1893,23.7459,21.8698,35.4732,0,0.168658,0.215481,1.151983,0.702176,0.898897,0.534736,0.001721,0.002199,0.000492,0.0003,0.032352,0.019246,0.35482,0.068015,0.088327,71.0843,28.9157,100.0,21.9539
3,0.00996061,24.8886,9.9643,6.2222,25.0,0,0.202426,0.185829,1.525195,1.542737,1.211934,0.877045,0.002066,0.001897,0.000652,0.000659,0.043618,0.031566,0.489415,0.136241,0.255514,100.0,0.0,100.0,28.0503
4,0.00991152,39.0869,26.677,22.1519,39.4152,0,0.192401,0.138419,1.024698,0.710684,1.070527,0.658657,0.001964,0.001413,0.000438,0.000304,0.038529,0.023706,0.355016,0.035351,0.077474,43.3735,56.6265,100.0,15.3235
5,0.00984307,39.588,28.9269,26.7839,39.8013,0,0.155738,0.083604,1.147921,0.548613,0.934585,0.72671,0.001589,0.000853,0.000491,0.000234,0.033636,0.026155,0.515133,0.129415,0.173536,100.0,0.0,100.0,27.9668
6,0.00975553,46.0468,37.3263,66.0055,45.7595,0,0.220056,0.124968,1.006753,0.504437,0.679398,0.400562,0.002246,0.001275,0.00043,0.000216,0.024452,0.014417,0.063519,0.056811,0.04862,50.0,50.0,100.0,13.7267
7,0.00964923,42.9287,36.3787,48.451,43.1841,0,0.1548,0.129818,1.040492,0.611962,0.491991,0.333427,0.00158,0.001325,0.000445,0.000261,0.017707,0.012,0.130101,0.081619,0.047124,100.0,0.0,100.0,28.2381
8,0.00952461,48.0512,39.3962,59.1233,47.7382,0,0.188429,0.091819,1.123652,0.598772,0.637332,0.313538,0.001923,0.000937,0.00048,0.000256,0.022938,0.011284,0.180894,0.146967,0.045839,50.0,50.0,100.0,13.7374
9,0.00938215,56.9042,50.7213,50.9336,57.2986,0,0.113788,0.07525,0.915093,0.510824,0.462397,0.367316,0.001161,0.000768,0.000391,0.000218,0.016642,0.01322,0.103218,0.034264,0.00496,100.0,0.0,100.0,28.5881
10,0.00922242,58.2962,54.6583,68.6954,58.0903,0,0.140753,0.067389,1.08186,0.522671,0.522638,0.266633,0.001437,0.000688,0.000462,0.000223,0.01881,0.009596,0.236817,0.136916,0.022203,50.0,50.0,100.0,13.6821
11,0.00904604,58.9644,52.3597,51.0073,59.3787,0,0.104851,0.06458,0.829402,0.4266,0.390855,0.271044,0.00107,0.000659,0.000354,0.000182,0.014067,0.009755,0.081232,-0.000118,-0.023138,50.0,50.0,100.0,13.8151
