epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,15.089086859688198,7.752912529932467,5.614196020874103,15.194875368642185,78.17371937639199,78.02329701832339,79.30276346541967,78.06930229140904
1,24.888641425389753,9.964333481943825,6.222160356347438,25.0,79.39866369710468,79.2786262553853,80.09810274609023,79.34476865098267
2,35.18930957683742,23.74590660801306,21.869815118982938,35.47322546762008,80.79064587973274,80.0276783421626,83.28322762290567,80.71657699747409
3,24.888641425389753,9.964333481943825,6.222160356347438,25.0,81.9042316258352,81.7455208614209,82.84542514350066,81.8707001912678
4,39.08685968819599,26.676958564916486,22.151863140964355,39.41517189835576,85.30066815144765,85.22430738091842,85.4891333412647,85.26312981867376
5,39.5879732739421,28.92689010336069,26.783887455984505,39.80134127867899,87.41648106904232,87.37281699508839,87.40256681073818,87.37754838083637
6,46.0467706013363,37.3263404472309,66.00548452363694,45.759479540653246,89.58797327394208,89.53843099903791,89.54159467997943,89.55738923975467
7,42.928730512249444,36.378687017731856,48.45101596516691,43.184140855274265,88.64142538975501,88.56357051563654,88.81073671501353,88.58200589575145
8,48.051224944320715,39.39617647240656,59.12332113625518,47.738157924184435,88.53006681514476,88.45390096460736,89.32488872962207,88.47461034288852
9,56.90423162583519,50.721279790489696,50.933609795824154,57.29857298837345,88.75278396436525,88.67487936871133,89.02829492152996,88.72643562499792
10,58.29621380846325,54.65833474267091,68.69536512069307,58.0902763617388,91.48106904231625,91.44778068259633,91.57911304080874,91.45541141636627
11,58.964365256124715,52.35966218265297,51.007273869206074,59.378745902130504,90.8685968819599,90.84126005268726,90.93922181851994,90.83234079688948
12,62.75055679287305,60.723965816554816,68.52809219941946,62.59693256987051,90.20044543429844,90.20020487956091,90.25571050058522,90.18461923699115
13,60.244988864142535,53.54419575211695,51.03004848126346,60.67606339899956,91.25835189309576,91.17285954005254,91.5142319486978,91.23139376171548
14,67.3162583518931,66.00809935128501,70.863189792057,67.21866846611474,92.37193763919822,92.33825016646581,92.47635811477218,92.34869952114211
15,61.636971046770604,55.358725967035106,67.91345484823874,62.07555048405155,93.26280623608018,93.22860941269064,93.24482365054807,93.22848221367586
16,72.49443207126949,72.01709286941791,74.65345598404647,72.45046023789922,91.03563474387528,90.96577375578244,91.3772599069727,91.00451003752315
17,64.14253897550111,60.65541136382093,74.51220696167951,64.50343829859115,92.26057906458797,92.23036060578572,92.34232518533248,92.24384831952383
18,75.16703786191536,75.01834782216133,76.96585299727198,75.20466437245891,93.20712694877506,93.17927842845543,93.176909222281,93.18427234698153
19,68.20712694877506,66.98319661120473,74.85152643804007,68.49141420334188,92.3162583518931,92.30399722369798,92.38714020792784,92.29146940584663
20,77.78396436525613,77.74717269787402,78.71539603888246,77.80287429698832,90.97995545657017,90.87454226160186,91.35757169668994,90.94092908985209
21,67.76169265033407,66.40052629140393,75.00374471931475,68.02393392650873,91.36971046770601,91.31906787256348,91.32274122996623,91.33128166087054
22,77.11581291759465,76.99701845085447,78.52740545519164,77.12714583412624,91.815144766147,91.79012673332014,91.82197274740358,91.7908319975805
23,66.64810690423162,64.19261278638338,75.35557313755852,66.98879404765962,93.0400890868597,92.9773890213792,93.02467843105629,93.00284571136457
24,74.44320712694878,73.88793083896032,75.80240276175569,74.39442890875239,92.59465478841871,92.5177483589677,92.80868281458254,92.56469437629691
25,64.30957683741649,58.438065295425766,73.28464811414715,64.74459726846607,92.48329621380846,92.43026109723675,92.51273697029399,92.44208170415861
26,71.26948775055679,70.507293485025,74.3954589676687,71.19935816638224,93.15144766146993,93.10478311415963,93.13136263749624,93.11831176712502
27,64.53229398663697,59.55684485118241,74.03705627644653,64.94189286647227,92.98440979955457,92.91360332356446,93.00605192786429,92.94719300922176
28,74.16481069042317,73.65988240530932,75.6418134034413,74.12724050638334,93.15144766146993,93.09490892435738,93.11809211925652,93.12014675870965
29,66.0913140311804,62.021017485514406,76.43992590191941,66.4831267271655,92.48329621380846,92.44506834631834,92.70954643506145,92.43938365425984
30,73.05122494432071,72.27487722679952,75.57373418225639,72.9791018577136,92.65033407572383,92.58830496129147,92.64920315008897,92.61488006039744
31,64.03118040089086,57.806123347823245,72.26173385217369,64.47713612491681,92.81737193763921,92.76847001265868,92.77235602406893,92.7789623505944
32,77.61692650334075,77.35291999796902,78.60966676888242,77.5890516799642,93.42984409799554,93.37800034397266,93.56546032689666,93.41034707376132
33,66.31403118040089,61.51966002177469,73.61455567377536,66.7227157600419,93.26280623608018,93.21238602926869,93.25836724583212,93.23427433920494
34,75.38975501113586,75.14799607378839,77.43601296472819,75.3467344945373,91.42538975501114,91.35765116045005,91.65754683900104,91.4013969666575
35,67.42761692650335,63.897733603632915,73.44263530830695,67.79404031372,92.92873051224944,92.88213019504292,92.9051879356953,92.89452889694277
36,74.72160356347439,74.5220929040376,76.81961094738419,74.6636486985074,93.42984409799554,93.3755902611374,93.40581381887839,93.3902882419791
37,65.0890868596882,60.22825753859509,73.2307592010962,65.49990561571329,92.92873051224944,92.87679569122785,92.9293318955872,92.89578459179855
38,73.21826280623608,72.08608284127547,75.3773318755888,73.12016673056331,92.65033407572383,92.60484383633147,92.6008922314985,92.61415087508414
39,65.75723830734967,60.83267688871137,74.46765599612895,66.17493319189008,92.92873051224944,92.86268283759615,92.93695806835596,92.88733534139246
40,76.05790645879733,75.67754881944087,76.93232995991549,76.04239130537064,92.98440979955457,92.88948587644312,93.1334948791117,92.95669316323807
41,68.98663697104676,66.60989525142486,76.66343946224697,69.31806031280414,91.98218262806236,91.93629227994384,92.03514547712972,91.94637175711877
42,79.34298440979956,79.36834328972371,79.68909285096586,79.37242245795353,92.65033407572383,92.59085774829346,92.64249220701426,92.61767563257403
43,74.49888641425389,74.10985953012913,78.97245795319009,74.71102575208202,92.70601336302894,92.67168817985282,92.97724291155777,92.6607539307235
44,77.78396436525613,77.84551455526366,80.21534825959438,77.79307733411325,93.48552338530067,93.43983996587768,93.59354988557462,93.46201942711647
45,75.38975501113586,74.94892738259293,77.79489294631368,75.57695802170308,93.0957683741648,93.06476314074075,93.0793627348118,93.06074807136797
46,75.83518930957683,75.6727374689232,78.94481153062311,75.83377157109274,93.26280623608018,93.2205937009127,93.24226715829386,93.23190478598288
47,74.61024498886414,74.11424773515094,78.31975238047065,74.81453000546038,92.59465478841871,92.52390718083187,92.64317779867686,92.56267950290486
48,78.84187082405344,78.91028788781516,80.21546012611869,78.87282163230894,93.70824053452115,93.66264507698747,93.67479344670198,93.67668470086063
49,75.89086859688196,75.67205039001212,79.57708892328425,76.0740643149793,93.26280623608018,93.20393227151456,93.21467748822644,93.22489746973999
