round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.921030
1,1,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.931660
1,1,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.937754
1,1,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.940336
1,1,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.945556
1,1,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.950640
1,1,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.952566
1,1,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.953566
1,1,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.954979
1,1,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.955428
1,1,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.955220
1,1,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.954521
1,1,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.952864
1,1,vit_tiny,brain_tumor,0.1,13,base.norm,0.945804
1,1,vit_tiny,brain_tumor,0.1,14,classifier,0.948171
1,0,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.919420
1,0,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.932200
1,0,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.936699
1,0,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.939099
1,0,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.944276
1,0,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.950165
1,0,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.951689
1,0,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.953044
1,0,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.954890
1,0,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.955952
1,0,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.956642
1,0,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.957429
1,0,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.956431
1,0,vit_tiny,brain_tumor,0.1,13,base.norm,0.956448
1,0,vit_tiny,brain_tumor,0.1,14,classifier,0.925732
1,4,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.918144
1,4,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.930973
1,4,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.934165
1,4,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.935284
1,4,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.938711
1,4,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.942492
1,4,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.943373
1,4,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.944012
1,4,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.945085
1,4,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.945411
1,4,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.945234
1,4,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.944547
1,4,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.942814
1,4,vit_tiny,brain_tumor,0.1,13,base.norm,0.938736
1,4,vit_tiny,brain_tumor,0.1,14,classifier,0.805832
1,9,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.917285
1,9,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.929748
1,9,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.933691
1,9,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.934681
1,9,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.938062
1,9,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.942591
1,9,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.943801
1,9,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.944603
1,9,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.946012
1,9,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.946564
1,9,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.946596
1,9,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.946128
1,9,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.944267
1,9,vit_tiny,brain_tumor,0.1,13,base.norm,0.945224
1,9,vit_tiny,brain_tumor,0.1,14,classifier,0.886091
1,6,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.918882
1,6,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.932167
1,6,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.935616
1,6,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.936811
1,6,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.941114
1,6,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.945541
1,6,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.947671
1,6,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.949235
1,6,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.951978
1,6,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.953744
1,6,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.955036
1,6,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.956164
1,6,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.955866
1,6,vit_tiny,brain_tumor,0.1,13,base.norm,0.967970
1,6,vit_tiny,brain_tumor,0.1,14,classifier,0.865415
1,5,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.917431
1,5,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.930512
1,5,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.933463
1,5,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.934024
1,5,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.937209
1,5,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.941268
1,5,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.942440
1,5,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.943321
1,5,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.944737
1,5,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.945395
1,5,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.945436
1,5,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.945034
1,5,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.943348
1,5,vit_tiny,brain_tumor,0.1,13,base.norm,0.938790
1,5,vit_tiny,brain_tumor,0.1,14,classifier,0.785770
1,8,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.917147
1,8,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.929938
1,8,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.932680
1,8,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.933752
1,8,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.937199
1,8,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.941154
1,8,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.942193
