round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,25.4596,10.1465,6.3649,25.0,0,0.077124,0.067156,0.907093,0.93328,1.260613,0.728338,0.001152,0.001003,0.000354,0.000364,0.027829,0.016078,0.136292,-0.001237,-0.03603,90.0,10.0,100.0,28.7121
2,0.00999014,24.9582,9.9866,6.2396,25.0,0,0.131002,0.121384,1.169405,1.089002,1.665282,1.594144,0.001957,0.001814,0.000456,0.000425,0.036762,0.035192,0.254864,0.10317,0.046158,70.0,30.0,100.0,24.0762
3,0.00996061,25.8496,10.9474,31.3898,25.3906,0,0.17176,0.129673,1.346394,1.125945,2.560803,2.209516,0.002566,0.001937,0.000526,0.000439,0.056531,0.048776,0.30555,0.060647,0.082478,100.0,0.0,100.0,31.4936
4,0.00991152,24.624,9.8793,6.156,25.0,0,0.282458,0.350663,3.253552,5.031437,2.317134,2.80422,0.00422,0.005239,0.00127,0.001964,0.051152,0.061905,0.191297,0.066599,0.076677,70.0,30.0,100.0,23.6941
5,0.00984307,33.8162,23.3966,31.784,33.3705,0,0.110339,0.077543,0.691859,0.604147,1.174674,0.809777,0.001648,0.001159,0.00027,0.000236,0.025932,0.017876,0.077195,0.055041,0.001181,100.0,0.0,100.0,39.1669
6,0.00975553,26.1838,12.5385,28.4325,26.2451,0,0.155928,0.121321,1.001893,0.980115,1.39298,1.034298,0.00233,0.001813,0.000391,0.000383,0.030751,0.022833,0.16249,0.087233,0.05804,50.0,50.0,100.0,17.6399
7,0.00964923,57.8273,50.8484,50.2374,57.7359,0,0.124797,0.086724,0.830176,0.641457,1.465898,1.073411,0.001865,0.001296,0.000324,0.00025,0.03236,0.023696,0.097059,-0.023442,0.026804,100.0,0.0,100.0,31.4643
8,0.00952461,39.5543,28.1861,23.1346,39.8781,0,0.172046,0.13529,1.173881,0.87502,1.580355,1.642039,0.00257,0.002021,0.000458,0.000342,0.034887,0.036249,0.136667,0.034157,0.061971,50.0,50.0,100.0,15.1526
9,0.00938215,26.2953,11.8366,28.4846,25.8371,0,0.124485,0.083805,0.91527,0.526165,1.130958,0.715082,0.00186,0.001252,0.000357,0.000205,0.024967,0.015786,0.041075,-0.015596,0.012509,100.0,0.0,100.0,31.5047
10,0.00922242,34.0947,24.2973,27.0694,34.2897,0,0.160594,0.099488,1.019073,0.719549,1.378998,1.25137,0.002399,0.001486,0.000398,0.000281,0.030442,0.027625,0.146127,0.059468,0.06586,70.0,30.0,100.0,23.7666
11,0.00904604,34.9861,24.6601,50.892,34.6912,0,0.140509,0.100316,0.914131,0.60202,1.260394,0.909448,0.002099,0.001499,0.000357,0.000235,0.027824,0.020077,0.074698,0.011726,0.039855,100.0,0.0,100.0,31.7012
12,0.00885371,24.9582,9.9866,6.2396,25.0,0,0.216951,0.193041,2.436746,2.447024,1.601042,1.612356,0.003241,0.002884,0.000951,0.000955,0.035344,0.035594,0.16969,0.188085,0.057906,70.0,30.0,100.0,23.864
13,0.0086462,28.6908,16.1507,31.5812,28.2366,0,0.149007,0.107675,0.677681,0.523492,1.578422,1.211081,0.002226,0.001609,0.000265,0.000204,0.034845,0.026735,0.091093,0.004676,0.053221,100.0,0.0,100.0,31.5639
14,0.00842431,30.2507,19.354,48.7495,30.2125,0,0.189801,0.147515,1.119802,0.818601,1.551266,1.686857,0.002836,0.002204,0.000437,0.00032,0.034245,0.037238,0.111355,0.026609,0.058486,70.0,30.0,100.0,23.9193
15,0.00818893,30.0279,18.2658,31.6696,29.5759,0,0.136755,0.096959,0.710202,0.434266,1.012329,0.668309,0.002043,0.001449,0.000277,0.00017,0.022348,0.014753,0.019833,0.028791,-0.019292,100.0,0.0,100.0,31.4528
16,0.00794099,26.8524,13.7411,55.5824,26.9175,0,0.16278,0.108097,0.794234,0.639407,1.167792,0.930293,0.002432,0.001615,0.00031,0.00025,0.02578,0.020537,0.117208,0.037381,0.031572,60.0,40.0,100.0,21.6902
17,0.00768145,42.4513,37.0733,53.6517,42.1479,0,0.140507,0.098627,0.731501,0.488615,1.335858,0.945328,0.002099,0.001474,0.000286,0.000191,0.02949,0.020869,0.040695,-0.008867,0.0213,100.0,0.0,100.0,31.6001
18,0.00741136,25.0696,10.2208,31.2465,25.1131,0,0.164022,0.110849,1.075196,0.725497,1.380656,1.341792,0.002451,0.001656,0.00042,0.000283,0.030479,0.029621,0.120175,0.060606,0.064281,64.0187,35.9813,100.0,25.0796
19,0.00713177,36.156,27.8432,53.6794,35.7491,0,0.171181,0.126241,0.77995,0.460472,1.193091,0.835376,0.002558,0.001886,0.000304,0.00018,0.026338,0.018441,0.032226,0.082849,0.019972,100.0,0.0,100.0,31.3875
20,0.00684378,25.2925,10.6831,31.2605,25.3394,0,0.159798,0.095408,0.952267,0.611535,1.252433,1.19308,0.002387,0.001425,0.000372,0.000239,0.027648,0.026338,0.110937,0.051327,0.059741,60.0,40.0,100.0,21.7897
21,0.00654854,30.4735,19.7021,56.0104,30.0488,0,0.145944,0.108095,0.788513,0.505065,1.222809,0.88544,0.00218,0.001615,0.000308,0.000197,0.026994,0.019547,0.04152,0.012937,0.032893,100.0,0.0,100.0,31.612
22,0.00624721,25.0139,10.1039,31.243,25.0566,0,0.18247,0.116588,1.045925,0.723426,1.338553,1.251633,0.002726,0.001742,0.000408,0.000282,0.029549,0.02763,0.126816,0.050542,0.076173,60.0,40.0,100.0,21.7069
23,0.00594097,37.9944,29.7204,52.5039,37.5905,0,0.169029,0.12325,0.752309,0.457319,1.138482,0.803363,0.002525,0.001841,0.000294,0.000179,0.025133,0.017735,0.007601,0.007228,0.017369,100.0,0.0,100.0,31.3777
24,0.00563104,24.9582,9.9866,6.2396,25.0,0,0.153898,0.093341,1.007846,0.59291,1.193692,1.134297,0.002299,0.001395,0.000393,0.000231,0.026351,0.02504,0.109221,0.035898,0.054181,50.0,50.0,100.0,19.6906
25,0.00531864,34.2618,24.749,55.8023,33.8321,0,0.16249,0.115821,0.739465,0.475677,1.095787,0.750516,0.002428,0.00173,0.000289,0.000186,0.02419,0.016568,0.000796,-0.014139,0.013332,100.0,0.0,100.0,31.5994
26,0.005005,35.8774,25.2702,24.7244,35.6957,0,0.170927,0.09645,0.926471,0.568674,1.222367,1.10126,0.002554,0.001441,0.000362,0.000222,0.026984,0.024311,0.084406,0.037736,0.062312,50.0,50.0,100.0,19.7037
