round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,9,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.756903
1,9,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.700457
1,9,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.649485
1,9,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.625520
1,9,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.590537
1,9,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.551611
1,9,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.564299
1,9,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.534482
1,9,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.499649
1,9,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.471550
1,9,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.444255
1,9,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.439447
1,9,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.447642
1,9,vig_tiny,brain_tumor,0.03,13,classifier,0.268635
1,2,vig_tiny,brain_tumor,0.03,0,_vig_stem,1.000000
1,2,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,1.000000
1,2,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,1.000000
1,2,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,1.000000
1,2,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,1.000000
1,2,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,1.000000
1,2,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,1.000000
1,2,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,1.000000
1,2,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,1.000000
1,2,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,1.000000
1,2,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,1.000000
1,2,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,1.000000
1,2,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,1.000000
1,2,vig_tiny,brain_tumor,0.03,13,classifier,1.000000
1,0,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.798653
1,0,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.751598
1,0,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.710769
1,0,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.691668
1,0,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.657740
1,0,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.614767
1,0,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.627026
1,0,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.593908
1,0,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.556517
1,0,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.530732
1,0,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.504439
1,0,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.502161
1,0,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.510635
1,0,vig_tiny,brain_tumor,0.03,13,classifier,0.597876
1,1,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.959101
1,1,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.922878
1,1,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.880387
1,1,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.854608
1,1,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.819594
1,1,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.771434
1,1,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.784087
1,1,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.744701
1,1,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.714234
1,1,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.691196
1,1,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.665548
1,1,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.662960
1,1,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.664815
1,1,vig_tiny,brain_tumor,0.03,13,classifier,0.687732
1,6,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.875538
1,6,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.831052
1,6,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.787455
1,6,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.759688
1,6,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.723487
1,6,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.678463
1,6,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.695314
1,6,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.660426
1,6,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.623480
1,6,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.593038
1,6,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.566001
1,6,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.565896
1,6,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.578580
1,6,vig_tiny,brain_tumor,0.03,13,classifier,0.742878
1,5,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.796888
1,5,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.722675
1,5,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.658944
1,5,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.637847
1,5,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.604187
1,5,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.561656
1,5,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.571699
1,5,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.543924
1,5,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.507269
1,5,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.474977
1,5,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.447011
1,5,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.443430
1,5,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.452447
1,5,vig_tiny,brain_tumor,0.03,13,classifier,0.456247
1,3,vig_tiny,brain_tumor,0.03,0,_vig_stem,1.000000
1,3,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,1.000000
1,3,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,1.000000
1,3,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,1.000000
1,3,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,1.000000
1,3,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,1.000000
1,3,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,1.000000
1,3,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,1.000000
1,3,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,1.000000
1,3,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,1.000000
1,3,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,1.000000
1,3,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,1.000000
1,3,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,1.000000
1,3,vig_tiny,brain_tumor,0.03,13,classifier,1.000000
1,8,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.883646
1,8,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.836465
1,8,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.799664
1,8,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.783671
