round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.914245
1,0,1,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.870502
1,0,1,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.847548
1,0,1,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.836363
1,0,1,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.839130
1,0,1,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.842557
1,0,1,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.845633
1,0,1,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.847108
1,0,1,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.834267
1,0,1,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.833285
1,0,1,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.816888
1,0,1,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.804606
1,0,1,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.801185
1,0,1,vig_tiny,brain_tumor,0.03,13,classifier,0.305585
1,0,2,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.999819
1,0,2,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.999762
1,0,2,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.999692
1,0,2,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.999723
1,0,2,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.999706
1,0,2,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.999673
1,0,2,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.999637
1,0,2,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.999576
1,0,2,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.999470
1,0,2,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.999448
1,0,2,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.999329
1,0,2,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.999178
1,0,2,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.999148
1,0,2,vig_tiny,brain_tumor,0.03,13,classifier,0.923781
1,0,3,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.908068
1,0,3,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.914615
1,0,3,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.937802
1,0,3,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.940631
1,0,3,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.939721
1,0,3,vig_tiny,brain_tumor,0.03,5,_vig_blocks.4,0.937618
1,0,3,vig_tiny,brain_tumor,0.03,6,_vig_blocks.5,0.936142
1,0,3,vig_tiny,brain_tumor,0.03,7,_vig_blocks.6,0.930218
1,0,3,vig_tiny,brain_tumor,0.03,8,_vig_blocks.7,0.922321
1,0,3,vig_tiny,brain_tumor,0.03,9,_vig_blocks.8,0.930822
1,0,3,vig_tiny,brain_tumor,0.03,10,_vig_blocks.9,0.931958
1,0,3,vig_tiny,brain_tumor,0.03,11,_vig_blocks.10,0.923317
1,0,3,vig_tiny,brain_tumor,0.03,12,_vig_blocks.11,0.925447
1,0,3,vig_tiny,brain_tumor,0.03,13,classifier,0.326399
1,0,4,vig_tiny,brain_tumor,0.03,0,_vig_stem,0.727604
1,0,4,vig_tiny,brain_tumor,0.03,1,_vig_blocks.0,0.727965
1,0,4,vig_tiny,brain_tumor,0.03,2,_vig_blocks.1,0.709100
1,0,4,vig_tiny,brain_tumor,0.03,3,_vig_blocks.2,0.673801
1,0,4,vig_tiny,brain_tumor,0.03,4,_vig_blocks.3,0.661478
