round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,40.2228,30.3471,47.0693,40.004,0,1.196801,0.643035,0.990953,1.193765,0.63147,0.327211,0.0058,0.003116,0.000409,0.000492,0.022727,0.011777,-0.057807,0.095564,0.022609,100.0,0.0,100.0,31.3575
2,0.00999014,42.2284,34.5896,50.3168,41.8285,0,1.207371,0.651146,0.997888,0.926603,0.571814,0.2935,0.005851,0.003156,0.000412,0.000382,0.02058,0.010563,-0.055433,0.100535,-0.003115,70.0,30.0,100.0,23.8721
3,0.00996061,63.3426,55.221,51.7671,63.3321,0,1.190402,0.636846,0.853947,0.95406,0.530669,0.267816,0.005769,0.003086,0.000352,0.000393,0.019099,0.009639,-0.042687,0.068024,-0.004533,50.0,50.0,100.0,16.2114
4,0.00991152,65.0139,58.302,56.1276,64.9428,0,1.17084,0.643842,0.946282,1.060827,0.513085,0.265375,0.005674,0.00312,0.00039,0.000437,0.018466,0.009551,-0.055091,0.061179,-0.044082,50.0,50.0,100.0,15.1672
5,0.00984307,66.2953,57.7941,57.9148,66.3289,0,1.155009,0.621226,0.864161,0.836358,0.539991,0.275836,0.005598,0.003011,0.000356,0.000345,0.019435,0.009928,-0.044298,0.05579,-0.043704,50.0,50.0,100.0,16.2722
6,0.00975553,68.3008,61.9838,63.5522,68.248,0,1.115779,0.621349,0.817341,0.741918,0.565421,0.292889,0.005407,0.003011,0.000337,0.000306,0.02035,0.010541,-0.053349,0.060361,-0.059009,50.0,50.0,100.0,15.2544
7,0.00964923,66.9638,58.9516,70.9333,66.9989,0,1.120636,0.612287,0.752058,0.505164,0.593483,0.309366,0.005431,0.002967,0.00031,0.000208,0.02136,0.011134,-0.041025,0.050767,-0.049762,50.0,50.0,100.0,16.2649
8,0.00952461,64.5125,63.8075,65.2617,64.4792,0,1.067039,0.612797,0.762138,0.450378,0.604342,0.325802,0.005171,0.00297,0.000314,0.000186,0.021751,0.011726,-0.056598,0.052757,-0.067081,50.0,50.0,100.0,14.7462
9,0.00938215,65.6267,56.9783,52.2993,65.6335,0,1.095129,0.606776,0.740076,0.527644,0.647733,0.350633,0.005307,0.002941,0.000305,0.000218,0.023312,0.01262,-0.030796,0.070566,-0.041801,30.0,70.0,100.0,8.8939
10,0.00922242,49.805,52.4959,62.3365,49.8157,0,1.052347,0.645984,0.797795,0.449895,0.647388,0.368233,0.0051,0.003131,0.000329,0.000186,0.0233,0.013253,-0.0578,0.077354,-0.064093,50.0,50.0,100.0,14.6924
