round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,9,efficient1,brain_tumor,0.1,0,base.features.0,0.995927
1,9,efficient1,brain_tumor,0.1,1,base.features.1,0.953843
1,9,efficient1,brain_tumor,0.1,2,base.features.2,0.892255
1,9,efficient1,brain_tumor,0.1,3,base.features.3,0.849579
1,9,efficient1,brain_tumor,0.1,4,base.features.4,0.719674
1,9,efficient1,brain_tumor,0.1,5,base.features.5,0.572433
1,9,efficient1,brain_tumor,0.1,6,base.features.6,0.490217
1,9,efficient1,brain_tumor,0.1,7,base.features.7,0.461570
1,9,efficient1,brain_tumor,0.1,8,base.features.8,0.459346
1,9,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,2,efficient1,brain_tumor,0.1,0,base.features.0,0.994095
1,2,efficient1,brain_tumor,0.1,1,base.features.1,0.929047
1,2,efficient1,brain_tumor,0.1,2,base.features.2,0.838776
1,2,efficient1,brain_tumor,0.1,3,base.features.3,0.763936
1,2,efficient1,brain_tumor,0.1,4,base.features.4,0.660709
1,2,efficient1,brain_tumor,0.1,5,base.features.5,0.532951
1,2,efficient1,brain_tumor,0.1,6,base.features.6,0.482851
1,2,efficient1,brain_tumor,0.1,7,base.features.7,0.473807
1,2,efficient1,brain_tumor,0.1,8,base.features.8,0.471467
1,2,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,0,efficient1,brain_tumor,0.1,0,base.features.0,1.000000
1,0,efficient1,brain_tumor,0.1,1,base.features.1,1.000000
1,0,efficient1,brain_tumor,0.1,2,base.features.2,1.000000
1,0,efficient1,brain_tumor,0.1,3,base.features.3,1.000000
1,0,efficient1,brain_tumor,0.1,4,base.features.4,1.000000
1,0,efficient1,brain_tumor,0.1,5,base.features.5,1.000000
1,0,efficient1,brain_tumor,0.1,6,base.features.6,0.999924
1,0,efficient1,brain_tumor,0.1,7,base.features.7,0.000404
1,0,efficient1,brain_tumor,0.1,8,base.features.8,0.000100
1,0,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,1,efficient1,brain_tumor,0.1,0,base.features.0,0.999620
1,1,efficient1,brain_tumor,0.1,1,base.features.1,0.968755
1,1,efficient1,brain_tumor,0.1,2,base.features.2,0.951262
1,1,efficient1,brain_tumor,0.1,3,base.features.3,0.956895
1,1,efficient1,brain_tumor,0.1,4,base.features.4,0.976442
1,1,efficient1,brain_tumor,0.1,5,base.features.5,0.794430
1,1,efficient1,brain_tumor,0.1,6,base.features.6,0.703416
1,1,efficient1,brain_tumor,0.1,7,base.features.7,0.644793
1,1,efficient1,brain_tumor,0.1,8,base.features.8,0.579562
1,1,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,6,efficient1,brain_tumor,0.1,0,base.features.0,0.996488
1,6,efficient1,brain_tumor,0.1,1,base.features.1,0.945874
1,6,efficient1,brain_tumor,0.1,2,base.features.2,0.821127
1,6,efficient1,brain_tumor,0.1,3,base.features.3,0.813572
1,6,efficient1,brain_tumor,0.1,4,base.features.4,0.796202
1,6,efficient1,brain_tumor,0.1,5,base.features.5,0.745966
1,6,efficient1,brain_tumor,0.1,6,base.features.6,0.868987
1,6,efficient1,brain_tumor,0.1,7,base.features.7,0.760101
1,6,efficient1,brain_tumor,0.1,8,base.features.8,0.654648
1,6,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,5,efficient1,brain_tumor,0.1,0,base.features.0,0.987212
1,5,efficient1,brain_tumor,0.1,1,base.features.1,0.876934
1,5,efficient1,brain_tumor,0.1,2,base.features.2,0.762642
1,5,efficient1,brain_tumor,0.1,3,base.features.3,0.706802
1,5,efficient1,brain_tumor,0.1,4,base.features.4,0.632053
1,5,efficient1,brain_tumor,0.1,5,base.features.5,0.555035
1,5,efficient1,brain_tumor,0.1,6,base.features.6,0.506716
1,5,efficient1,brain_tumor,0.1,7,base.features.7,0.475593
1,5,efficient1,brain_tumor,0.1,8,base.features.8,0.473786
1,5,efficient1,brain_tumor,0.1,9,classifier,0.000000
1,3,efficient1,brain_tumor,0.1,0,base.features.0,0.990204
1,3,efficient1,brain_tumor,0.1,1,base.features.1,0.984728
1,3,efficient1,brain_tumor,0.1,2,base.features.2,0.989047
1,3,efficient1,brain_tumor,0.1,3,base.features.3,0.967087
1,3,efficient1,brain_tumor,0.1,4,base.features.4,0.970442
