round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,25.2925,10.0934,6.3231,25.0,0,0.351825,0.176689,4.944521,2.340534,1.121647,0.389993,0.001412,0.000709,0.001947,0.000922,0.015669,0.005448,0.130272,0.01178,-0.016405,50.0,50.0,100.0,14.1121
2,0.00999014,25.3482,10.1111,6.337,25.0,0,0.312024,0.151711,3.962603,1.736983,1.10925,0.415171,0.001253,0.000609,0.00156,0.000684,0.015496,0.0058,0.134525,0.00903,-0.01274,100.0,0.0,100.0,27.4073
3,0.00996061,25.2925,10.0934,6.3231,25.0,0,0.309128,0.137347,3.593112,1.609499,1.094729,0.414344,0.001241,0.000551,0.001415,0.000634,0.015293,0.005788,0.142922,0.014684,-0.029212,100.0,0.0,100.0,26.5843
4,0.00991152,26.1281,16.1028,13.6219,25.7821,0,0.291128,0.139688,3.210852,1.464037,1.096458,0.388673,0.001169,0.000561,0.001264,0.000576,0.015317,0.00543,0.162598,0.013335,-0.01244,100.0,0.0,100.0,28.6338
5,0.00984307,25.2925,10.0934,6.3231,25.0,0,0.269289,0.145835,2.601574,1.423696,1.160219,0.476816,0.001081,0.000585,0.001024,0.000561,0.016208,0.006661,0.16915,0.022215,-0.014795,100.0,0.0,100.0,28.3029
6,0.00975553,34.8189,25.3641,23.9094,34.7013,0,0.236009,0.118334,2.308548,1.133606,1.103531,0.409343,0.000947,0.000475,0.000909,0.000446,0.015416,0.005719,0.203118,0.022618,-0.022971,100.0,0.0,100.0,29.0546
7,0.00964923,34.039,29.0385,54.6177,33.8332,0,0.230253,0.1211,2.096395,1.153801,1.212758,0.501444,0.000924,0.000486,0.000825,0.000454,0.016942,0.007005,0.218072,0.024466,0.007055,50.0,50.0,100.0,15.1108
8,0.00952461,49.4708,40.8747,65.9502,49.4515,0,0.226433,0.119184,2.087563,1.13197,1.134935,0.462508,0.000909,0.000478,0.000822,0.000446,0.015855,0.006461,0.211867,0.022296,-0.027166,75.0,25.0,100.0,22.6447
9,0.00938215,43.1755,37.5518,39.1679,42.9701,0,0.231622,0.119074,1.966343,1.108127,1.322617,0.572418,0.00093,0.000478,0.000774,0.000436,0.018477,0.007997,0.229048,0.036305,0.056888,50.0,50.0,100.0,15.7106
10,0.00922242,44.5125,30.0763,47.1472,44.6371,0,0.230659,0.121009,1.944692,1.086519,1.160126,0.565378,0.000926,0.000486,0.000766,0.000428,0.016207,0.007898,0.209612,0.026975,-0.018272,75.0,25.0,100.0,20.8536
11,0.00904604,49.5822,44.9082,66.8208,49.3834,0,0.227556,0.10768,1.902258,1.051478,1.427223,0.654124,0.000914,0.000432,0.000749,0.000414,0.019938,0.009138,0.238508,0.036397,0.078308,50.0,50.0,100.0,13.7652
12,0.00885371,47.4652,35.6987,44.224,47.5374,0,0.224641,0.119473,1.933072,1.134299,1.16272,0.618039,0.000902,0.00048,0.000761,0.000447,0.016243,0.008634,0.211485,0.018954,-0.024942,50.0,50.0,100.0,13.6502
13,0.0086462,61.0585,57.3097,68.9339,60.9607,0,0.223667,0.105703,1.753214,0.944619,1.503562,0.713198,0.000898,0.000424,0.00069,0.000372,0.021005,0.009963,0.246767,0.042642,0.086708,50.0,50.0,100.0,13.5333
14,0.00842431,53.8162,45.5573,44.3422,53.7968,0,0.224531,0.118903,1.835538,1.066545,1.170792,0.663259,0.000901,0.000477,0.000723,0.00042,0.016356,0.009266,0.204311,0.02336,-0.047184,50.0,50.0,100.0,13.6429
15,0.00818893,66.5181,64.3284,73.1696,66.4203,0,0.231969,0.099282,1.782443,0.906059,1.530929,0.756767,0.000931,0.000399,0.000702,0.000357,0.021387,0.010572,0.247545,0.03955,0.109381,50.0,50.0,100.0,13.6056
16,0.00794099,55.6546,46.7825,46.9283,55.6308,0,0.213782,0.114308,1.686618,0.946245,1.147216,0.63908,0.000858,0.000459,0.000664,0.000373,0.016027,0.008928,0.215198,0.024655,-0.057813,25.0,75.0,100.0,7.1279
17,0.00768145,67.688,65.6328,73.3681,67.6269,0,0.232279,0.095964,1.707676,0.910658,1.545733,0.75978,0.000932,0.000385,0.000672,0.000359,0.021594,0.010614,0.251096,0.052371,0.113755,50.0,50.0,100.0,13.6164
18,0.00741136,56.9359,48.4023,45.9534,56.8892,0,0.221175,0.117533,1.767896,0.984657,1.141576,0.649372,0.000888,0.000472,0.000696,0.000388,0.015948,0.009072,0.190679,0.0182,-0.075157,50.0,50.0,100.0,13.6373
19,0.00713177,67.2981,63.7427,73.513,67.1736,0,0.240012,0.095152,1.771247,0.866981,1.516587,0.755386,0.000964,0.000382,0.000697,0.000341,0.021187,0.010553,0.240627,0.044495,0.115907,50.0,50.0,100.0,13.5824
20,0.00684378,58.5515,51.003,69.5251,58.4255,0,0.209596,0.107727,1.564642,0.832819,1.125658,0.622299,0.000841,0.000432,0.000616,0.000328,0.015725,0.008693,0.202279,0.014659,-0.078637,25.0,75.0,100.0,6.7099
21,0.00654854,68.6351,65.4634,74.3136,68.522,0,0.229908,0.089881,1.575276,0.771614,1.477807,0.723404,0.000923,0.000361,0.00062,0.000304,0.020645,0.010106,0.25378,0.050175,0.108324,75.0,25.0,100.0,21.5191
22,0.00624721,59.3315,51.5132,71.0938,59.2322,0,0.22099,0.110048,1.683639,0.891186,1.106198,0.611927,0.000887,0.000442,0.000663,0.000351,0.015454,0.008549,0.186589,0.012441,-0.075944,50.0,50.0,100.0,13.9741
23,0.00594097,71.6992,70.2997,75.6151,71.659,0,0.242352,0.090658,1.774286,0.952515,1.433731,0.699356,0.000973,0.000364,0.000699,0.000375,0.020029,0.00977,0.228083,0.040445,0.10316,50.0,50.0,100.0,13.508
