epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.235948803561492,5.538145293806142,4.340567612687813,8.213543213543215,91.81969949916528,91.96197696289781,93.04503418822551,91.89048714980704
1,24.76349471341124,9.924174843889384,6.19087367835281,25.0,97.10628825820812,97.0989645684383,97.11762413739885,97.11633812394658
2,28.10239287701725,15.394081391421818,12.674906383100366,27.93575860628841,94.60211463550363,94.63471377626844,94.79797933457886,94.59548108526828
3,29.493600445186424,18.235203465723753,31.203871748336358,29.669094949993823,97.10628825820812,97.12376325380072,97.14563835579622,97.11113654868771
4,24.707846410684475,9.906291834002676,6.176961602671119,25.0,96.32721202003339,96.34281868849943,96.3612375198435,96.33265104003254
5,32.27601558152477,22.32633351054404,31.532011478558285,32.415112976910734,96.04897050639956,96.06098105776233,96.22049950159031,96.07841164569716
6,24.540901502504173,10.672797676669893,6.797163995067818,24.83108108108108,96.71675013912076,96.72966595012082,96.74962652806025,96.71750900767196
7,46.521981079577074,38.830674601386974,34.95429999706627,46.51820684124055,97.71841958820256,97.71616759913636,97.72225017630723,97.72749806904133
8,26.822481914301616,13.212809309201273,12.220429721506717,26.632882882882882,96.54980523094045,96.54358395288003,96.58677891635824,96.5678910379967
9,36.61658319421257,27.129241748169637,33.66115010150194,36.707031454222474,97.16193656093489,97.15594034477844,97.15368003218379,97.16828580890268
10,33.16638842515303,25.880045301760845,36.667479690984386,33.32551412849426,96.77239844184753,96.77140245427044,96.78738623247818,96.77768876928042
11,45.40901502504174,30.535829621195475,23.217623134526796,45.33769601185331,96.43850862548692,96.44986779058624,96.54572715585952,96.4582042009678
12,36.95047301057318,25.236984723634272,44.52728884802312,36.843834043774514,97.38452977184195,97.37494657227205,97.38066382471693,97.38708437039786
13,45.52031163049527,40.813139212397644,45.66617438376096,45.70547442738454,97.16193656093489,97.16125460522589,97.18074019000387,97.17387999775082
14,38.06343906510851,31.51507711360036,63.33376620599164,37.794313945999335,96.93934335002783,96.93505017326602,96.9408344170136,96.94250212889992
15,45.1307735114079,30.98340216168094,25.106585243780366,45.085322234198635,97.60712298274903,97.60664238438792,97.6117348760252,97.6140739396004
16,25.65386755703951,10.96651786144352,31.33035215204025,25.439560439560438,97.21758486366166,97.21566305844136,97.2130442624744,97.2217753657035
17,53.14412910406232,45.51149581247503,40.2274335612185,53.18120549862123,96.60545353366722,96.61390080004028,96.67309796224555,96.62006295386756
18,30.272676683361155,18.96396843512992,45.65555992186427,30.004938881343374,96.99499165275459,96.9928135139279,96.99555974410453,97.00178484714165
19,48.02448525319978,40.5307358990807,46.16923103165939,48.08539787472371,96.71675013912076,96.71507153811805,96.73765876757186,96.72053866190335
20,32.38731218697829,21.682125948911978,31.233619983619988,32.08791208791209,97.60712298274903,97.60194157708996,97.62115835606342,97.60018486439724
21,53.53366722314969,47.11934260916334,42.74555677311871,53.60558082468195,97.71841958820256,97.71995717881431,97.72361487671057,97.7250504335853
22,44.963828603227604,34.14513548470842,46.184787442191386,44.9691933187729,97.88536449638286,97.88567453072089,97.88917567495352,97.88518930010113
23,43.01613800779076,31.87817099117473,28.989198472616952,43.04016929016929,96.04897050639956,96.04810833752016,96.10227197239435,96.05134204509159
24,35.00278241513634,26.02752337560966,48.66674827498018,34.702432399061614,97.49582637729549,97.49341848952771,97.49175308550309,97.49785141276325
25,48.02448525319978,36.514614724020575,32.79964577611041,47.99856004912185,97.32888146911519,97.33214067173422,97.37810532751624,97.3240145705545
26,39.510294936004456,32.87703489771036,49.56247813755893,39.27892332386714,97.16193656093489,97.15997832968492,97.16078228812746,97.1686985333834
27,42.626599888703396,35.48507350779927,62.431405900961714,42.500118087029314,97.32888146911519,97.33449676133947,97.3754339903651,97.34023607637717
28,44.90818030050083,39.02829144079276,48.9951172991199,44.65725471789911,97.66277128547578,97.65833366650286,97.66328434627582,97.66601029836762
29,42.01446855870896,29.53281423804227,25.2448246905967,41.86257562662057,96.71675013912076,96.72854799098191,96.76657706609576,96.72671226358257
30,54.535336672231495,47.25867984861816,47.56493899085005,54.37342031433854,97.49582637729549,97.48742767055592,97.48846155585072,97.49697448028797
31,44.629938786867,32.33788126249607,27.227666191447252,44.6022671022671,97.77406789092933,97.76887842234638,97.7684948788414,97.77614299128177
32,52.47634947134112,44.596885169814705,45.20886405915599,52.36851114260147,97.27323316638842,97.27035124368847,97.32547854679112,97.26472052612391
33,44.629938786867,32.578790113289216,27.683276921720147,44.596822096822095,96.93934335002783,96.9306963822178,96.9886665465139,96.93000658930045
34,39.677239844184754,28.51436441323515,44.98275933145664,39.49881393255156,96.27156371730662,96.28829217821504,96.3968270215559,96.2912687095104
35,37.67390094602114,27.76501962084784,28.918824839877473,37.780417780417785,97.21758486366166,97.22070167064525,97.24991147176006,97.22417236480783
36,49.91652754590985,42.41113045393148,39.56533793606651,49.64101664637418,98.05230940456316,98.04854816489656,98.05554962996534,98.04851487733399
37,44.4629938786867,31.250508002663235,25.12012536266221,44.427903177903175,96.93934335002783,96.93530499320941,96.94981460730733,96.93668716224337
38,28.77017250973845,16.519978876958284,31.154068218155977,28.516483516483515,97.77406789092933,97.77034663282818,97.77222479148733,97.77478173992051
39,43.683917640511964,36.60385083143696,46.37203786089174,43.579539955107336,97.10628825820812,97.1018653264879,97.10895855104691,97.1083294310469
40,42.29271007234279,32.38021556987074,37.300106105456656,41.91008807730662,97.10628825820812,97.10236792734531,97.10167294809452,97.11141056879208
41,48.41402337228715,41.74225508072572,42.90671966835937,48.4907198530794,97.21758486366166,97.22564019964229,97.26023802025645,97.22896290991015
42,44.4629938786867,34.85928197416129,49.313905802028366,44.06428429142173,97.55147468002225,97.54742348474221,97.54503286283716,97.5546533641444
43,25.264329437952142,10.290284721375443,7.294779132681903,24.946416196416195,97.66277128547578,97.66735392729146,97.67548198521719,97.6688706583044
44,42.57095158597663,28.46161192677088,46.66201966685908,42.1363292064237,96.38286032276015,96.37633324294913,96.37524474241528,96.39082472180174
45,47.52365052865888,35.62124084004793,46.55033362577571,47.43084990601547,97.55147468002225,97.54934715907507,97.55120620402633,97.55404166707092
46,43.572621035058425,34.335760890975976,51.01543295165383,43.19360414866033,97.94101279910963,97.93427917897493,97.94277432373468,97.93876177749605
47,43.4613244296049,32.06204294145291,43.801063075832744,43.310084700813185,98.05230940456316,98.045829210371,98.04916166460018,98.04951749367257
48,38.67557039510295,28.215745278869147,46.103124127001536,38.33127546610693,97.88536449638286,97.88091699035819,97.88429844009578,97.88739435253314
49,55.537006121313304,50.790867529385366,63.27748927620536,55.40401682385833,97.49582637729549,97.48771643765751,97.50520103075479,97.48894398217264
