round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.971271
1,0,1,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.954057
1,0,1,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.938264
1,0,1,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.925379
1,0,1,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.910014
1,0,1,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.902567
1,0,1,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.902683
1,0,1,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.893082
1,0,1,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.896595
1,0,1,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.885074
1,0,1,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.857153
1,0,1,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.820591
1,0,1,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.783766
1,0,1,vig_tiny,brain_tumor,0.1,13,classifier,0.261710
1,0,2,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.914875
1,0,2,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.814003
1,0,2,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.818313
1,0,2,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.805963
1,0,2,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.789248
1,0,2,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.779788
1,0,2,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.763286
1,0,2,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.712531
1,0,2,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.681845
1,0,2,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.687991
1,0,2,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.699502
1,0,2,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.675929
1,0,2,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.666131
1,0,2,vig_tiny,brain_tumor,0.1,13,classifier,0.267310
1,0,3,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.754091
1,0,3,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.514285
1,0,3,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.428196
1,0,3,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.357406
1,0,3,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.382724
1,0,3,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.377659
1,0,3,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.365508
1,0,3,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.331948
1,0,3,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.342914
1,0,3,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.343658
1,0,3,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.360625
1,0,3,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.390506
1,0,3,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.405080
1,0,3,vig_tiny,brain_tumor,0.1,13,classifier,0.441095
1,0,4,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.987125
1,0,4,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.979863
1,0,4,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.968277
1,0,4,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.961870
1,0,4,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.947024
1,0,4,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.938380
1,0,4,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.925095
1,0,4,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.916292
1,0,4,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.893531
1,0,4,vig_tiny,brain_tumor,0.1,9,_vig_blocks.8,0.894517
1,0,4,vig_tiny,brain_tumor,0.1,10,_vig_blocks.9,0.883040
1,0,4,vig_tiny,brain_tumor,0.1,11,_vig_blocks.10,0.845787
1,0,4,vig_tiny,brain_tumor,0.1,12,_vig_blocks.11,0.830706
1,0,4,vig_tiny,brain_tumor,0.1,13,classifier,0.605009
1,0,5,vig_tiny,brain_tumor,0.1,0,_vig_stem,0.959074
1,0,5,vig_tiny,brain_tumor,0.1,1,_vig_blocks.0,0.898775
1,0,5,vig_tiny,brain_tumor,0.1,2,_vig_blocks.1,0.900131
1,0,5,vig_tiny,brain_tumor,0.1,3,_vig_blocks.2,0.881792
1,0,5,vig_tiny,brain_tumor,0.1,4,_vig_blocks.3,0.860762
1,0,5,vig_tiny,brain_tumor,0.1,5,_vig_blocks.4,0.846460
1,0,5,vig_tiny,brain_tumor,0.1,6,_vig_blocks.5,0.839721
1,0,5,vig_tiny,brain_tumor,0.1,7,_vig_blocks.6,0.822303
1,0,5,vig_tiny,brain_tumor,0.1,8,_vig_blocks.7,0.813156
