round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.999370
1,0,1,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.950467
1,0,1,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.849464
1,0,1,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.748819
1,0,1,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.709170
1,0,1,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.810805
1,0,1,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.698537
1,0,1,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.625428
1,0,1,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.160268
1,0,1,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.580829
1,0,1,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.681951
1,0,1,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.726901
1,0,1,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.579771
1,0,1,vim_tiny,brain_tumor,0.1,13,classifier,0.102416
1,0,2,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.999301
1,0,2,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.930375
1,0,2,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.880345
1,0,2,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.814566
1,0,2,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.696511
1,0,2,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.919292
1,0,2,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.842218
1,0,2,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.923448
1,0,2,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.897336
1,0,2,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.849045
1,0,2,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.870373
1,0,2,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.878732
1,0,2,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.808568
1,0,2,vim_tiny,brain_tumor,0.1,13,classifier,0.181450
1,0,3,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.998972
1,0,3,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.985898
1,0,3,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.979126
1,0,3,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.873143
1,0,3,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.757654
1,0,3,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.915998
1,0,3,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.863401
1,0,3,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.851996
1,0,3,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.953522
1,0,3,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.941771
1,0,3,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.856678
1,0,3,vim_tiny,brain_tumor,0.1,11,base.layers.10.mixer,0.872199
1,0,3,vim_tiny,brain_tumor,0.1,12,base.layers.11.mixer,0.841715
1,0,3,vim_tiny,brain_tumor,0.1,13,classifier,0.042482
1,0,4,vim_tiny,brain_tumor,0.1,0,base.patch_embed,0.999332
1,0,4,vim_tiny,brain_tumor,0.1,1,base.layers.0.mixer,0.920199
1,0,4,vim_tiny,brain_tumor,0.1,2,base.layers.1.mixer,0.804597
1,0,4,vim_tiny,brain_tumor,0.1,3,base.layers.2.mixer,0.851013
1,0,4,vim_tiny,brain_tumor,0.1,4,base.layers.3.mixer,0.726818
1,0,4,vim_tiny,brain_tumor,0.1,5,base.layers.4.mixer,0.909198
1,0,4,vim_tiny,brain_tumor,0.1,6,base.layers.5.mixer,0.852468
1,0,4,vim_tiny,brain_tumor,0.1,7,base.layers.6.mixer,0.781965
1,0,4,vim_tiny,brain_tumor,0.1,8,base.layers.7.mixer,0.948573
1,0,4,vim_tiny,brain_tumor,0.1,9,base.layers.8.mixer,0.867193
1,0,4,vim_tiny,brain_tumor,0.1,10,base.layers.9.mixer,0.835475
