round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,35.8774,25.8277,40.587,36.1525,0,0.106385,0.06598,4.531554,1.662001,0.769113,0.278185,0.002129,0.001321,0.002467,0.000905,0.027681,0.010012,0.261801,0.037956,0.052865,100.0,0.0,100.0,27.0914
2,0.00999014,25.3482,10.1111,6.337,25.0,0,0.1015,0.071422,1.421553,0.679872,0.891174,0.55721,0.002032,0.00143,0.000774,0.00037,0.032074,0.020054,0.62544,0.208586,0.191579,50.0,50.0,100.0,13.8144
3,0.00996061,27.7437,14.8686,30.415,27.4787,0,0.239161,0.106035,2.068453,0.911193,2.126411,1.208455,0.004787,0.002122,0.001126,0.000496,0.076531,0.043493,0.633278,0.231063,0.377666,100.0,0.0,100.0,27.2738
4,0.00991152,25.3482,10.1111,6.337,25.0,0,0.161965,0.128059,2.592179,3.592415,0.847341,0.579913,0.003242,0.002563,0.001411,0.001956,0.030496,0.020872,0.622679,0.12277,0.183659,100.0,0.0,100.0,27.7021
5,0.00984307,25.3482,10.1111,6.337,25.0,0,0.335529,0.331682,4.576043,9.017366,1.29662,0.517005,0.006716,0.006639,0.002492,0.00491,0.046666,0.018607,0.523443,0.202366,0.30538,100.0,0.0,100.0,28.7226
6,0.00975553,25.2925,10.0934,6.3231,25.0,0,0.349034,0.171893,1.721037,0.787402,1.87204,1.181197,0.006986,0.003441,0.000937,0.000429,0.067376,0.042512,0.632661,0.445614,0.242687,100.0,0.0,100.0,27.1631
7,0.00964923,25.3482,10.1111,6.337,25.0,0,0.202872,0.110388,0.900252,0.735841,1.123892,1.146549,0.004061,0.00221,0.00049,0.000401,0.04045,0.041265,0.760868,0.377798,0.295401,100.0,0.0,100.0,28.1092
8,0.00952461,25.2925,10.0934,6.3231,25.0,0,0.549801,0.290131,1.941241,0.871569,2.883736,1.589139,0.011005,0.005807,0.001057,0.000475,0.103788,0.057194,0.663343,0.439629,0.569249,100.0,0.0,100.0,27.1225
9,0.00938215,25.3482,10.1111,6.337,25.0,0,0.278445,0.183884,1.063309,1.012716,1.032909,0.831001,0.005573,0.003681,0.000579,0.000551,0.037175,0.029908,0.763477,0.342207,0.175652,100.0,0.0,100.0,27.3012
10,0.00922242,25.2925,10.0934,6.3231,25.0,0,0.579474,0.287699,2.376369,1.101665,2.85734,1.463751,0.011599,0.005759,0.001294,0.0006,0.102838,0.052682,0.551092,0.633002,0.529679,100.0,0.0,100.0,27.1361
11,0.00904604,25.3482,10.1111,6.337,25.0,0,0.41278,0.23242,0.89896,0.587926,1.34945,1.113903,0.008262,0.004652,0.000489,0.00032,0.048568,0.04009,0.774288,0.439949,0.326686,100.0,0.0,100.0,27.1524
12,0.00885371,31.6435,20.546,16.8711,31.5272,0,0.369728,0.20927,1.018721,0.419846,1.344437,0.798084,0.0074,0.004189,0.000555,0.000229,0.048387,0.028724,0.528043,0.457316,0.23341,100.0,0.0,100.0,27.028
13,0.0086462,25.3482,10.1111,6.337,25.0,0,0.173105,0.090814,0.61523,0.350826,1.089877,0.774235,0.003465,0.001818,0.000335,0.000191,0.039226,0.027865,0.682779,0.362812,0.149467,50.0,50.0,100.0,14.2917
14,0.00842431,30.0279,18.6199,16.317,29.8555,0,0.23463,0.132875,0.6685,0.315562,0.937938,0.422213,0.004696,0.00266,0.000364,0.000172,0.033757,0.015196,0.468261,0.342677,0.078062,100.0,0.0,100.0,27.1826
15,0.00818893,30.5292,19.4273,16.5269,30.3345,0,0.095193,0.04786,0.53105,0.323349,0.969473,0.493782,0.001905,0.000958,0.000289,0.000176,0.034892,0.017772,0.436811,0.305303,-0.028819,75.0,25.0,100.0,20.1103
16,0.00794099,29.6936,18.0932,15.9492,29.5087,0,0.126824,0.05506,0.581284,0.365481,0.888147,0.346311,0.002539,0.001102,0.000316,0.000199,0.031965,0.012464,0.468192,0.283594,-0.002206,50.0,50.0,100.0,14.0822
17,0.00768145,31.9777,20.5762,16.4563,31.81,0,0.089987,0.044642,0.541874,0.335012,0.910832,0.425762,0.001801,0.000894,0.000295,0.000182,0.032782,0.015324,0.44153,0.241944,-0.034782,75.0,25.0,100.0,20.2446
18,0.00741136,31.922,20.6062,16.5032,31.807,0,0.11272,0.048851,0.578477,0.326983,0.882205,0.363855,0.002256,0.000978,0.000315,0.000178,0.031751,0.013095,0.448523,0.223823,-0.015005,50.0,50.0,100.0,13.4371
19,0.00713177,30.8635,19.6298,28.7066,30.6675,0,0.094347,0.043032,0.577103,0.314048,0.899551,0.398714,0.001888,0.000861,0.000314,0.000171,0.032376,0.01435,0.460582,0.209951,-0.029334,50.0,50.0,100.0,14.0854
20,0.00684378,34.7075,23.0384,17.7838,34.665,0,0.10778,0.044532,0.6262,0.33187,0.872992,0.374983,0.002157,0.000891,0.000341,0.000181,0.03142,0.013496,0.474692,0.186598,-0.021895,75.0,25.0,100.0,20.3533
21,0.00654854,31.1978,20.4412,18.3898,31.0121,0,0.088445,0.033305,0.59241,0.325832,0.921109,0.38768,0.00177,0.000667,0.000323,0.000177,0.033151,0.013953,0.442554,0.188405,-0.02483,50.0,50.0,100.0,14.0928
22,0.00624721,33.9276,24.0039,38.6775,33.8304,0,0.092429,0.034657,0.604994,0.308421,0.890432,0.378044,0.00185,0.000694,0.000329,0.000168,0.032047,0.013606,0.448332,0.176648,-0.017104,50.0,50.0,100.0,13.8915
23,0.00594097,37.1588,34.9483,45.9032,36.9749,0,0.093515,0.035665,0.636503,0.338379,0.880125,0.3656,0.001872,0.000714,0.000347,0.000184,0.031676,0.013158,0.422971,0.15036,-0.025096,50.0,50.0,100.0,13.7933
24,0.00563104,41.8942,40.5877,46.8672,41.7499,0,0.088926,0.035687,0.615458,0.295301,0.889555,0.361225,0.00178,0.000714,0.000335,0.000161,0.032016,0.013001,0.367756,0.151226,-0.019119,75.0,25.0,100.0,20.2016
25,0.00531864,42.117,40.5398,46.6769,42.0666,0,0.088716,0.034996,0.647903,0.294615,0.885028,0.349709,0.001776,0.0007,0.000353,0.00016,0.031853,0.012586,0.289626,0.116718,-0.017262,50.0,50.0,100.0,13.9651
26,0.005005,40.1671,39.4208,46.6161,40.0328,0,0.084178,0.033395,0.589053,0.304105,0.862121,0.339515,0.001685,0.000668,0.000321,0.000166,0.031028,0.012219,0.279457,0.150491,-0.015105,50.0,50.0,100.0,14.0929
27,0.00469136,40.5014,38.9183,45.4783,40.3988,0,0.091003,0.0349,0.639075,0.28419,0.851595,0.343111,0.001822,0.000699,0.000348,0.000155,0.03065,0.012349,0.321357,0.159065,-0.021235,50.0,50.0,100.0,14.1093
28,0.00437896,46.0167,45.5997,50.4806,45.8809,0,0.088336,0.036414,0.63253,0.288547,0.849204,0.339008,0.001768,0.000729,0.000344,0.000157,0.030564,0.012201,0.227793,0.130819,-0.021719,50.0,50.0,100.0,14.0841
29,0.00406903,48.5237,47.9908,52.0559,48.3929,0,0.089283,0.036924,0.653791,0.289556,0.832999,0.329475,0.001787,0.000739,0.000356,0.000158,0.02998,0.011858,0.209431,0.118834,-0.018859,50.0,50.0,100.0,13.9976
30,0.00376279,48.8579,47.8064,51.7477,48.7305,0,0.08667,0.039747,0.624243,0.284407,0.818769,0.317199,0.001735,0.000796,0.00034,0.000155,0.029468,0.011416,0.200679,0.119049,-0.016176,50.0,50.0,100.0,14.0903
31,0.00346146,50.5292,50.3113,53.8034,50.4141,0,0.088248,0.042454,0.632901,0.293509,0.798029,0.317577,0.001766,0.00085,0.000345,0.00016,0.028722,0.01143,0.160996,0.120353,-0.017767,50.0,50.0,100.0,13.7732
32,0.00316622,48.9694,47.4278,52.2557,48.7763,0,0.086741,0.042978,0.599536,0.276228,0.774634,0.309003,0.001736,0.00086,0.000326,0.00015,0.02788,0.011121,0.156894,0.127938,-0.013711,50.0,50.0,100.0,13.5251
33,0.00287823,53.2591,53.0565,54.2182,53.2192,0,0.086168,0.039719,0.619671,0.298111,0.773142,0.312068,0.001725,0.000795,0.000337,0.000162,0.027826,0.011232,0.161967,0.12305,-0.020575,75.0,25.0,100.0,20.5301
34,0.00259864,40.7242,36.8744,54.4669,40.3751,0,0.092382,0.048625,0.621467,0.261153,0.773351,0.318471,0.001849,0.000973,0.000338,0.000142,0.027834,0.011462,0.156503,0.142697,-0.013529,50.0,50.0,100.0,13.7544
35,0.00232855,52.8134,52.4253,54.4578,52.8433,0,0.084979,0.041764,0.646231,0.314306,0.748446,0.313276,0.001701,0.000836,0.000352,0.000171,0.026937,0.011275,0.140137,0.099025,-0.017121,100.0,0.0,100.0,27.3982
36,0.00206901,41.2256,38.8859,58.5136,40.9181,0,0.090376,0.046965,0.626832,0.265506,0.751539,0.312645,0.001809,0.00094,0.000341,0.000145,0.027048,0.011252,0.177672,0.165893,-0.015734,30.303,69.697,100.0,9.419
37,0.00182107,54.0947,53.649,56.9921,53.9855,0,0.085339,0.041249,0.590213,0.258076,0.737076,0.298753,0.001708,0.000826,0.000321,0.000141,0.026528,0.010752,0.16992,0.1369,-0.010804,100.0,0.0,100.0,27.4687
38,0.00158569,41.7827,38.6257,59.6203,41.4501,0,0.086388,0.043415,0.602852,0.260374,0.74339,0.322521,0.001729,0.000869,0.000328,0.000142,0.026755,0.011608,0.163487,0.129116,-0.022415,50.0,50.0,100.0,14.1533
39,0.0013638,55.6546,55.7908,57.9231,55.5809,0,0.088263,0.042433,0.621478,0.269977,0.735544,0.313324,0.001767,0.000849,0.000338,0.000147,0.026473,0.011277,0.172367,0.11531,-0.014424,100.0,0.0,100.0,27.7769
40,0.00115629,40.39,34.9365,57.6585,40.0025,0,0.092899,0.044719,0.618115,0.260039,0.739016,0.303065,0.001859,0.000895,0.000337,0.000142,0.026598,0.010908,0.194402,0.153353,-0.012087,27.2727,72.7273,100.0,8.5235
41,0.00096396,54.039,52.8119,60.0064,53.8852,0,0.091,0.038906,0.607208,0.26451,0.711121,0.309907,0.001821,0.000779,0.000331,0.000144,0.025594,0.011154,0.19946,0.112962,-0.028741,100.0,0.0,100.0,27.8486
42,0.00078758,41.6156,36.0492,57.6186,41.2313,0,0.08936,0.037412,0.599741,0.248427,0.728315,0.297969,0.001789,0.000749,0.000327,0.000135,0.026213,0.010724,0.203996,0.139993,-0.014394,50.0,50.0,100.0,14.2994
43,0.00062785,50.585,48.6402,59.9674,50.3834,0,0.095057,0.03853,0.606116,0.254609,0.714064,0.303102,0.001903,0.000771,0.00033,0.000139,0.0257,0.010909,0.189653,0.12068,-0.030812,100.0,0.0,100.0,27.6428
44,0.00048539,45.9053,43.1584,59.8516,45.6071,0,0.096145,0.0374,0.594054,0.244012,0.742748,0.30479,0.001924,0.000749,0.000323,0.000133,0.026732,0.01097,0.193202,0.131873,-0.012904,50.0,50.0,100.0,13.3646
45,0.00036077,48.1337,47.6689,60.0079,47.9513,0,0.100332,0.039172,0.621906,0.261413,0.723739,0.309281,0.002008,0.000784,0.000339,0.000142,0.026048,0.011131,0.173137,0.113125,-0.027227,75.0,25.0,100.0,20.4198
46,0.00025447,50.195,48.9075,58.4044,49.958,0,0.097206,0.036144,0.623902,0.257326,0.723895,0.295926,0.001946,0.000723,0.00034,0.00014,0.026054,0.010651,0.220951,0.13168,-0.019183,75.0,25.0,100.0,20.4658
47,0.00016693,50.3621,48.6533,58.018,50.1292,0,0.096493,0.03763,0.606811,0.256554,0.713398,0.296779,0.001931,0.000753,0.00033,0.00014,0.025676,0.010681,0.171488,0.118598,-0.02291,100.0,0.0,100.0,27.7853
