epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,26.128133704735372,12.162797493336877,25.67084757461601,25.77888424092104,88.41225626740948,88.35499171080184,88.49844987485778,88.46669277124057
1,35.87743732590529,25.82774249146213,40.58700946515081,36.15253656391257,90.02785515320333,90.01130036630649,90.21709983669662,90.08572846743357
2,25.348189415041784,10.11111111111111,6.337047353760446,25.0,88.18941504178272,88.28074110396766,88.66806007956876,88.21271031331929
3,27.74373259052925,14.868588267285249,30.41500316471104,27.47871770448863,90.1949860724234,90.09390705228179,90.61589748304897,90.2695810343517
4,25.348189415041784,10.11111111111111,6.337047353760446,25.0,87.79944289693593,87.8000154141407,87.95028860473533,87.83636245673043
5,25.348189415041784,10.11111111111111,6.337047353760446,25.0,86.23955431754875,86.13664929767987,86.95140618912664,86.32695654300991
6,25.292479108635096,10.093374833259226,6.323119777158774,25.0,84.45682451253482,84.20142106523538,84.42740805140176,84.53312836669924
7,25.348189415041784,10.11111111111111,6.337047353760446,25.0,85.51532033426183,85.3394943592912,85.87743637135881,85.60531951339155
8,25.292479108635096,10.093374833259226,6.323119777158774,25.0,84.958217270195,84.48715828914001,85.98240654281824,85.08839962940766
9,25.348189415041784,10.11111111111111,6.337047353760446,25.0,86.85236768802228,86.78235230513354,87.22287810427835,86.9323085412098
10,25.292479108635096,10.093374833259226,6.323119777158774,25.0,85.40389972144847,85.55998623248455,86.28485307279901,85.42701303001898
11,25.348189415041784,10.11111111111111,6.337047353760446,25.0,86.90807799442896,87.0226425219764,87.38221411828778,86.93350162837076
12,31.643454038997216,20.546000410908107,16.8711083645669,31.527199154822895,85.51532033426183,85.46975798212648,85.79037563429489,85.55325996243333
13,25.348189415041784,10.11111111111111,6.337047353760446,25.0,88.07799442896936,88.05654491011737,88.34869654153746,88.1437622857032
14,30.02785515320334,18.61989610071286,16.316975473829977,29.855532521378596,88.85793871866295,88.89548656590492,89.0309134880762,88.89470632052907
15,30.52924791086351,19.42732741454786,16.526921391275437,30.33451842275372,86.62952646239555,86.61767813913697,87.21503450899206,86.70037169162589
16,29.693593314763234,18.093202539236845,15.949234368259305,29.508690972153005,88.96935933147633,88.91096065774943,89.20551058026864,89.03577774172489
17,31.977715877437323,20.57616823259862,16.456314059053785,31.80995475113122,88.46796657381616,88.30946453030867,88.83496656382992,88.55246427382993
18,31.922005571030642,20.606159581925944,16.503186537433113,31.807014571331756,89.025069637883,89.03634568620838,89.33461410293955,89.08447073774879
19,30.86350974930362,19.629756885195064,28.706613424264177,30.667541838829738,88.52367688022285,88.40963062196559,88.91786287301723,88.60676149254797
20,34.7075208913649,23.038357394471866,17.783760683760686,34.66496900352821,88.35654596100278,88.25979670470674,88.84138946638947,88.44370978537862
21,31.197771587743734,20.441171974778545,18.389825360776708,31.01211952080053,89.24791086350974,89.23697699818558,89.58071951637872,89.31353766835757
22,33.92757660167131,24.003894164107507,38.67751060017394,33.83035458864689,89.41504178272982,89.44764518782245,89.71940675408369,89.46757386314266
23,37.15877437325905,34.94826833772297,45.903165446173524,36.97487598627791,88.63509749303621,88.56426546904787,89.05759338765436,88.71627127684395
24,41.8941504178273,40.58770048890191,46.86716951271115,41.74986808538247,89.80501392757661,89.84426104768457,90.14038594938819,89.85194995689942
25,42.116991643454035,40.5398222612382,46.67685251214008,42.06655202768185,89.35933147632312,89.34953786685533,89.72157971485741,89.42338137595975
26,40.16713091922006,39.42077335109154,46.61614603115038,40.03280324283175,90.5292479108635,90.56357135855492,90.87385508928114,90.57175077711486
27,40.50139275766016,38.91830431844851,45.47827550766994,40.398844436159806,89.69359331476323,89.66756070098394,90.03592237803673,89.76198355279723
28,46.01671309192201,45.599662175803736,50.480573904399606,45.88094923188212,90.13927576601671,90.17734873750037,90.5460651102903,90.1815611533155
