round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,9,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.958040
1,9,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.956031
1,9,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.951019
1,9,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.946251
1,9,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.937655
1,9,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.925400
1,9,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.921415
1,9,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.912314
1,9,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.905165
1,9,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.901076
1,9,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.899710
1,9,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.893509
1,9,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.884255
1,9,vit_tiny,brain_tumor,0.1,13,base.norm,0.835427
1,9,vit_tiny,brain_tumor,0.1,14,classifier,0.253692
1,4,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.961940
1,4,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.959487
1,4,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.955528
1,4,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.952229
1,4,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.944660
1,4,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.933531
1,4,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.930215
1,4,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.920724
1,4,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.913336
1,4,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.908589
1,4,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.906818
1,4,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.900095
1,4,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.891091
1,4,vit_tiny,brain_tumor,0.1,13,base.norm,0.843254
1,4,vit_tiny,brain_tumor,0.1,14,classifier,0.452476
1,6,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.960322
1,6,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.958715
1,6,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.954379
1,6,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.952179
1,6,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.945683
1,6,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.936873
1,6,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.935483
1,6,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.928030
1,6,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.923318
1,6,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.922011
1,6,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.922251
1,6,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.917760
1,6,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.912232
1,6,vit_tiny,brain_tumor,0.1,13,base.norm,0.948167
1,6,vit_tiny,brain_tumor,0.1,14,classifier,0.428678
1,7,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.957480
1,7,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.952158
1,7,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.943061
1,7,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.937540
1,7,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.929467
1,7,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.916427
1,7,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.912625
