epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,15.20891364902507,8.010491019153458,6.023501691131421,15.404007756948934,83.28690807799443,83.41492531834317,84.79746423688684,83.29184381950643
1,25.292479108635096,10.093374833259226,6.323119777158774,25.0,82.56267409470752,83.01581619319978,84.9809424530406,82.50092243387138
2,25.348189415041784,10.11111111111111,6.337047353760446,25.0,84.40111420612814,84.59604801399867,85.70260061005038,84.37472493737069
3,27.40947075208914,15.254689799191123,23.46972647605559,27.159483271818075,86.35097493036211,86.51154794501556,86.88432652311101,86.34134548522991
4,32.47910863509749,20.502943454128527,17.360837699506344,32.26405946994183,85.12534818941504,85.25202671149715,86.23230188854735,85.16134966996589
5,31.977715877437323,20.803137258107807,19.00445087945088,31.792723340080165,79.55431754874652,79.12479393867555,80.47918104439844,79.66688474138591
6,25.348189415041784,10.11111111111111,6.337047353760446,25.0,86.18384401114206,85.99474678831095,86.92206744452274,86.28385051713634
7,25.292479108635096,10.093374833259226,6.323119777158774,25.0,86.51810584958217,86.54481552441825,87.27356722367414,86.5898509980526
8,25.348189415041784,10.11111111111111,6.337047353760446,25.0,86.46239554317549,86.46651039798328,87.24137519518982,86.53376580009126
9,25.292479108635096,10.093374833259226,6.323119777158774,25.0,84.9025069637883,84.53537156762593,85.63701170710823,85.01908047969205
10,25.348189415041784,10.11111111111111,6.337047353760446,25.0,85.34818941504179,85.00807443796626,86.05766644775932,85.46110412073098
11,34.7075208913649,22.887182575529458,17.1878852268597,34.87127992505033,87.1866295264624,87.15442955231771,87.88622249166161,87.26606990438293
12,22.22841225626741,14.302843299618884,13.35786176738862,21.93517935808685,85.01392757660167,85.17023558828618,85.79367730979325,85.02131288831211
13,38.4958217270195,25.791113469841793,19.39359667650334,38.581388163533795,88.02228412256268,88.14271583148077,88.53475043432594,88.0555176085106
14,30.194986072423397,22.05231239038452,43.599028422896424,29.883732028717773,86.90807799442896,86.72333985679445,87.4688474851522,87.00623280533878
15,39.88857938718663,28.75534536581136,36.72764134055772,39.97409575441449,88.63509749303621,88.78563009658791,89.20107770959495,88.65230811201269
16,27.63231197771588,18.84417127238187,27.415499600413124,27.283837106329976,88.6908077994429,88.70953145614236,89.07676922672083,88.75113793032942
17,43.788300835654596,36.21659514332794,35.707945707749936,43.95376312485667,88.85793871866295,88.98730425714871,89.32407284820259,88.88142144490939
18,31.75487465181058,24.83007655699764,34.75508238196917,31.416610284840395,88.13370473537604,88.28606908948291,88.66769170398933,88.15747773735593
19,45.51532033426184,38.68017768125179,36.49177741947916,45.64110712562383,89.63788300835654,89.66166906891844,89.777205473637,89.67241305930085
20,30.5849582172702,24.055095713636877,34.82428278104423,30.250923915409533,89.08077994428969,89.09921252384152,89.44304665883142,89.14249315907776
21,46.239554317548745,39.137195826363055,34.63607208458216,46.41943431461441,88.91364902506965,89.03690464640329,89.30178634871359,88.9305511419401
22,34.317548746518106,28.86214164573978,39.91166770498612,33.97835630538403,89.58217270194986,89.64831595633675,89.87827899785691,89.61967642616774
23,50.5292479108635,50.18064723953951,52.92947001301209,50.54165182242405,89.74930362116991,89.80555806354546,89.97742690032189,89.78152157764751
24,39.94428969359332,38.125746456830036,47.77008123624598,39.708687655046816,90.08356545961003,90.1671739560533,90.32415709744855,90.10637296397857
25,49.749303621169915,50.167267994334686,52.03682057388404,49.71112994823801,89.86072423398329,89.9570294018813,90.15022280245252,89.88474287385921
26,41.78272980501393,39.52083694093001,51.183140580012264,41.57451496172667,90.02785515320333,90.05946918871219,90.15338065171727,90.06130877438213
27,49.52646239554318,48.295788348777876,53.48298313932661,49.44659557156318,89.97214484679665,90.06877735138283,90.26352663453885,89.99235269771678
28,43.231197771587745,40.03886706509675,55.46355447639044,43.10556813601644,89.63788300835654,89.63168551956744,89.74014872881327,89.68167155035513
29,50.807799442896936,50.756488316164564,56.08575964060171,50.72598720402556,90.02785515320333,90.1181710720328,90.34947148766372,90.04456344894282
30,45.90529247910863,44.18826941333461,57.19073820920178,45.79306131035854,90.25069637883009,90.35739887674727,90.59240701857553,90.27234375025253
