round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.999994
1,0,1,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.999614
1,0,1,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.999758
1,0,1,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.998736
1,0,1,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.997361
1,0,1,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.997145
1,0,1,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.997094
1,0,1,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.997140
1,0,1,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.997129
1,0,1,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.997007
1,0,1,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.997008
1,0,1,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.996969
1,0,1,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.996713
1,0,1,vit_tiny,brain_tumor,0.1,13,base.norm,0.991066
1,0,1,vit_tiny,brain_tumor,0.1,14,classifier,0.995189
1,0,2,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.999999
1,0,2,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.999952
1,0,2,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.999092
1,0,2,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.995659
1,0,2,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.992631
1,0,2,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.992331
1,0,2,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.992469
1,0,2,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.993118
1,0,2,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.993292
1,0,2,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.993240
1,0,2,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.993585
1,0,2,vit_tiny,brain_tumor,0.1,11,base.blocks.10,0.993727
1,0,2,vit_tiny,brain_tumor,0.1,12,base.blocks.11,0.993682
1,0,2,vit_tiny,brain_tumor,0.1,13,base.norm,0.987927
1,0,2,vit_tiny,brain_tumor,0.1,14,classifier,0.961826
1,0,3,vit_tiny,brain_tumor,0.1,0,base.patch_embed,0.999760
1,0,3,vit_tiny,brain_tumor,0.1,1,base.blocks.0,0.971662
1,0,3,vit_tiny,brain_tumor,0.1,2,base.blocks.1,0.957915
1,0,3,vit_tiny,brain_tumor,0.1,3,base.blocks.2,0.962599
1,0,3,vit_tiny,brain_tumor,0.1,4,base.blocks.3,0.960078
1,0,3,vit_tiny,brain_tumor,0.1,5,base.blocks.4,0.959652
1,0,3,vit_tiny,brain_tumor,0.1,6,base.blocks.5,0.956027
1,0,3,vit_tiny,brain_tumor,0.1,7,base.blocks.6,0.949849
1,0,3,vit_tiny,brain_tumor,0.1,8,base.blocks.7,0.947477
1,0,3,vit_tiny,brain_tumor,0.1,9,base.blocks.8,0.949744
1,0,3,vit_tiny,brain_tumor,0.1,10,base.blocks.9,0.946495
