round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,24.4989,9.839,6.1247,25.0,0,0.440925,0.149509,6.408747,1.388804,1.160974,0.260728,0.099517,0.005468,0.029044,75.9885,23.0769,99.0654,21.7154
2,0.0099846,24.7773,9.9286,6.1943,25.0,0,0.386365,0.155495,4.909696,1.389073,1.054943,0.226926,0.130967,0.015611,-0.001587,45.1427,47.7941,92.9368,16.081
3,0.0099385,24.4989,9.839,6.1247,25.0,0,0.400237,0.156197,4.545566,1.286273,1.055521,0.188724,0.130026,0.017401,0.018815,43.1548,49.0385,92.1933,15.0508
4,0.00986199,31.6258,23.2025,23.4618,32.0346,0,0.349096,0.14299,3.763376,1.266989,1.007839,0.23436,0.178069,0.019014,-0.018894,57.4124,37.3832,94.7955,16.0518
5,0.00975553,26.6147,16.0592,12.3943,27.1255,0,0.322636,0.139451,3.363597,1.141222,1.005392,0.193515,0.195711,0.025748,0.014548,33.8338,63.8298,97.6636,11.0713
6,0.00961978,39.922,28.3463,25.7182,40.8822,0,0.28711,0.122314,2.969804,1.063094,0.994015,0.240552,0.220888,0.028933,-0.013032,30.1544,65.3846,95.539,11.1307
7,0.00945558,51.0022,48.4425,60.7154,51.6797,0,0.276142,0.10269,2.697573,0.868327,1.029441,0.184099,0.240895,0.034493,0.05255,39.8654,59.2,99.0654,12.397
8,0.00926394,47.4944,40.8561,54.0625,48.0078,0,0.264509,0.106591,2.502807,0.83745,1.024647,0.340736,0.260518,0.025837,-0.020825,36.3327,63.2,99.5327,10.32
9,0.00904604,61.3029,61.2758,65.8241,61.47,0,0.263083,0.09606,2.472295,0.719304,1.0795,0.155588,0.23399,0.03184,0.091893,28.269,70.7965,99.0654,9.0399
10,0.00880323,45.6013,41.5048,55.574,46.1527,0,0.256329,0.104351,2.327175,0.79053,1.037765,0.405451,0.245409,0.026041,-0.022152,48.6229,50.4425,99.0654,13.5021
11,0.008537,70.2673,70.2717,72.9932,70.1607,0,0.2653,0.092856,2.419832,0.767884,1.126438,0.15371,0.243293,0.036535,0.12596,41.6636,56.0,97.6636,13.6672
12,0.00824899,53.8419,48.8357,65.9708,54.4122,0,0.255493,0.092338,2.275515,0.688739,1.049557,0.464207,0.220098,0.020925,-0.018794,22.0279,76.1029,98.1308,7.0072
13,0.00794099,76.5033,76.5382,78.4242,76.3162,0,0.27587,0.099052,2.424447,0.760903,1.188311,0.155477,0.228106,0.039293,0.161514,15.4123,83.1858,98.5981,4.9794
14,0.00761488,55.1225,47.4289,61.1602,55.6668,0,0.261119,0.093598,2.29365,0.689956,1.057878,0.542989,0.211777,0.019407,-0.036536,17.9327,81.6,99.5327,6.2526
15,0.00727268,76.559,76.3815,79.5811,76.2577,0,0.270703,0.087029,2.385099,0.688824,1.211106,0.157177,0.23617,0.042237,0.174479,27.9116,71.1538,99.0654,9.2901
16,0.0069165,65.2004,59.5207,74.2571,65.3942,0,0.255426,0.088652,2.201202,0.600315,1.005168,0.554767,0.205775,0.017072,-0.065657,16.7645,82.3009,99.0654,5.9306
17,0.00654854,72.049,71.1129,82.256,71.6001,0,0.271682,0.089735,2.347904,0.728224,1.20088,0.207807,0.235304,0.031397,0.176236,22.1423,76.9231,99.0654,7.3251
18,0.00617106,69.3207,64.0059,75.8802,69.2438,0,0.257069,0.088435,2.207613,0.608655,0.968069,0.581741,0.194025,0.010048,-0.082762,16.3731,82.6923,99.0654,5.7852
19,0.00578639,75.5011,74.4194,83.0366,75.0714,0,0.265528,0.084873,2.130349,0.779963,1.183199,0.261674,0.255805,0.041435,0.17984,24.6654,74.4,99.0654,8.002
20,0.0053969,79.9555,79.475,82.3248,79.9308,0,0.264855,0.082766,2.216019,0.559645,0.938803,0.565881,0.185843,0.012102,-0.08595,15.4619,84.0708,99.5327,5.2647
21,0.005005,78.0624,77.7606,83.9627,77.7047,0,0.260906,0.082245,2.147991,0.768945,1.095975,0.280399,0.242708,0.027895,0.152407,22.9592,76.1062,99.0654,6.4789
22,0.0046131,81.5145,81.0065,83.5014,81.425,0,0.242308,0.077983,1.978592,0.503117,0.890552,0.5004,0.21651,0.009655,-0.076121,24.7291,74.3363,99.0654,7.2705
23,0.00422361,79.7884,79.3935,84.8199,79.4427,0,0.251938,0.068982,2.008939,0.626081,1.04029,0.282454,0.243139,0.023321,0.121967,25.3676,74.6324,100.0,7.6179
24,0.00383894,85.8575,85.6594,86.5505,85.7639,0,0.251105,0.077912,2.073782,0.461531,0.840674,0.482562,0.19395,0.003143,-0.062236,29.9327,69.6,99.5327,8.3061
