epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,31.01336302895323,20.573737815034267,15.528727770177838,30.662240463544176,70.60133630289532,70.58750559113861,70.39092678873695,70.89973626504246
1,23.83073496659243,10.931607203600814,8.496327029114356,24.310520939734424,72.38307349665925,72.69662557484477,73.6216809772911,72.5839075190295
2,24.276169265033406,9.767025089605735,6.0690423162583516,25.0,73.44097995545657,73.90001287078854,74.78185303529021,73.71526217639477
3,24.77728285077951,9.928603302097278,6.194320712694878,25.0,77.44988864142539,77.5684497030826,78.00467355131006,77.64154554924293
4,37.1380846325167,25.497197361297598,23.35275690636822,37.134355383872524,80.34521158129176,80.38544104493445,81.31017175207653,80.42409836405166
5,38.02895322939867,27.459049095868405,28.20638225912343,37.739234449760765,82.96213808463251,83.11869178632142,83.85287752433037,83.00793227058425
6,49.55456570155902,41.75969849598904,40.0378051841284,49.36368574689433,82.96213808463251,83.02416739090242,83.76161911224949,82.99320175644102
7,44.43207126948775,37.34650801107296,54.69742174423462,43.89502253750785,83.24053452115812,83.33160625884697,84.67720367364007,83.21595119923019
8,57.12694877505567,49.4730890469838,51.36631815303133,56.956264559121564,83.96436525612472,84.02515225512937,84.85117350757251,83.96122094895757
9,54.4543429844098,53.066239669953866,54.15371194118983,54.03926258773698,83.63028953229399,83.68188911953128,84.15021154756823,83.55701972223059
10,60.07795100222717,52.66655179570454,58.08688787174364,59.76450671735613,83.9086859688196,84.02250248146231,84.77671911763336,83.89339171860642
11,60.244988864142535,57.32366024605115,57.32582658035942,59.9786801192991,84.4097995545657,84.34692548543158,85.02541991468475,84.33650319184774
12,61.85968819599109,54.8159853919894,57.31779444283075,61.53826555147228,84.68819599109132,84.72009167344683,85.3864085159054,84.61980705141137
13,60.634743875278396,57.55383106993818,58.12303849487665,60.412506553608395,85.80178173719376,85.79271232205677,86.31700213552527,85.73585961887223
14,64.03118040089086,59.08364339740112,60.84901359340022,63.70862601596343,85.913140311804,85.83419217897422,86.51615023652403,85.80474137229477
15,64.3652561247216,60.8996795710691,62.030932153467155,64.1126635566106,86.24721603563475,86.20809283162808,86.78311221172149,86.19575609775346
16,64.64365256124721,60.88846166877593,60.538838939471894,64.25747314808467,85.41202672605792,85.41683151422427,86.12415910893367,85.30595400562957
17,65.0890868596882,61.26634447963577,62.989807047790045,64.80031685432715,85.6347438752784,85.43926301717735,86.1787461825335,85.51074495846875
18,64.42093541202672,60.04728504705498,59.88852043306356,64.07271182273419,85.13363028953229,85.0594015069875,85.08215238327936,85.07842277148954
19,65.8685968819599,62.99881751894755,63.3308200717422,65.5654895983199,86.8596881959911,86.8342861024708,87.368631145026,86.7626122128188
20,66.31403118040089,63.3474016535178,63.5108365160619,65.98832384961054,86.41425389755011,86.4250378505455,86.70076721233491,86.34323577601876
21,66.0913140311804,62.34141133958694,63.014190424180285,65.83886847111407,85.52338530066815,85.40298202677887,85.50981785157346,85.38661486829405
22,66.92650334075724,64.21245701570524,64.34169879621409,66.62390401226332,86.02449888641426,85.99498365813447,86.46904865421273,85.91063818952223
23,67.3162583518931,64.14471138019277,64.56206945439061,67.00523154274532,86.69265033407572,86.61396713087001,86.6416645584668,86.64488690309142
24,68.20712694877506,65.89132908139683,66.53037108627329,67.95710691049953,86.63697104677061,86.55964038081676,86.90210137085138,86.55961317557652
25,68.87527839643653,66.44244680802305,66.66717461387086,68.58886045635309,87.69487750556793,87.65418346983327,88.10744532423894,87.6084317011663
26,69.82182628062361,67.94445667810764,68.53826569024518,69.55329612593582,86.97104677060133,86.88260810679336,87.3233369872917,86.89645754963357
27,70.32293986636972,67.73964181065197,68.46679181026823,70.0476366566067,86.74832962138085,86.74399740218477,86.9525169867645,86.68795884506555
28,71.49220489977728,70.22235229860141,70.35171520699704,71.20467529367318,86.46993318485524,86.35446840514818,86.6399295284714,86.35092643238576
29,71.32516703786192,69.26935422847244,69.61189714451449,71.07461273908032,87.19376391982183,87.18565446265862,87.27902905419933,87.14747320480451
30,72.0489977728285,70.86522760751464,71.08648407680998,71.76663815055815,87.30512249443207,87.22092140130223,87.22383792824367,87.25278432796107
31,72.32739420935413,71.25349525147297,71.66208651159931,72.13362468428008,87.41648106904232,87.36510326297886,87.38803391273254,87.37084631930117
32,73.44097995545657,72.22665244293509,72.18911617340129,73.20026748339959,86.91536748329621,86.73466462633317,86.67078563541433,86.83660849347649
33,73.38530066815144,72.23926753306671,72.52684795517985,73.14672696890618,87.19376391982183,87.15874398371433,87.21954261230613,87.15056455976274
34,74.44320712694878,73.19587283941132,73.51397858327556,74.22834103325805,87.58351893095768,87.48862382985348,87.76039951814478,87.49226846835205
35,77.33853006681515,76.7503204974061,76.57895543563835,77.1073807193951,88.69710467706014,88.63318039518975,88.7162307289788,88.62226055470038
36,75.89086859688196,74.56447272141644,75.5126654671946,75.66208325092514,87.75055679287304,87.71803623552374,87.80016207409426,87.69393970630956
37,77.61692650334075,76.96979177079464,76.81319558500573,77.38025305929592,87.69487750556793,87.62440963144286,87.73076664790497,87.62780646103174
38,75.77951002227171,74.49207597881473,75.08292996551398,75.5860981381587,87.69487750556793,87.63135656707392,87.74240325138848,87.62912174495897
39,78.06236080178174,77.59884642282806,77.4918824128426,77.80432232360003,89.53229398663697,89.48591041182327,89.90598224021731,89.46260411174501
