epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,23.565459610027855,9.841786877617496,6.1589982527664535,24.479166666666664,77.71587743732591,77.64601792784411,79.01269155078738,77.86284753667242
1,24.958217270194986,9.986625055728934,6.2395543175487465,25.0,79.55431754874652,79.41307781897791,83.4150233842107,79.89252622590446
2,42.84122562674095,31.38455265387663,51.79669022594923,42.175207367734224,64.95821727019498,64.5381807836092,64.51601531617638,64.9830877388848
3,57.325905292479106,51.40934470373397,56.00914639283181,56.48494770228748,73.5933147632312,73.58646619723194,77.51778468786353,73.36818360314993
4,58.27298050139276,52.85375411291346,62.53704350166544,57.47924260559787,79.2200557103064,79.17662361452776,81.02440273258982,79.43245553314016
5,71.6434540389972,68.82208773354839,73.6481067949173,71.16411391892694,79.66573816155989,79.19967257647224,79.51650999042644,79.6504294432046
6,68.80222841225627,64.70945026029185,71.87145595590665,68.23107339623957,82.56267409470752,82.62360581109594,82.95329693786825,82.59283777683373
7,67.35376044568245,59.986522294381295,66.80520838762442,66.54094841344424,79.94428969359332,79.71892923544485,79.73983882984747,79.93719261150638
8,77.43732590529248,77.58012300304193,79.774096467939,77.52238212219886,74.03899721448468,73.86839723524861,74.50247170720807,73.91266951646396
9,74.48467966573816,71.84519111552213,76.85039617759665,74.05407804417365,87.74373259052925,87.63430465856086,87.68759261802182,87.66963039290611
10,76.54596100278552,75.79669237837732,77.813029982337,76.29935816417873,72.25626740947075,69.30142492693274,74.62466089264939,72.72015809057652
11,68.6908077994429,65.71948691137047,75.08377548808329,68.23066212225146,84.67966573816156,84.57307891751995,85.67675097974008,84.48998029272703
12,79.05292479108635,78.56517884877563,79.92382125735658,78.88353358090392,84.01114206128135,83.98828332091472,84.37527200056157,83.8610983182028
13,80.11142061281336,79.41129549687581,80.32774371456405,79.8517274591484,78.66295264623956,78.40998232162804,80.63438470607882,78.50135058095479
14,80.66852367688023,80.7124688505257,81.7711368175702,80.64935865497385,78.10584958217271,78.29286277905848,81.40862412725696,78.00673532242578
15,81.5041782729805,79.22522617574337,81.89501168798323,81.02543796338266,85.57103064066852,85.57790010266156,85.9980261968673,85.4226655151406
16,82.56267409470752,82.5650221397728,83.53614466975296,82.56096315392114,87.79944289693593,87.72392113126683,87.88500644736533,87.6965272218804
17,80.05571030640668,79.06176911470567,80.60737582886887,79.78309471493861,77.15877437325905,77.18981708016503,77.45552334857993,77.1283453771233
18,83.23119777158774,83.1471655893394,84.03209419440041,83.19588419178045,85.73816155988858,85.93002251744097,86.40952238052478,85.71393989808249
19,83.008356545961,82.39082624291854,83.12768976365211,82.79942700980888,82.89693593314763,83.02005828127666,83.6408688287673,82.97366409802261
20,85.01392757660167,84.96484487315759,85.41725882316193,84.96448365673098,87.57660167130919,87.60327106904798,88.1129890975856,87.48296774216344
21,80.3899721448468,79.20961160611235,81.05779915153336,80.04492782960422,81.78272980501393,80.39372512882652,83.1836518337731,81.34520852585902
22,80.50139275766016,79.81130318426224,81.94985772177722,80.24759567907134,85.84958217270196,85.6585379359352,86.623661573152,85.64185918381902
23,82.6740947075209,81.79420723573952,82.82452791003196,82.39145632887927,84.34540389972145,83.77220853834234,87.12203654938389,83.95472325551503
24,83.3426183844011,82.14559123447641,83.52119098002679,83.01282144267903,85.84958217270196,85.94869990432001,86.1760146144632,85.81414936710246
25,83.008356545961,82.80874220986041,83.93395481662799,82.9299089069082,83.3426183844011,83.35210600279012,85.40381749405145,83.55778460131533
26,82.22841225626742,81.85063561059224,83.6950898343674,82.17225092757434,82.22841225626742,82.0768756989916,82.04050541192606,82.21740956993983
27,87.24233983286908,87.00377071944267,87.34392168434,87.154135799667,83.3983286908078,83.21197363843615,84.59749950745638,83.33178478465085
28,83.89972144846797,83.60566492757991,84.31859967631536,83.78050781537983,83.3983286908078,82.95574592026064,85.543911683102,83.0153934161247
29,86.57381615598887,85.88496363007766,86.46248327684151,86.32924196974483,75.87743732590529,74.78167342484274,79.83921875492348,75.51100538221165
30,83.28690807799443,82.3228025962757,84.35641010923017,82.88557447167817,78.10584958217271,78.40305791561697,79.05845132946818,78.10439837695411
31,86.68523676880223,86.2137391497726,86.60371097904908,86.53111358076184,83.3983286908078,83.15818320823195,83.70868384796769,83.1978586703582
32,86.0724233983287,85.38496363743769,86.30622679201274,85.81421518042147,81.94986072423399,82.00600981888277,82.24516325131039,81.88526622200187
33,83.95543175487465,83.56595017098194,85.20480662403043,83.78931072208282,85.96100278551532,85.76968311848378,86.56559283211548,85.76325485301251
34,87.9108635097493,87.50141720857077,87.74790100655564,87.71817881623831,89.30362116991644,89.04614191898123,89.48516690382039,89.1362662620998
35,83.28690807799443,82.5913083851881,84.39669603272544,83.03792503647749,88.35654596100278,88.21037122646887,89.47927081668522,88.11206758010559
36,87.07520891364902,86.8125311518967,87.10022518076079,86.92169710177926,83.95543175487465,83.56835545541176,87.22576789685509,83.57420585398681
37,83.17548746518106,81.46352798729166,84.60815069080303,82.74276944538495,92.36768802228413,92.18582063057067,92.56086984289115,92.21390220198313
38,86.85236768802228,86.48601185056502,87.3197009626546,86.72259265244874,86.57381615598887,86.09141669155801,86.60960072271104,86.31284086400774
39,88.07799442896936,87.470926479798,88.27429855297267,87.82537840240796,85.96100278551532,86.1524454414915,87.82236805379773,86.12537600974223
40,86.62952646239555,86.31164188360309,87.08780274991472,86.54660341300384,91.47632311977716,91.33892144475782,91.74526918662609,91.33659584572045
41,86.51810584958217,86.26689277606889,87.07192726260267,86.41115185974756,85.6824512534819,85.36004619666166,85.99308489514968,85.45826483217627
42,89.52646239554318,89.33939337304766,89.68982700268043,89.43708531446435,90.80779944289694,90.66996684266184,91.00733539720443,90.66445575630814
43,88.46796657381616,88.03150838992808,88.38312856039245,88.29729588763114,92.42339832869081,92.40757859599617,92.47101835258842,92.41584981829773
44,89.08077994428969,88.83143214987848,88.94867558097542,88.95257113628128,87.96657381615599,87.96274531884383,88.269206913635,87.83899733501724
45,88.35654596100278,88.04058392475311,88.5346482639078,88.21340539596277,92.75766016713092,92.74235508559046,92.89615912682778,92.74457936696291
46,87.1866295264624,86.80196553859568,87.67205579793274,87.01405274272116,85.34818941504179,84.72727478056933,87.07609800079396,85.01202769612817
47,86.23955431754875,85.6728971211367,87.08397357866201,85.9858269650691,91.97771587743733,92.03114150478325,92.34082473420567,91.98134526924319
48,88.3008356545961,87.90719906413895,88.5970416611351,88.1089038003382,92.64623955431755,92.43727603118307,93.04232321220157,92.47052464785118
49,88.74651810584957,88.28734345419933,89.2631925072952,88.53000889985691,87.9108635097493,87.50927884873055,88.78433477359657,87.62998154205818
