round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,res9,brain_tumor,0.3,0,base.2,0.987219
1,0,1,res9,brain_tumor,0.3,1,base.6,0.960529
1,0,1,res9,brain_tumor,0.3,2,base.7,0.859084
1,0,1,res9,brain_tumor,0.3,3,base.11,0.753345
1,0,1,res9,brain_tumor,0.3,4,base.15,0.737718
1,0,1,res9,brain_tumor,0.3,5,base.16,0.657889
1,0,1,res9,brain_tumor,0.3,6,base.17,0.657889
1,0,1,res9,brain_tumor,0.3,7,base.18,0.657889
1,0,1,res9,brain_tumor,0.3,8,classifier,0.083571
1,0,2,res9,brain_tumor,0.3,0,base.2,0.968920
1,0,2,res9,brain_tumor,0.3,1,base.6,0.932742
1,0,2,res9,brain_tumor,0.3,2,base.7,0.837131
1,0,2,res9,brain_tumor,0.3,3,base.11,0.606998
1,0,2,res9,brain_tumor,0.3,4,base.15,0.362366
1,0,2,res9,brain_tumor,0.3,5,base.16,0.271462
1,0,2,res9,brain_tumor,0.3,6,base.17,0.271462
1,0,2,res9,brain_tumor,0.3,7,base.18,0.271462
1,0,2,res9,brain_tumor,0.3,8,classifier,0.175001
1,0,3,res9,brain_tumor,0.3,0,base.2,0.977691
1,0,3,res9,brain_tumor,0.3,1,base.6,0.957724
1,0,3,res9,brain_tumor,0.3,2,base.7,0.854370
1,0,3,res9,brain_tumor,0.3,3,base.11,0.743659
1,0,3,res9,brain_tumor,0.3,4,base.15,0.698901
1,0,3,res9,brain_tumor,0.3,5,base.16,0.661645
1,0,3,res9,brain_tumor,0.3,6,base.17,0.661645
1,0,3,res9,brain_tumor,0.3,7,base.18,0.661645
1,0,3,res9,brain_tumor,0.3,8,classifier,0.455199
1,0,4,res9,brain_tumor,0.3,0,base.2,0.994967
1,0,4,res9,brain_tumor,0.3,1,base.6,0.987816
1,0,4,res9,brain_tumor,0.3,2,base.7,0.953797
1,0,4,res9,brain_tumor,0.3,3,base.11,0.806327
1,0,4,res9,brain_tumor,0.3,4,base.15,0.621142
1,0,4,res9,brain_tumor,0.3,5,base.16,0.560103
1,0,4,res9,brain_tumor,0.3,6,base.17,0.560103
1,0,4,res9,brain_tumor,0.3,7,base.18,0.560103
1,0,4,res9,brain_tumor,0.3,8,classifier,0.383897
1,0,5,res9,brain_tumor,0.3,0,base.2,0.997985
1,0,5,res9,brain_tumor,0.3,1,base.6,0.985858
1,0,5,res9,brain_tumor,0.3,2,base.7,0.940856
1,0,5,res9,brain_tumor,0.3,3,base.11,0.902084
1,0,5,res9,brain_tumor,0.3,4,base.15,0.745574
1,0,5,res9,brain_tumor,0.3,5,base.16,0.642753
1,0,5,res9,brain_tumor,0.3,6,base.17,0.642753
1,0,5,res9,brain_tumor,0.3,7,base.18,0.642753
1,0,5,res9,brain_tumor,0.3,8,classifier,0.429012
1,0,6,res9,brain_tumor,0.3,0,base.2,0.992611
1,0,6,res9,brain_tumor,0.3,1,base.6,0.924068
1,0,6,res9,brain_tumor,0.3,2,base.7,0.824977
1,0,6,res9,brain_tumor,0.3,3,base.11,0.725217
1,0,6,res9,brain_tumor,0.3,4,base.15,0.603794
1,0,6,res9,brain_tumor,0.3,5,base.16,0.489651
1,0,6,res9,brain_tumor,0.3,6,base.17,0.489651
1,0,6,res9,brain_tumor,0.3,7,base.18,0.489651
1,0,6,res9,brain_tumor,0.3,8,classifier,0.033022
1,0,7,res9,brain_tumor,0.3,0,base.2,0.950445
1,0,7,res9,brain_tumor,0.3,1,base.6,0.843091
1,0,7,res9,brain_tumor,0.3,2,base.7,0.780020
1,0,7,res9,brain_tumor,0.3,3,base.11,0.723125
1,0,7,res9,brain_tumor,0.3,4,base.15,0.759960
1,0,7,res9,brain_tumor,0.3,5,base.16,0.662306
1,0,7,res9,brain_tumor,0.3,6,base.17,0.662306
1,0,7,res9,brain_tumor,0.3,7,base.18,0.662306
1,0,7,res9,brain_tumor,0.3,8,classifier,0.257172
1,0,8,res9,brain_tumor,0.3,0,base.2,0.998385
1,0,8,res9,brain_tumor,0.3,1,base.6,0.987144
1,0,8,res9,brain_tumor,0.3,2,base.7,0.841575
1,0,8,res9,brain_tumor,0.3,3,base.11,0.741740
1,0,8,res9,brain_tumor,0.3,4,base.15,0.588620
1,0,8,res9,brain_tumor,0.3,5,base.16,0.656083
1,0,8,res9,brain_tumor,0.3,6,base.17,0.656083
1,0,8,res9,brain_tumor,0.3,7,base.18,0.656083
1,0,8,res9,brain_tumor,0.3,8,classifier,0.336551
1,0,9,res9,brain_tumor,0.3,0,base.2,0.999950
1,0,9,res9,brain_tumor,0.3,1,base.6,0.999487
1,0,9,res9,brain_tumor,0.3,2,base.7,0.999765
1,0,9,res9,brain_tumor,0.3,3,base.11,0.995352
1,0,9,res9,brain_tumor,0.3,4,base.15,0.992336
1,0,9,res9,brain_tumor,0.3,5,base.16,0.995300
1,0,9,res9,brain_tumor,0.3,6,base.17,0.995300
1,0,9,res9,brain_tumor,0.3,7,base.18,0.995300
1,0,9,res9,brain_tumor,0.3,8,classifier,0.702542
1,1,2,res9,brain_tumor,0.3,0,base.2,0.990859
1,1,2,res9,brain_tumor,0.3,1,base.6,0.946167
1,1,2,res9,brain_tumor,0.3,2,base.7,0.840029
1,1,2,res9,brain_tumor,0.3,3,base.11,0.592499
1,1,2,res9,brain_tumor,0.3,4,base.15,0.359694
1,1,2,res9,brain_tumor,0.3,5,base.16,0.346230
1,1,2,res9,brain_tumor,0.3,6,base.17,0.346230
1,1,2,res9,brain_tumor,0.3,7,base.18,0.346230
1,1,2,res9,brain_tumor,0.3,8,classifier,0.327662
1,1,3,res9,brain_tumor,0.3,0,base.2,0.997082
1,1,3,res9,brain_tumor,0.3,1,base.6,0.976199
1,1,3,res9,brain_tumor,0.3,2,base.7,0.897987
1,1,3,res9,brain_tumor,0.3,3,base.11,0.759070
1,1,3,res9,brain_tumor,0.3,4,base.15,0.565264
1,1,3,res9,brain_tumor,0.3,5,base.16,0.452812
1,1,3,res9,brain_tumor,0.3,6,base.17,0.452812
1,1,3,res9,brain_tumor,0.3,7,base.18,0.452812
1,1,3,res9,brain_tumor,0.3,8,classifier,0.271148
1,1,4,res9,brain_tumor,0.3,0,base.2,0.997540
1,1,4,res9,brain_tumor,0.3,1,base.6,0.957013
1,1,4,res9,brain_tumor,0.3,2,base.7,0.904417
1,1,4,res9,brain_tumor,0.3,3,base.11,0.880231
1,1,4,res9,brain_tumor,0.3,4,base.15,0.868761
1,1,4,res9,brain_tumor,0.3,5,base.16,0.730284
1,1,4,res9,brain_tumor,0.3,6,base.17,0.730284
1,1,4,res9,brain_tumor,0.3,7,base.18,0.730284
1,1,4,res9,brain_tumor,0.3,8,classifier,0.282157
1,1,5,res9,brain_tumor,0.3,0,base.2,0.992466
1,1,5,res9,brain_tumor,0.3,1,base.6,0.987743
1,1,5,res9,brain_tumor,0.3,2,base.7,0.945742
1,1,5,res9,brain_tumor,0.3,3,base.11,0.838963
1,1,5,res9,brain_tumor,0.3,4,base.15,0.683377
1,1,5,res9,brain_tumor,0.3,5,base.16,0.651886
1,1,5,res9,brain_tumor,0.3,6,base.17,0.651886
1,1,5,res9,brain_tumor,0.3,7,base.18,0.651886
1,1,5,res9,brain_tumor,0.3,8,classifier,0.286053
1,1,6,res9,brain_tumor,0.3,0,base.2,0.998127
1,1,6,res9,brain_tumor,0.3,1,base.6,0.969844
1,1,6,res9,brain_tumor,0.3,2,base.7,0.913091
1,1,6,res9,brain_tumor,0.3,3,base.11,0.799739
1,1,6,res9,brain_tumor,0.3,4,base.15,0.604916
1,1,6,res9,brain_tumor,0.3,5,base.16,0.503667
1,1,6,res9,brain_tumor,0.3,6,base.17,0.503667
1,1,6,res9,brain_tumor,0.3,7,base.18,0.503667
1,1,6,res9,brain_tumor,0.3,8,classifier,0.069342
1,1,7,res9,brain_tumor,0.3,0,base.2,0.980200
1,1,7,res9,brain_tumor,0.3,1,base.6,0.902782
1,1,7,res9,brain_tumor,0.3,2,base.7,0.879424
1,1,7,res9,brain_tumor,0.3,3,base.11,0.821511
1,1,7,res9,brain_tumor,0.3,4,base.15,0.773963
1,1,7,res9,brain_tumor,0.3,5,base.16,0.749178
1,1,7,res9,brain_tumor,0.3,6,base.17,0.749178
1,1,7,res9,brain_tumor,0.3,7,base.18,0.749178
1,1,7,res9,brain_tumor,0.3,8,classifier,0.535308
1,1,8,res9,brain_tumor,0.3,0,base.2,0.994267
1,1,8,res9,brain_tumor,0.3,1,base.6,0.980568
1,1,8,res9,brain_tumor,0.3,2,base.7,0.992621
1,1,8,res9,brain_tumor,0.3,3,base.11,0.959951
1,1,8,res9,brain_tumor,0.3,4,base.15,0.835837
1,1,8,res9,brain_tumor,0.3,5,base.16,0.819611
1,1,8,res9,brain_tumor,0.3,6,base.17,0.819611
1,1,8,res9,brain_tumor,0.3,7,base.18,0.819611
1,1,8,res9,brain_tumor,0.3,8,classifier,0.814325
1,1,9,res9,brain_tumor,0.3,0,base.2,0.988259
1,1,9,res9,brain_tumor,0.3,1,base.6,0.966304
1,1,9,res9,brain_tumor,0.3,2,base.7,0.867650
1,1,9,res9,brain_tumor,0.3,3,base.11,0.771287
1,1,9,res9,brain_tumor,0.3,4,base.15,0.708057
1,1,9,res9,brain_tumor,0.3,5,base.16,0.639617
1,1,9,res9,brain_tumor,0.3,6,base.17,0.639617
1,1,9,res9,brain_tumor,0.3,7,base.18,0.639617
1,1,9,res9,brain_tumor,0.3,8,classifier,0.380772
1,2,3,res9,brain_tumor,0.3,0,base.2,0.997993
1,2,3,res9,brain_tumor,0.3,1,base.6,0.992689
1,2,3,res9,brain_tumor,0.3,2,base.7,0.984089
1,2,3,res9,brain_tumor,0.3,3,base.11,0.787356
1,2,3,res9,brain_tumor,0.3,4,base.15,0.472650
1,2,3,res9,brain_tumor,0.3,5,base.16,0.334509
1,2,3,res9,brain_tumor,0.3,6,base.17,0.334509
1,2,3,res9,brain_tumor,0.3,7,base.18,0.334509
1,2,3,res9,brain_tumor,0.3,8,classifier,0.269801
1,2,4,res9,brain_tumor,0.3,0,base.2,0.981396
1,2,4,res9,brain_tumor,0.3,1,base.6,0.896878
1,2,4,res9,brain_tumor,0.3,2,base.7,0.752801
1,2,4,res9,brain_tumor,0.3,3,base.11,0.447078
1,2,4,res9,brain_tumor,0.3,4,base.15,0.213451
1,2,4,res9,brain_tumor,0.3,5,base.16,0.155892
1,2,4,res9,brain_tumor,0.3,6,base.17,0.155892
1,2,4,res9,brain_tumor,0.3,7,base.18,0.155892
1,2,4,res9,brain_tumor,0.3,8,classifier,0.094325
1,2,5,res9,brain_tumor,0.3,0,base.2,0.972139
1,2,5,res9,brain_tumor,0.3,1,base.6,0.953806
1,2,5,res9,brain_tumor,0.3,2,base.7,0.924080
1,2,5,res9,brain_tumor,0.3,3,base.11,0.771518
1,2,5,res9,brain_tumor,0.3,4,base.15,0.705113
1,2,5,res9,brain_tumor,0.3,5,base.16,0.508741
1,2,5,res9,brain_tumor,0.3,6,base.17,0.508741
1,2,5,res9,brain_tumor,0.3,7,base.18,0.508741
1,2,5,res9,brain_tumor,0.3,8,classifier,0.319269
1,2,6,res9,brain_tumor,0.3,0,base.2,0.987180
1,2,6,res9,brain_tumor,0.3,1,base.6,0.985842
1,2,6,res9,brain_tumor,0.3,2,base.7,0.952421
1,2,6,res9,brain_tumor,0.3,3,base.11,0.770025
1,2,6,res9,brain_tumor,0.3,4,base.15,0.745922
1,2,6,res9,brain_tumor,0.3,5,base.16,0.775185
1,2,6,res9,brain_tumor,0.3,6,base.17,0.775185
1,2,6,res9,brain_tumor,0.3,7,base.18,0.775185
1,2,6,res9,brain_tumor,0.3,8,classifier,0.626238
1,2,7,res9,brain_tumor,0.3,0,base.2,0.997597
1,2,7,res9,brain_tumor,0.3,1,base.6,0.975376
1,2,7,res9,brain_tumor,0.3,2,base.7,0.966782
1,2,7,res9,brain_tumor,0.3,3,base.11,0.775998
1,2,7,res9,brain_tumor,0.3,4,base.15,0.511368
1,2,7,res9,brain_tumor,0.3,5,base.16,0.404652
1,2,7,res9,brain_tumor,0.3,6,base.17,0.404652
1,2,7,res9,brain_tumor,0.3,7,base.18,0.404652
1,2,7,res9,brain_tumor,0.3,8,classifier,0.204228
1,2,8,res9,brain_tumor,0.3,0,base.2,0.977383
1,2,8,res9,brain_tumor,0.3,1,base.6,0.913094
1,2,8,res9,brain_tumor,0.3,2,base.7,0.822867
1,2,8,res9,brain_tumor,0.3,3,base.11,0.512915
1,2,8,res9,brain_tumor,0.3,4,base.15,0.203699
1,2,8,res9,brain_tumor,0.3,5,base.16,0.194242
1,2,8,res9,brain_tumor,0.3,6,base.17,0.194242
1,2,8,res9,brain_tumor,0.3,7,base.18,0.194242
1,2,8,res9,brain_tumor,0.3,8,classifier,0.360681
1,2,9,res9,brain_tumor,0.3,0,base.2,0.969537
1,2,9,res9,brain_tumor,0.3,1,base.6,0.939302
1,2,9,res9,brain_tumor,0.3,2,base.7,0.842770
1,2,9,res9,brain_tumor,0.3,3,base.11,0.644516
1,2,9,res9,brain_tumor,0.3,4,base.15,0.351350
1,2,9,res9,brain_tumor,0.3,5,base.16,0.264376
1,2,9,res9,brain_tumor,0.3,6,base.17,0.264376
1,2,9,res9,brain_tumor,0.3,7,base.18,0.264376
1,2,9,res9,brain_tumor,0.3,8,classifier,0.314614
1,3,4,res9,brain_tumor,0.3,0,base.2,0.990243
1,3,4,res9,brain_tumor,0.3,1,base.6,0.934927
1,3,4,res9,brain_tumor,0.3,2,base.7,0.792385
1,3,4,res9,brain_tumor,0.3,3,base.11,0.531466
1,3,4,res9,brain_tumor,0.3,4,base.15,0.236776
1,3,4,res9,brain_tumor,0.3,5,base.16,0.139286
1,3,4,res9,brain_tumor,0.3,6,base.17,0.139286
1,3,4,res9,brain_tumor,0.3,7,base.18,0.139286
1,3,4,res9,brain_tumor,0.3,8,classifier,0.048724
1,3,5,res9,brain_tumor,0.3,0,base.2,0.982596
1,3,5,res9,brain_tumor,0.3,1,base.6,0.978653
1,3,5,res9,brain_tumor,0.3,2,base.7,0.949505
1,3,5,res9,brain_tumor,0.3,3,base.11,0.864843
1,3,5,res9,brain_tumor,0.3,4,base.15,0.760584
1,3,5,res9,brain_tumor,0.3,5,base.16,0.698108
1,3,5,res9,brain_tumor,0.3,6,base.17,0.698108
1,3,5,res9,brain_tumor,0.3,7,base.18,0.698108
1,3,5,res9,brain_tumor,0.3,8,classifier,0.610256
1,3,6,res9,brain_tumor,0.3,0,base.2,0.994112
1,3,6,res9,brain_tumor,0.3,1,base.6,0.991327
1,3,6,res9,brain_tumor,0.3,2,base.7,0.972593
1,3,6,res9,brain_tumor,0.3,3,base.11,0.908170
1,3,6,res9,brain_tumor,0.3,4,base.15,0.601348
1,3,6,res9,brain_tumor,0.3,5,base.16,0.350106
1,3,6,res9,brain_tumor,0.3,6,base.17,0.350106
1,3,6,res9,brain_tumor,0.3,7,base.18,0.350106
1,3,6,res9,brain_tumor,0.3,8,classifier,0.054023
1,3,7,res9,brain_tumor,0.3,0,base.2,0.992057
1,3,7,res9,brain_tumor,0.3,1,base.6,0.956944
1,3,7,res9,brain_tumor,0.3,2,base.7,0.985208
1,3,7,res9,brain_tumor,0.3,3,base.11,0.966053
1,3,7,res9,brain_tumor,0.3,4,base.15,0.831911
1,3,7,res9,brain_tumor,0.3,5,base.16,0.639298
1,3,7,res9,brain_tumor,0.3,6,base.17,0.639298
1,3,7,res9,brain_tumor,0.3,7,base.18,0.639298
1,3,7,res9,brain_tumor,0.3,8,classifier,0.423721
1,3,8,res9,brain_tumor,0.3,0,base.2,0.986178
1,3,8,res9,brain_tumor,0.3,1,base.6,0.951307
1,3,8,res9,brain_tumor,0.3,2,base.7,0.883226
1,3,8,res9,brain_tumor,0.3,3,base.11,0.694788
1,3,8,res9,brain_tumor,0.3,4,base.15,0.294710
