round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,44.6548,35.9132,56.032,45.5435,0,1.056181,0.294812,2.511646,0.56204,0.832313,0.143434,0.005119,0.001429,0.001036,0.000232,0.029956,0.005162,0.07362,0.120274,0.178294,81.1096,17.0213,98.1308,22.2085
2,0.00999014,63.8641,64.233,68.4023,64.035,0,0.94035,0.374431,2.385156,0.595009,0.694445,0.117803,0.004557,0.001815,0.000984,0.000245,0.024994,0.00424,0.016438,0.054189,0.070875,29.8616,68.2692,98.1308,9.8207
3,0.00996061,54.7327,50.6799,64.1652,55.4004,0,0.909856,0.362136,2.487806,0.707193,0.560181,0.101575,0.00441,0.001755,0.001026,0.000292,0.020161,0.003656,-0.011773,0.026504,0.090343,31.7577,67.3077,99.0654,9.9012
4,0.00991152,61.1915,59.4438,68.3521,61.8849,0,0.92279,0.370611,2.631073,0.786828,0.511353,0.097873,0.004472,0.001796,0.001085,0.000324,0.018404,0.003523,0.004734,0.019155,0.020977,68.0,32.0,100.0,18.2191
5,0.00984307,54.0089,48.448,63.4644,54.7549,0,0.879003,0.352366,2.709619,0.89396,0.463188,0.095679,0.00426,0.001708,0.001117,0.000369,0.01667,0.003444,-0.011145,0.011762,-0.001444,43.199,53.0973,96.2963,12.0276
6,0.00975553,62.4165,61.7484,69.461,62.9061,0,0.898182,0.353797,2.776351,0.822174,0.4542,0.095164,0.004353,0.001715,0.001145,0.000339,0.016347,0.003425,0.008639,0.009966,0.002524,35.1366,63.4615,98.5981,11.1614
7,0.00964923,62.5278,59.5541,70.5032,63.0301,0,0.852791,0.380611,2.643172,0.816505,0.444939,0.103606,0.004133,0.001845,0.00109,0.000337,0.016014,0.003729,-0.014678,0.006087,-0.013407,35.0405,62.8319,97.8723,11.5693
8,0.00952461,63.196,62.1677,71.4287,63.7814,0,0.859128,0.366003,2.529498,0.949022,0.448857,0.097299,0.004164,0.001774,0.001043,0.000391,0.016155,0.003502,0.019367,0.005667,-0.019565,45.443,51.4706,96.9136,14.1791
9,0.00938215,63.029,61.0659,71.671,63.7085,0,0.839991,0.34038,3.040446,0.978655,0.432183,0.100185,0.004071,0.00165,0.001254,0.000404,0.015555,0.003606,-0.000174,0.005573,-0.011363,34.414,63.7168,98.1308,11.5514
10,0.00922242,66.6481,66.2066,73.3399,67.0819,0,0.844813,0.402701,2.669358,0.997254,0.431298,0.113485,0.004094,0.001952,0.001101,0.000411,0.015523,0.004084,0.007734,0.003538,-0.020725,29.9396,67.2566,97.1963,8.9477
