epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,26.447661469933188,10.457948040510788,6.611915367483297,25.0,78.28507795100222,77.80456814387962,78.47775121374885,78.29563136341196
1,44.65478841870824,35.972917757745414,56.35392132521441,45.5428240392521,86.58129175946549,86.45845458922506,86.44153803800346,86.53061213291778
2,63.8641425389755,64.23132469615152,68.40095164912785,64.034983815115,82.6837416481069,82.88347105065246,84.66155581536782,82.58213557868301
3,54.73273942093542,50.666913282544755,64.15300261383355,55.39690088921924,86.19153674832963,86.0087856219435,86.08060454330615,86.12040674048795
4,61.1358574610245,59.36719388565797,68.34430164199901,61.832240757007725,88.25167037861915,88.27940231126368,88.43381040597286,88.20799056872251
5,54.064587973273944,48.58592103337346,63.79433951798541,54.805863993698665,89.19821826280624,89.12737830772978,89.18522381198285,89.16350439134918
6,62.360801781737194,61.70683080924901,69.47037518164589,62.849959975516754,88.30734966592428,88.0942451119049,88.19159321405505,88.21458455918074
7,62.58351893095768,59.665452587783605,70.35314726833393,63.0778589638813,83.63028953229399,83.33702677277853,83.49497633783899,83.52795967860068
8,63.084632516703785,62.016039624370634,71.42307635702004,63.67672665078182,88.8641425389755,88.8085668444636,88.9002270130495,88.7855322713734
9,63.02895322939867,61.07748314149277,71.63000121558974,63.70137105433318,89.58797327394208,89.59915370861165,89.76664606648818,89.57862042782547
10,66.53674832962137,66.09843645568797,73.26821524313306,66.96837079391508,86.35857461024499,86.05327675647568,86.18229236650289,86.25555392109233
11,70.48997772828508,69.41294690132848,74.94455799484538,70.78597961833954,89.3652561247216,89.30716257881204,89.42013112203247,89.29422514277373
12,66.0913140311804,65.12796632722241,73.60537248818326,66.5756236470467,90.8685968819599,90.83014133156364,90.88025685857608,90.79948313423023
13,78.4521158129176,78.39445505200487,79.32688738653465,78.50015715096703,87.80623608017817,87.5501601410391,87.89411422301819,87.72783178767641
14,70.26726057906458,69.81490792197158,74.99597160724161,70.69508489234819,88.69710467706014,88.77537526022981,89.62987389853974,88.69914868442015
15,72.66146993318485,73.17700740491023,77.52478289884944,72.74542992164275,87.75055679287304,87.54869961968943,87.6935134705825,87.70387276949204
16,69.76614699331849,68.27111954181059,76.7665835245674,70.147609455741,90.5902004454343,90.49982881284595,91.01258591445121,90.50222471268931
17,80.95768374164811,81.08274648550949,81.66843471927095,80.91962631238628,91.59242761692651,91.5288867234701,91.7509630768691,91.50221614306028
