round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,brain_tumor,0.3,0,_vig_stem,0.851114
1,0,1,vig_tiny,brain_tumor,0.3,1,_vig_blocks.0,0.750396
1,0,1,vig_tiny,brain_tumor,0.3,2,_vig_blocks.1,0.739367
1,0,1,vig_tiny,brain_tumor,0.3,3,_vig_blocks.2,0.729109
1,0,1,vig_tiny,brain_tumor,0.3,4,_vig_blocks.3,0.726914
1,0,1,vig_tiny,brain_tumor,0.3,5,_vig_blocks.4,0.740878
1,0,1,vig_tiny,brain_tumor,0.3,6,_vig_blocks.5,0.741801
1,0,1,vig_tiny,brain_tumor,0.3,7,_vig_blocks.6,0.739803
1,0,1,vig_tiny,brain_tumor,0.3,8,_vig_blocks.7,0.728379
1,0,1,vig_tiny,brain_tumor,0.3,9,_vig_blocks.8,0.715829
1,0,1,vig_tiny,brain_tumor,0.3,10,_vig_blocks.9,0.707235
1,0,1,vig_tiny,brain_tumor,0.3,11,_vig_blocks.10,0.677918
1,0,1,vig_tiny,brain_tumor,0.3,12,_vig_blocks.11,0.647764
1,0,1,vig_tiny,brain_tumor,0.3,13,classifier,0.392921
1,0,2,vig_tiny,brain_tumor,0.3,0,_vig_stem,0.900101
1,0,2,vig_tiny,brain_tumor,0.3,1,_vig_blocks.0,0.839090
1,0,2,vig_tiny,brain_tumor,0.3,2,_vig_blocks.1,0.837842
1,0,2,vig_tiny,brain_tumor,0.3,3,_vig_blocks.2,0.832566
1,0,2,vig_tiny,brain_tumor,0.3,4,_vig_blocks.3,0.829919
1,0,2,vig_tiny,brain_tumor,0.3,5,_vig_blocks.4,0.834031
1,0,2,vig_tiny,brain_tumor,0.3,6,_vig_blocks.5,0.837600
1,0,2,vig_tiny,brain_tumor,0.3,7,_vig_blocks.6,0.830540
1,0,2,vig_tiny,brain_tumor,0.3,8,_vig_blocks.7,0.812397
1,0,2,vig_tiny,brain_tumor,0.3,9,_vig_blocks.8,0.807025
1,0,2,vig_tiny,brain_tumor,0.3,10,_vig_blocks.9,0.793265
1,0,2,vig_tiny,brain_tumor,0.3,11,_vig_blocks.10,0.769698
1,0,2,vig_tiny,brain_tumor,0.3,12,_vig_blocks.11,0.739362
1,0,2,vig_tiny,brain_tumor,0.3,13,classifier,0.443228
1,0,3,vig_tiny,brain_tumor,0.3,0,_vig_stem,0.981035
1,0,3,vig_tiny,brain_tumor,0.3,1,_vig_blocks.0,0.956366
1,0,3,vig_tiny,brain_tumor,0.3,2,_vig_blocks.1,0.938971
1,0,3,vig_tiny,brain_tumor,0.3,3,_vig_blocks.2,0.932564
1,0,3,vig_tiny,brain_tumor,0.3,4,_vig_blocks.3,0.928108
1,0,3,vig_tiny,brain_tumor,0.3,5,_vig_blocks.4,0.920399
1,0,3,vig_tiny,brain_tumor,0.3,6,_vig_blocks.5,0.909450
1,0,3,vig_tiny,brain_tumor,0.3,7,_vig_blocks.6,0.914402
1,0,3,vig_tiny,brain_tumor,0.3,8,_vig_blocks.7,0.901378
1,0,3,vig_tiny,brain_tumor,0.3,9,_vig_blocks.8,0.894546
1,0,3,vig_tiny,brain_tumor,0.3,10,_vig_blocks.9,0.882199
1,0,3,vig_tiny,brain_tumor,0.3,11,_vig_blocks.10,0.879486
1,0,3,vig_tiny,brain_tumor,0.3,12,_vig_blocks.11,0.858877
1,0,3,vig_tiny,brain_tumor,0.3,13,classifier,0.158904
1,0,4,vig_tiny,brain_tumor,0.3,0,_vig_stem,0.960148
1,0,4,vig_tiny,brain_tumor,0.3,1,_vig_blocks.0,0.949236
1,0,4,vig_tiny,brain_tumor,0.3,2,_vig_blocks.1,0.955936
1,0,4,vig_tiny,brain_tumor,0.3,3,_vig_blocks.2,0.945914
1,0,4,vig_tiny,brain_tumor,0.3,4,_vig_blocks.3,0.942517
1,0,4,vig_tiny,brain_tumor,0.3,5,_vig_blocks.4,0.942698
1,0,4,vig_tiny,brain_tumor,0.3,6,_vig_blocks.5,0.944390
1,0,4,vig_tiny,brain_tumor,0.3,7,_vig_blocks.6,0.937986
1,0,4,vig_tiny,brain_tumor,0.3,8,_vig_blocks.7,0.921882
