round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,53.118,51.7469,60.7764,53.5716,0,0.684871,0.173846,1.871549,0.548685,1.044435,0.222944,0.003319,0.000843,0.000772,0.000226,0.03759,0.008024,0.096841,0.349954,0.180309,71.6643,25.5319,97.1963,20.8272
2,0.00999014,56.6815,55.8536,68.2143,57.2204,0,0.628028,0.209143,1.62796,0.433194,0.811484,0.173874,0.003044,0.001014,0.000671,0.000179,0.029206,0.006258,0.020294,0.115471,0.155696,59.0439,36.2832,95.3271,16.8398
3,0.00996061,56.1247,54.9179,67.6827,56.7019,0,0.652143,0.184237,1.839161,0.42178,0.651287,0.155174,0.003161,0.000893,0.000758,0.000174,0.02344,0.005585,0.001805,0.100809,0.028766,23.5992,71.1538,94.7531,8.2635
4,0.00991152,53.8976,51.9206,65.6102,54.4687,0,0.664251,0.177431,1.910083,0.431903,0.598822,0.120885,0.003219,0.00086,0.000788,0.000178,0.021552,0.004351,0.002107,0.093305,0.01798,34.1855,58.4071,92.5926,10.8854
5,0.00984307,53.118,51.5285,66.8904,53.6516,0,0.671345,0.187043,1.992761,0.509563,0.559347,0.12542,0.003254,0.000906,0.000822,0.00021,0.020131,0.004514,0.01636,0.091048,0.003772,31.7944,64.0,95.7944,11.185
6,0.00975553,61.5813,61.5658,67.2518,61.7013,0,0.665517,0.160975,1.979316,0.455375,0.550764,0.091131,0.003225,0.00078,0.000816,0.000188,0.019822,0.00328,0.004177,0.086474,-0.012608,36.1343,61.0619,97.1963,11.6874
7,0.00964923,67.3719,67.3824,72.3892,67.6284,0,0.676212,0.216115,1.93529,0.49386,0.528596,0.095717,0.003277,0.001047,0.000798,0.000204,0.019025,0.003445,-0.023272,0.044375,-0.007543,28.2193,69.9115,98.1308,9.3588
8,0.00952461,67.3719,67.3417,72.7317,67.6543,0,0.671261,0.1964,1.986866,0.53196,0.488659,0.091152,0.003253,0.000952,0.000819,0.000219,0.017587,0.003281,-0.00482,0.043414,-0.019671,24.0924,74.0385,98.1308,6.9998
9,0.00938215,68.4298,68.4115,73.1129,68.7475,0,0.694718,0.175651,2.062382,0.501775,0.507757,0.111376,0.003367,0.000851,0.000851,0.000207,0.018275,0.004008,-0.003362,0.041353,-0.040533,26.5097,71.1538,97.6636,8.0979
10,0.00922242,65.7572,65.6313,72.3881,66.0181,0,0.694622,0.184998,2.07656,0.483061,0.490511,0.083947,0.003366,0.000897,0.000856,0.000199,0.017654,0.003021,-0.004582,0.042664,-0.044465,30.0457,68.0851,98.1308,9.8701
