epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,26.447661469933188,10.457948040510788,6.611915367483297,25.0,82.9064587973274,83.0130898873271,83.40207608433317,83.01819171949423
1,53.00668151447662,51.61192446502496,60.65597654741195,53.45927249891369,80.62360801781738,80.8217971235928,82.42109589631195,80.84982921160892
2,56.57015590200446,55.73797531590026,68.09528518065103,57.108029421817605,85.74610244988864,85.83462904985232,86.25796455073407,85.86858177941504
3,56.12472160356348,54.91815034216162,67.69980784680686,56.705422207743595,83.24053452115812,83.42071157548082,84.06596234778098,83.39549787448539
4,53.89755011135857,51.92525395575368,65.79562371462593,54.47641952514144,86.35857461024499,86.29444647206492,86.32859257595801,86.37018670447331
5,53.11804008908686,51.55315523852021,66.88790343965452,53.65095117950155,85.913140311804,85.8479433177241,86.12623394515163,85.8572173415753
6,61.581291759465486,61.55852334821772,67.21850112629599,61.701267294004616,86.19153674832963,86.14626676368242,86.4572545348978,86.11121498104323
7,67.59465478841871,67.60928150497325,72.58724324562176,67.85442783484561,89.47661469933185,89.44803924262558,89.47162446851932,89.43316268879694
8,67.37193763919822,67.34705070158611,72.71757773197008,67.65490782038452,89.086859688196,89.01710027993445,89.0018855362109,89.04209001045125
9,68.31848552338529,68.28923780571903,72.98678015346118,68.6350961327422,87.80623608017817,87.88856527222086,88.07656198502511,87.79978948305532
10,65.75723830734967,65.65146240945977,72.45511291494235,66.01877729026111,85.85746102449889,85.9390005436947,86.42418569601318,85.86054864614658
11,62.8619153674833,62.89473400258508,69.71294585329028,63.09920424520927,87.75055679287304,87.7368670137274,87.8310438447123,87.72300215436775
12,66.53674832962137,65.89540731240824,72.21002690476051,66.95872885151188,79.56570155902004,80.01005813794512,82.08710829526031,79.68489893263113
13,64.86636971046771,64.29141174378249,71.10346544012576,65.29864405040865,85.69042316258351,85.44347567246166,85.65358462045201,85.64379153187483
14,67.03786191536749,66.61759501402558,72.27569084845842,67.47187805331566,86.35857461024499,86.38594558006287,86.51567498149781,86.37317738170337
15,65.5902004454343,64.9335784215245,71.81493075642103,66.04943609374854,84.57683741648107,84.68875530214487,85.0238638626649,84.6108585707881
16,67.65033407572383,67.89871544107069,71.79898059283617,67.73788618200956,87.30512249443207,87.1343622190868,87.1931334110628,87.26078016176501
17,70.87973273942093,71.0804908196196,74.17826207665856,71.07425127336057,88.69710467706014,88.64273846340284,88.65039017295236,88.6629236910909
18,71.21380846325167,71.27219518979209,74.66865111894829,71.48485382802245,87.58351893095768,87.53724421300808,87.52705581997982,87.57868855329372
19,69.43207126948775,69.50670493719277,74.46794154047794,69.69334371635343,87.08240534521158,87.17659370697665,87.99027292413736,87.14676667279899
20,70.32293986636972,70.40001596975019,74.69495557160602,70.56839377778348,88.25167037861915,88.2801061381046,88.44801231471347,88.22639671389868
21,64.75501113585747,65.05403199144733,70.65321418727606,64.82868861494573,86.74832962138085,86.55216340458784,86.78789064925198,86.62960743947376
22,70.87973273942093,70.99448026336381,73.95641906026067,71.13387554629844,87.19376391982183,87.22564993084188,87.70013337642561,87.07586119223146
23,69.98886414253897,70.01076204805211,73.53448275862068,70.19689135781888,87.75055679287304,87.69925795082047,87.94403897139196,87.72994768457255
24,70.99109131403118,70.91551374823355,74.29486160368513,71.27273078689169,86.8596881959911,86.7389928320288,87.05468652639274,86.80491689556003
25,69.87750556792874,69.41966226500071,73.98714752287964,70.2026153151478,87.30512249443207,87.12106135389365,87.11476861351854,87.20000318124359
26,73.2739420935412,72.94378757356479,75.04260318820182,73.28240842580723,88.36302895322939,88.43617096425784,88.61453429672535,88.34046316193913
