epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.16703786191537,11.666638221573796,21.78392960602549,25.67392302574243,74.38752783964365,74.33653870831239,75.30125278747796,74.43783560270263
1,36.85968819599109,26.32260041464811,44.97273657740786,35.737015717316176,85.07795100222717,85.06779692464004,85.20187118037678,85.07731895394792
2,24.4988864142539,9.838998211091235,6.124721603563475,25.0,81.01336302895324,81.10519641862668,81.76914340729455,81.08351565887007
3,44.71046770601336,34.80782021880748,42.0896970121823,43.77555623674173,83.63028953229399,83.65725726816882,83.84307610846471,83.78774527018129
4,45.60133630289533,35.86024683909341,46.269509794066124,46.389392476186295,86.24721603563475,86.26472063872184,86.35912628700922,86.21631870684668
5,45.935412026726056,30.45798041457195,47.977119946757654,44.78419843019192,87.69487750556793,87.7286011765593,87.81979223953361,87.6730885041694
6,53.00668151447662,44.85838362941408,47.32261929794415,53.507577586585306,87.75055679287304,87.77982495820474,87.77399517494136,87.82069746669434
7,57.85077951002228,49.969208753295234,50.674094307432206,57.02581850438149,89.30957683741649,89.30276482858929,89.35412940736268,89.27458158015574
8,62.02672605790646,54.076699852561916,50.95961790884107,62.01296036170493,88.80846325167037,88.79260967155362,88.8094574135747,88.8011151861718
9,61.97104677060133,55.62562771349619,65.97024050557067,61.325646396637445,88.47438752783965,88.47602432750574,88.56083632217626,88.45859432683159
10,72.82850779510022,71.6221062693873,75.40150149374662,72.7875916333787,87.6391982182628,87.63443469253731,87.77613118275855,87.62236043095247
11,67.26057906458797,64.56740635078287,72.08013491962026,66.73025748591004,88.19599109131403,88.10720242701068,88.13754715688415,88.1824732960495
12,72.9955456570156,71.40581664962569,76.03801329844745,73.00081164867825,88.69710467706014,88.73331187169167,88.8565462279141,88.70662546997326
13,71.38084632516704,70.67368181006492,74.5295249806995,71.03334547466868,90.5902004454343,90.61754810840567,90.65807912843638,90.60546512987119
14,77.06013363028953,76.24056113613325,77.57876157095967,76.96286366669642,89.19821826280624,89.17145106813624,89.15821475054605,89.22313261001555
15,78.78619153674833,78.71690775540881,79.09766753573875,78.60780636485461,89.086859688196,89.06239601747899,89.06122554870736,89.09601104113472
16,78.28507795100222,77.73582660599449,78.53154032536182,78.19093528068186,89.97772828507794,89.94884075047207,89.93538504705825,89.97660873515235
17,80.06681514476614,79.94493035344368,80.00418101421356,79.92983724116638,89.47661469933185,89.4372487473994,89.46796870705106,89.4551429858018
18,79.34298440979956,79.05560336007987,79.3008394677074,79.2418121201928,88.75278396436525,88.74162935349992,88.76619598546786,88.77656097950737
19,79.84409799554567,79.67925086116519,80.04546714981976,79.81539385275231,89.75501113585747,89.72838428281588,89.75128581974757,89.77026902223369
20,80.73496659242761,80.59067158217397,80.69794331870665,80.65061024390027,89.97772828507794,89.95260408614901,89.98468589653794,90.02027759186274
21,80.23385300668151,80.02917278161577,80.30318197950844,80.16022283994795,89.97772828507794,89.96300270156704,89.98530367267527,89.99470588046712
22,81.06904231625836,80.9203814491294,81.07765757534065,80.97181516826807,90.42316258351893,90.40024938574795,90.39611893359772,90.43302144404784
23,80.45657015590201,80.33798406512418,80.58295651769664,80.35131693620102,90.53452115812918,90.50646874771232,90.51801043971147,90.56101569709432
24,81.73719376391982,81.47491170672777,81.75427613270688,81.69445067814742,88.8641425389755,88.8188067998453,88.84270527271644,88.8426241264527
25,82.07126948775056,81.92400887043668,81.97799527866067,81.96076737513866,89.92204899777283,89.84687404368246,89.85617798018228,89.90088515020156
26,82.79510022271714,82.49992046897674,82.6564867966565,82.68529042287851,90.70155902004454,90.67442337481832,90.68105606044122,90.67432092779859
27,82.79510022271714,82.76146983322673,82.98984239024276,82.66551769930491,90.70155902004454,90.68789427524679,90.68477465854897,90.69920626739511
28,83.12917594654789,82.8342061528248,83.11251544472157,83.04851001894443,89.47661469933185,89.42750862817857,89.44991878342026,89.47198058060408
29,82.9064587973274,82.85074747656036,83.00911704285976,82.81197080999394,90.81291759465479,90.81158605801093,90.80780632411067,90.8323816934968
30,84.68819599109132,84.55258240830035,84.63784510311196,84.61208002035995,88.97550111358574,88.9205780053401,88.96753038118344,88.99857861296793
31,83.63028953229399,83.50207823961027,83.58025259674294,83.53888712701152,91.25835189309576,91.26781313824503,91.28121689579763,91.30356116791589
32,83.57461024498886,83.39176203698084,83.43838228609184,83.4589125128421,90.0890868596882,90.07556905301936,90.07261389404248,90.08612766947026
33,83.9086859688196,83.83327007492656,83.91817995154733,83.77876590190229,91.25835189309576,91.25104566518563,91.27789951192051,91.2635623935578
34,84.35412026726058,84.11064334642009,84.35310851554134,84.27560210583529,91.0913140311804,91.09016203185413,91.10559138015417,91.09473607762038
35,84.74387527839644,84.77781369182767,85.21295863637665,84.61121177513886,91.70378619153675,91.70037214893061,91.71549942111831,91.7008881341587
36,85.02227171492206,84.82623108489273,85.07282018773428,84.95661677704021,90.47884187082406,90.4367461170232,90.42948755170497,90.48035471112583
37,84.4097995545657,84.34984463577293,84.50673034895311,84.27526684221871,91.815144766147,91.80109992583041,91.82769471566104,91.81471555736621
38,85.6347438752784,85.35405222355989,85.61915473904406,85.56054541558139,91.14699331848553,91.12170886067285,91.14243986053398,91.11387483360123
39,85.02227171492206,85.03617728989887,85.34602973064503,84.89440879177354,90.75723830734967,90.73230427423653,90.74981061369985,90.75073088454847
40,85.85746102449889,85.65237888296151,85.90525877913795,85.79638240816688,91.42538975501114,91.37146469089988,91.36852425929712,91.40707328549466
41,84.24276169265033,84.26220798680582,84.7393930215573,84.09340186652685,91.70378619153675,91.69471598928573,91.72890474265678,91.71380410641828
42,85.57906458797328,85.2698400590626,85.89073579220434,85.52440476219833,91.03563474387528,91.02418175649973,91.04162913277818,91.02576221609867
43,83.46325167037863,83.5065511289898,84.57121863595664,83.27063165934159,91.87082405345211,91.83950444083044,91.83840778046812,91.86784719574611
44,85.24498886414253,84.86949425947117,85.61132393579923,85.18283605646141,91.14699331848553,91.11243465745187,91.11163197624906,91.1327542812387
45,84.29844097995546,84.29075081430834,84.55965566340487,84.15798635172519,90.70155902004454,90.69538480389144,90.72918177204818,90.72730484796861
46,85.69042316258351,85.42861686858569,85.83600880627078,85.63137007036714,91.59242761692651,91.58323688029651,91.59848110919565,91.58765589943127
47,85.52338530066815,85.54165341908529,85.89931455371232,85.3897335967436,92.53897550111358,92.54876882967515,92.59458577296795,92.54829263396611
48,86.58129175946549,86.37355179725674,86.59812903933526,86.49833391615032,91.75946547884188,91.77057602144889,91.82134932052278,91.77760154208933
49,86.24721603563475,86.28199626546514,86.64656738671532,86.12830553403215,91.53674832962137,91.51438550726061,91.51025913351751,91.53019456387123
