epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.16703786191537,11.664700896170693,21.867078427587984,25.67392302574243,74.10913140311804,74.05113338974654,75.00386709054676,74.16287344470481
1,38.919821826280625,30.068640615627128,44.81415389972145,37.81805592478258,84.4097995545657,84.53109125461073,84.72476547140211,84.4227910948854
2,24.665924276169264,10.193902397971206,31.13496932515337,25.172018348623855,82.85077951002228,82.88120524975191,83.00743333920609,82.81723712447146
3,48.16258351893096,41.15198010441928,36.23047506532377,47.650912277084835,86.1358574610245,86.16293119900487,86.33493097805123,86.07835594071346
4,31.848552338530066,23.083826960249308,45.02986211319544,32.12991637768316,86.74832962138085,86.83755697708109,86.97535753592207,86.77863865215888
5,49.83296213808463,39.338682049078024,65.34666328776294,48.78856000145993,87.19376391982183,87.18161775392632,87.1914515101189,87.17636500010603
6,53.00668151447662,46.15855837285605,72.16725967134633,53.52505420444496,87.97327394209354,88.0196388556231,88.08513549239993,88.09288910678077
7,63.30734966592427,59.66628642647254,69.4230497078834,62.612009798723456,87.24944320712696,87.24829957319315,87.2813326853896,87.32298413965117
8,66.70378619153675,63.44190031554683,73.23635673101204,66.86625675890959,88.80846325167037,88.74599426231455,88.80681662936529,88.78718343543727
9,64.086859688196,59.17335312689143,69.85017905113577,63.41704186023341,88.8641425389755,88.8607011902419,88.88474982615655,88.92276951668279
10,70.71269487750557,68.64593564176889,74.87335716125381,70.73904585626994,89.69933184855235,89.71682199944964,89.74344154182012,89.71108352663293
11,64.97772828507794,60.710527156028405,70.52429680979377,64.42120608342553,88.30734966592428,88.29747243126161,88.33781869950283,88.35063537325851
12,73.83073496659243,72.31737551264541,76.18393524261427,73.75262711534202,88.53006681514476,88.58189967001223,88.75182473228782,88.5322972672378
13,69.37639198218262,67.92196601660073,73.73962920597083,68.96524133801626,88.08463251670379,88.01712991444796,88.03872754843378,88.0773964505213
14,75.44543429844099,74.19579361528805,76.79279490368813,75.36695669415032,88.80846325167037,88.88660406876329,89.05529901252906,88.84486967752055
15,78.39643652561247,78.41292169646255,79.09955560478275,78.22708098952951,88.91982182628063,88.93348693587124,88.95824866803095,88.99545667861402
16,78.84187082405344,78.38450153282446,79.0126508279276,78.7838900468506,89.64365256124721,89.64864752519689,89.65999293076582,89.68700262242979
17,79.34298440979956,79.38539461376632,79.7480012010201,79.22014063809335,89.25389755011136,89.20890423011394,89.22325030490664,89.24866492577837
18,79.12026726057907,78.50673909833723,79.35976487589652,79.03103586716507,89.25389755011136,89.2602018452783,89.30979848514387,89.25044796348624
19,80.12249443207126,80.09185645449112,80.37361834758131,79.97933566509447,89.58797327394208,89.60512399371378,89.61350045017997,89.60546420509108
20,80.28953229398664,79.79358653680912,80.1604952325897,80.17402086747826,89.86636971046771,89.82848211575688,89.81793458554118,89.85582801358711
21,81.12472160356347,81.04295287844423,81.13763714834101,81.0141480259767,89.086859688196,89.00318908545674,89.06707642779608,89.06045990424704
22,81.79287305122494,81.54081860992267,81.69312504185153,81.69042270589182,89.086859688196,89.0704796645627,89.20520822953793,89.0663651184779
23,82.40534521158129,82.29124929139117,82.3763880998946,82.25068785144727,90.0890868596882,90.04676850060474,90.03842020595013,90.08182392778528
24,81.68151447661471,81.35131118747188,81.65238956047081,81.58809609476457,90.25612472160356,90.22063150566444,90.25324074561206,90.24239417679527
25,82.40534521158129,82.3465775238855,82.44170436602289,82.29386694461034,89.86636971046771,89.85381170537643,89.83965384670817,89.8794317929045
26,81.84855233853007,81.63538546638404,81.80809944433108,81.7637530215649,90.70155902004454,90.6318327810327,90.62572199451672,90.6839544855288
27,83.01781737193764,82.90631196423391,82.95493417020393,82.91128078839601,89.53229398663697,89.4978373803756,89.63688216969958,89.51270721856228
28,83.51893095768375,83.2059035574445,83.49303060185503,83.42414460305724,88.64142538975501,88.5949381049915,88.61654376721215,88.63848662324062
29,83.51893095768375,83.46582161745972,83.56799772584375,83.41644667175336,90.25612472160356,90.26701390782524,90.31143278840219,90.25165652778853
30,82.85077951002228,82.59268773905809,82.67394334201454,82.7202022284488,89.92204899777283,89.84249068835783,89.87342331666733,89.90488544070581
31,84.52115812917594,84.34733381656437,84.35904768051434,84.38001902827558,90.14476614699332,90.11867113811559,90.12715282208242,90.13800370306618
32,84.85523385300668,84.61800461340778,84.78578830515511,84.77133103971425,89.69933184855235,89.63298604239483,89.60601270935125,89.70278504312435
33,83.63028953229399,83.50261715722475,83.6218070112424,83.54236614979268,91.20267260579065,91.16548688311714,91.1624348015068,91.17795451216246
34,84.35412026726058,84.0541071773124,84.35860027771793,84.26303755001827,90.42316258351893,90.40117487184197,90.4043362670736,90.40981704643481
35,82.73942093541203,82.67524087062395,82.91705482918128,82.5828196077058,90.75723830734967,90.6888581156263,90.68790457207689,90.7437995959574
36,83.12917594654789,82.73405523756769,83.23832460698378,83.05748396184678,90.31180400890868,90.2658157123105,90.28970357099271,90.28697801094842
37,83.9086859688196,83.87125468725233,84.26631442919793,83.74160916178424,90.47884187082406,90.42826578880039,90.41578051702284,90.47075265757142
38,82.07126948775056,81.37387573890739,82.69725251909975,81.99021212729511,90.97995545657017,90.97847667075946,90.99977695275123,90.9874885265614
39,81.9599109131403,81.92213756209762,83.7243961658143,81.69479327835289,90.92427616926503,90.90357791402737,90.95007628114516,90.94160192383856
