round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,34.02,22.5956,17.2997,33.2827,0,0.023559,0.003429,1.669187,0.363684,0.319739,0.055361,0.181214,0.063762,0.131703,53.2227,38.9706,92.1933,17.4346
2,0.0099846,31.2918,20.0996,16.8232,32.0074,0,0.036711,0.004822,1.655236,0.077174,0.505539,0.14733,0.908898,0.925661,0.723563,56.0822,36.1111,92.1933,19.0798
3,0.0099385,24.4989,9.839,6.1247,25.0,0,0.096838,0.00189,4.20491,0.004368,1.076687,0.053064,0.980789,0.997893,0.84555,78.7318,13.4615,92.1933,22.4356
4,0.00986199,18.3185,9.4024,8.0767,17.3886,0,0.266034,0.006842,11.112362,0.002918,2.654479,0.024804,0.991954,1.000355,0.976713,62.4061,29.7872,92.1933,20.6794
5,0.00975553,21.4365,15.446,14.5128,21.4787,0,0.710105,0.004756,29.618714,0.003203,6.987368,0.01737,0.994207,1.000552,0.996839,70.1345,22.0588,92.1933,23.1179
6,0.00961978,18.4298,11.3999,8.9675,18.4015,0,1.927576,0.019936,79.810432,0.001349,18.794603,0.006571,0.994889,1.000634,0.999565,60.9433,31.25,92.1933,19.8867
7,0.00945558,24.4989,9.839,6.1247,25.0,0,5.805704,0.577591,220.766437,4.05614,51.304387,0.019566,0.884504,0.979505,0.999939,92.1933,0.0,92.1933,28.1794
8,0.00926394,24.7773,10.117,7.3475,25.0006,0,13.960378,0.32042,607.76069,0.001632,142.602988,0.009361,0.965905,1.000681,0.999988,74.4,0.0,74.4,26.3395
9,0.00904604,24.7773,9.9286,6.1943,25.0,0,38.9877,0.004357,1724.619162,1.1e-05,404.65451,0.002312,0.999995,1.000687,1.0,74.4,0.0,74.4,26.5716
10,0.00880323,24.7773,9.9286,6.1943,25.0,0,113.298873,0.0,5011.77371,0.0,1175.930385,0.002229,1.0,1.000688,1.0,74.4,0.0,74.4,26.5716
11,0.008537,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
12,0.00824899,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
13,0.00794099,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
14,0.00761488,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
15,0.00727268,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
16,0.0069165,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
17,0.00654854,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
18,0.00617106,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
19,0.00578639,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
20,0.0053969,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
21,0.005005,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
22,0.0046131,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
23,0.00422361,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
24,0.00383894,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
25,0.00346146,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
26,0.0030935,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
27,0.00273732,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
28,0.00239512,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
29,0.00206901,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
30,0.00176101,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
31,0.001473,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
32,0.00120677,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
33,0.00096396,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
34,0.00074606,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
35,0.00055442,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
36,0.00039022,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
37,0.00025447,24.4989,9.839,6.1247,25.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.1933,0.0,92.1933,27.8025
