epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.16703786191537,11.666638221573796,21.78392960602549,25.67392302574243,68.93095768374164,69.00092020943946,70.11703212835836,69.0668385442432
1,37.69487750556793,31.046098007337598,31.46529975841674,37.10178216224934,66.92650334075724,66.00331599778056,66.87542498038266,66.94536047682156
2,42.87305122494432,36.53721553182353,43.31323833881379,42.41441967705198,76.05790645879733,76.21704643447201,76.70687188548038,76.26913974241299
3,46.43652561247216,40.04241214259119,35.6641110805246,45.99036342132143,73.66369710467706,74.05851064289139,74.85966992474634,73.84407849730876
4,47.494432071269486,42.236068947592955,53.58376448693761,47.15673087024521,76.83741648106904,76.91774377754595,77.14095687431949,77.01665319364797
5,51.33630289532294,45.58793773975658,62.90878677305748,51.002391173109466,76.2249443207127,76.54910417829534,77.19078109322012,76.37773852051953
6,50.89086859688196,46.173442275057944,59.58306635035201,50.63326426664444,76.39198218262806,76.88318010130881,77.7951502160113,76.5426125112145
7,57.071269487750556,55.77615984659652,59.931146879125464,56.7821784638194,76.89309576837417,77.134576389799,78.46759563597722,77.21974063986893
8,57.85077951002228,57.551034844773085,61.5029384002947,57.88928403030518,77.728285077951,77.30514688654942,78.3428144323711,78.22206529046234
9,56.95991091314031,56.237517018443015,57.89311430113454,57.14563554341805,76.39198218262806,76.21920847645266,76.25829134363687,76.68364190985095
10,55.17817371937639,49.54134468670443,64.70530902043599,54.77466518027787,80.34521158129176,80.54333535687525,80.76743563751452,80.45219916409742
11,57.12694877505567,54.98996858867699,64.99167234461352,56.885671037711795,74.88864142538975,75.19522293732184,77.13934249380246,74.98501578784608
12,62.75055679287305,62.31313382130411,65.5246965921517,62.63933729763962,79.39866369710468,79.30394137543482,79.98751169587351,79.6320422005525
13,64.64365256124721,64.67052895260743,65.67641442799118,64.6131617664829,76.89309576837417,76.23462365268152,79.75668339803235,77.49206421525132
14,58.85300668151447,54.949412907603445,66.49333409416167,58.54135129609782,81.40311804008908,81.69893222016432,82.81047272912978,81.61514566643106
15,65.47884187082406,65.75404125081955,67.46121930113588,65.41389501846847,77.728285077951,77.84233384016352,77.98584506096302,77.926248909376
16,62.917594654788424,61.951690339080386,66.56007451085362,62.76825824201027,80.84632516703786,81.04083698398713,81.50275901513525,80.8991731972583
17,62.24944320712695,61.71058127793053,68.07698311652415,62.10281144251394,81.1804008908686,81.22493279865569,81.20319664756643,81.29648160624689
18,65.5902004454343,65.17876854893666,67.29766945178247,65.48138251174224,79.1759465478842,78.9575967588283,79.71354515367179,79.57845254940915
19,65.81291759465479,65.99484226854682,68.29806572760965,65.88694106906554,80.6792873051225,80.63318380145162,80.59846540050827,80.90428957405369
20,62.58351893095768,61.031246252866325,67.074412076639,62.38165329968942,79.73273942093542,79.69281920078058,80.321064724489,80.0762341252246
21,69.87750556792874,69.85980869866466,70.04287784568074,69.84096057033533,81.62583518930958,81.85763567237707,82.57968392918042,81.79962080316288
22,63.97550111358574,60.661718105234975,71.71828251549124,63.39961505719579,81.68151447661471,81.88570742188914,82.27616157096591,81.709283411319
23,59.46547884187082,58.624529485377174,66.52856710976664,59.55310981356926,80.51224944320712,80.63359013650856,81.8395380794498,80.85191452910937
24,70.65701559020044,70.56465137310111,70.8329605674237,70.56289201428946,81.9042316258352,81.83804438385943,82.21688351023053,82.23278472499999
25,70.26726057906458,70.08328689652623,71.19372428636001,70.2177405870948,82.79510022271714,82.90267898602976,83.08762173747644,82.95844408088941
26,67.98440979955457,67.58796816118556,71.40259564092129,67.77526493100648,80.45657015590201,80.65919243272155,81.54256757827206,80.62332516156525
27,68.48552338530067,68.56483591716129,70.63265254119057,68.52734322017807,82.18262806236079,82.03473421076036,82.7510330262206,82.5346550866112
28,65.70155902004454,62.924153886867316,71.26044034960772,65.28680569358755,80.73496659242761,81.00821594395056,81.59634314815021,80.85364590243495
29,65.0890868596882,64.25316752627447,70.81047043289159,64.91824857497551,81.34743875278396,81.1907620828513,82.22401753502733,81.7107247119495
30,68.87527839643653,68.90162919298554,70.89961221247798,69.11581563879616,83.12917594654789,83.25558330176665,83.46332441536623,83.24748096062706
31,71.26948775055679,70.94711367947386,72.06508638111735,71.19113281371379,81.34743875278396,81.0897912931705,82.24403490028489,81.75827197314537
32,68.37416481069042,68.2007336276331,72.05809649853141,68.29976026000378,83.68596881959911,83.73063284937375,83.93803584824778,83.83331337863358
33,71.82628062360801,71.72088197246957,74.48146223339482,71.68421108118386,84.35412026726058,84.35767189546132,84.51612987841935,84.57373703396631
34,73.10690423162583,73.0449197947567,73.4911206788757,73.12988512011536,83.74164810690424,83.68246917636841,84.08776902627379,84.03713374391926
35,68.0400890868597,66.52271937517705,72.84394587350434,67.72077657855033,85.46770601336303,85.53951757800318,85.73408685829237,85.66802157228402
36,66.75946547884188,64.6103336915395,73.12093687684242,66.41220969919246,87.6391982182628,87.69750695943218,87.78940336819889,87.66263115231547
37,74.10913140311804,73.466217622208,73.93122278785451,73.90402477868163,87.41648106904232,87.44048160055475,87.51744954808697,87.4564400823868
38,74.22048997772829,73.93935664104829,74.40218521298773,73.95327690283989,87.80623608017817,87.84137400936088,87.92573317816415,87.9283233144711
39,72.10467706013362,72.00133238517408,75.6461191839665,71.9402929900681,86.69265033407572,86.77014660598562,86.96695215140956,86.79568943960298
