round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,brain_tumor,0.3,0,base.patch_embed,0.999716
1,0,1,vim_tiny,brain_tumor,0.3,1,base.layers.0.mixer,0.990031
1,0,1,vim_tiny,brain_tumor,0.3,2,base.layers.1.mixer,0.982539
1,0,1,vim_tiny,brain_tumor,0.3,3,base.layers.2.mixer,0.934381
1,0,1,vim_tiny,brain_tumor,0.3,4,base.layers.3.mixer,0.984073
1,0,1,vim_tiny,brain_tumor,0.3,5,base.layers.4.mixer,0.968457
1,0,1,vim_tiny,brain_tumor,0.3,6,base.layers.5.mixer,0.972382
1,0,1,vim_tiny,brain_tumor,0.3,7,base.layers.6.mixer,0.981562
1,0,1,vim_tiny,brain_tumor,0.3,8,base.layers.7.mixer,0.966980
1,0,1,vim_tiny,brain_tumor,0.3,9,base.layers.8.mixer,0.918026
1,0,1,vim_tiny,brain_tumor,0.3,10,base.layers.9.mixer,0.820772
1,0,1,vim_tiny,brain_tumor,0.3,11,base.layers.10.mixer,0.969525
1,0,1,vim_tiny,brain_tumor,0.3,12,base.layers.11.mixer,0.979189
1,0,1,vim_tiny,brain_tumor,0.3,13,classifier,0.320057
1,0,2,vim_tiny,brain_tumor,0.3,0,base.patch_embed,0.999769
1,0,2,vim_tiny,brain_tumor,0.3,1,base.layers.0.mixer,0.982134
1,0,2,vim_tiny,brain_tumor,0.3,2,base.layers.1.mixer,0.982017
1,0,2,vim_tiny,brain_tumor,0.3,3,base.layers.2.mixer,0.933661
1,0,2,vim_tiny,brain_tumor,0.3,4,base.layers.3.mixer,0.969886
1,0,2,vim_tiny,brain_tumor,0.3,5,base.layers.4.mixer,0.983017
1,0,2,vim_tiny,brain_tumor,0.3,6,base.layers.5.mixer,0.952454
1,0,2,vim_tiny,brain_tumor,0.3,7,base.layers.6.mixer,0.975490
1,0,2,vim_tiny,brain_tumor,0.3,8,base.layers.7.mixer,0.952554
1,0,2,vim_tiny,brain_tumor,0.3,9,base.layers.8.mixer,0.903697
1,0,2,vim_tiny,brain_tumor,0.3,10,base.layers.9.mixer,0.888087
1,0,2,vim_tiny,brain_tumor,0.3,11,base.layers.10.mixer,0.982227
1,0,2,vim_tiny,brain_tumor,0.3,12,base.layers.11.mixer,0.966285
1,0,2,vim_tiny,brain_tumor,0.3,13,classifier,0.270326
1,0,3,vim_tiny,brain_tumor,0.3,0,base.patch_embed,0.999911
1,0,3,vim_tiny,brain_tumor,0.3,1,base.layers.0.mixer,0.978513
1,0,3,vim_tiny,brain_tumor,0.3,2,base.layers.1.mixer,0.976880
1,0,3,vim_tiny,brain_tumor,0.3,3,base.layers.2.mixer,0.959351
1,0,3,vim_tiny,brain_tumor,0.3,4,base.layers.3.mixer,0.890368
1,0,3,vim_tiny,brain_tumor,0.3,5,base.layers.4.mixer,0.966690
1,0,3,vim_tiny,brain_tumor,0.3,6,base.layers.5.mixer,0.982597
1,0,3,vim_tiny,brain_tumor,0.3,7,base.layers.6.mixer,0.976499
1,0,3,vim_tiny,brain_tumor,0.3,8,base.layers.7.mixer,0.964791
1,0,3,vim_tiny,brain_tumor,0.3,9,base.layers.8.mixer,0.913462
1,0,3,vim_tiny,brain_tumor,0.3,10,base.layers.9.mixer,0.838946
1,0,3,vim_tiny,brain_tumor,0.3,11,base.layers.10.mixer,0.974378
