round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,36.804,26.2638,44.9323,35.6797,0,0.172946,0.088735,4.182013,0.84121,0.707339,0.096487,0.003462,0.001776,0.002277,0.000458,0.025458,0.003473,0.485858,0.043582,0.099708,55.0336,37.8676,92.9012,15.8851
2,0.00999014,24.4989,9.839,6.1247,25.0,0,0.110327,0.03538,1.655233,0.514368,0.608933,0.345696,0.002208,0.000708,0.000901,0.00028,0.021916,0.012442,0.807167,0.274967,0.238952,46.7428,48.9362,95.679,12.3484
3,0.00996061,47.1047,39.9807,38.7573,46.279,0,0.165693,0.065562,1.570495,0.580067,0.876132,0.584715,0.003317,0.001312,0.000855,0.000316,0.031533,0.021044,0.86019,0.224823,0.211438,37.6177,55.3191,92.9368,13.827
4,0.00991152,48.7751,42.7092,64.3116,49.5097,0,0.098595,0.03293,1.317747,0.38228,0.710691,0.403888,0.001973,0.000659,0.000717,0.000208,0.025578,0.014536,0.818778,0.184969,0.275183,29.0598,65.3846,94.4444,9.0445
5,0.00984307,45.3786,30.0031,47.6067,44.1834,0,0.103746,0.04574,1.256978,0.4046,0.764313,0.314508,0.002077,0.000916,0.000684,0.00022,0.027508,0.011319,0.786408,0.182246,0.190859,28.9886,67.3077,96.2963,8.2561
6,0.00975553,51.6704,42.7248,47.764,52.3209,0,0.074852,0.031896,1.267641,0.435529,0.647144,0.37481,0.001498,0.000638,0.00069,0.000237,0.023291,0.01349,0.621648,0.140407,0.112497,23.1784,71.6814,94.8598,7.3116
7,0.00964923,52.0601,41.4108,47.3238,50.9678,0,0.106353,0.05059,1.394057,0.410955,0.852251,0.366399,0.002129,0.001013,0.000759,0.000224,0.030673,0.013187,0.724241,0.177647,0.221067,23.1838,74.0385,97.2222,6.5842
8,0.00952461,60.7461,55.7145,70.9865,61.054,0,0.066602,0.040389,1.247955,0.458609,0.671888,0.438904,0.001333,0.000808,0.000679,0.00025,0.024182,0.015796,0.445054,0.127511,0.093914,20.3348,75.9615,96.2963,6.098
9,0.00938215,61.5256,53.7612,73.7442,60.8209,0,0.086946,0.032596,1.375589,0.36785,0.888529,0.36519,0.00174,0.000652,0.000749,0.0002,0.031979,0.013143,0.592504,0.157265,0.262581,21.96,74.3363,96.2963,6.3428
10,0.00922242,69.9332,68.0447,74.853,69.9086,0,0.060464,0.031536,1.301804,0.484293,0.616272,0.427084,0.00121,0.000631,0.000709,0.000264,0.02218,0.015371,0.400932,0.081176,0.053125,16.3416,79.646,95.9877,5.8635
11,0.00904604,59.9666,52.5776,72.9044,59.4061,0,0.078353,0.026339,1.519205,0.370611,0.809209,0.340318,0.001568,0.000527,0.000827,0.000202,0.029124,0.012248,0.546467,0.186163,0.245264,25.7953,70.1923,95.9877,7.1255
12,0.00885371,67.9287,62.5816,73.2611,67.846,0,0.066928,0.040223,1.421211,0.540391,0.647013,0.486266,0.00134,0.000805,0.000774,0.000294,0.023286,0.017501,0.354867,0.082339,0.052574,21.6923,75.2212,96.9136,6.2746
13,0.0086462,70.4343,69.1458,74.7535,70.0487,0,0.072536,0.022274,1.393568,0.326852,0.764019,0.320958,0.001452,0.000446,0.000759,0.000178,0.027498,0.011552,0.487006,0.137564,0.265913,20.7146,74.0385,94.7531,5.8593
14,0.00842431,75.0,73.5693,76.7479,74.9648,0,0.059949,0.025548,1.43117,0.506707,0.473364,0.18179,0.0012,0.000511,0.000779,0.000276,0.017037,0.006543,0.303477,0.046744,-0.031018,22.2222,75.0,97.2222,6.023
15,0.00818893,78.8419,78.8138,79.4308,78.6546,0,0.059368,0.01909,1.331974,0.399282,0.523657,0.136128,0.001188,0.000382,0.000725,0.000217,0.018847,0.004899,0.369812,0.081504,0.04581,19.9905,76.9231,96.9136,5.4476
16,0.00794099,77.4499,76.8151,77.7692,77.3773,0,0.0533,0.019075,1.345775,0.390559,0.434879,0.113899,0.001067,0.000382,0.000733,0.000213,0.015652,0.004099,0.257177,0.029213,-0.025651,22.2222,75.0,97.2222,7.115
17,0.00768145,78.2294,78.3023,78.899,78.1064,0,0.058828,0.01767,1.423172,0.378837,0.452584,0.103613,0.001178,0.000354,0.000775,0.000206,0.016289,0.003729,0.314108,0.041428,0.020519,19.3051,76.9912,96.2963,6.7118
18,0.00741136,79.6214,78.9241,79.9768,79.5386,0,0.054655,0.016886,1.359362,0.3094,0.406258,0.106027,0.001094,0.000338,0.00074,0.000168,0.014622,0.003816,0.270509,0.028627,-0.044554,19.0375,77.8761,96.9136,5.9921
19,0.00713177,78.6748,78.7195,79.574,78.4689,0,0.061266,0.018926,1.497409,0.440193,0.415656,0.098723,0.001226,0.000379,0.000815,0.00024,0.01496,0.003553,0.311289,0.042908,0.003915,21.5693,75.9615,97.5309,5.993
20,0.00684378,79.6771,79.1979,79.8191,79.5964,0,0.059265,0.021195,1.486679,0.409624,0.375853,0.089245,0.001186,0.000424,0.000809,0.000223,0.013527,0.003212,0.25494,0.023787,-0.074889,22.5309,75.0,97.5309,6.7385
