epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.16703786191537,11.666638221573796,21.78392960602549,25.67392302574243,74.38752783964365,74.33653870831239,75.30125278747796,74.43783560270263
1,36.80400890868597,26.215747993300447,44.86058389857726,35.68083594203528,82.6837416481069,82.80213668991908,82.98534087378508,82.73539710551223
2,24.4988864142539,9.838998211091235,6.124721603563475,25.0,80.56792873051225,80.62070098522636,81.0014846359102,80.49805148830413
3,53.062360801781736,45.2298572851265,40.91099828411859,52.56544767495483,84.52115812917594,84.60142793569386,84.88403077503722,84.54966112357579
4,54.56570155902004,52.10921253404521,65.87342520768004,54.9377222246609,87.52783964365256,87.5553899555505,87.62977060993703,87.5228546457747
5,54.89977728285078,46.69491741180382,68.08604211672318,54.06290194026266,87.19376391982183,87.21526784794185,87.25982885516507,87.24105725301344
6,56.90423162583519,49.66121231482139,68.92224510164316,57.30871570730389,87.19376391982183,87.22714927937002,87.33937903881372,87.25213747509876
7,63.69710467706013,59.849197582890255,70.40135504310565,63.01685467240835,88.80846325167037,88.79563480251649,88.82620457676829,88.82484085150793
8,67.03786191536749,64.05681500448114,73.83023722309436,67.1712892519836,89.69933184855235,89.6975802162913,89.70581567470842,89.71089721426637
9,66.75946547884188,63.15242328497206,72.09254204167075,66.1623199329818,89.69933184855235,89.69646417687417,89.6952249677847,89.70242333079656
10,70.48997772828508,67.73972742265359,74.88252519787467,70.46883860934773,89.03118040089086,89.06652750646687,89.14651524524763,89.06632757240536
11,64.47661469933185,60.46071160062403,70.06832179535007,63.949437092511054,89.42093541202672,89.42004631227488,89.40977046586215,89.44856403843337
12,70.60133630289532,67.68523426607464,75.54225880517795,70.52266518915576,89.086859688196,89.15219419779854,89.30402299091332,89.1423978265941
13,71.26948775055679,69.98286649957328,74.72809853178086,70.85738953563215,89.42093541202672,89.38910710978774,89.39627357573787,89.41878451587637
14,74.22048997772829,73.10441139285922,76.61844506415835,74.16892483584536,89.03118040089086,89.06346506198575,89.12867971018541,89.10119313897003
15,74.77728285077951,74.46249322191811,77.89195281936908,74.4994852057377,90.03340757238307,90.04936813881152,90.08100888662337,90.04032670138578
16,77.28285077951003,76.56691345468465,77.96636157750918,77.22504437711497,90.20044543429844,90.19492770022418,90.21953329827276,90.19024761419061
17,80.06681514476614,80.0429068151948,80.44845253306066,79.896419756953,89.53229398663697,89.5493021597014,89.60830400954644,89.57982424492322
18,78.4521158129176,77.78147750640015,78.77569011080183,78.36775743042324,89.25389755011136,89.22258529568818,89.20451901308482,89.26071992775371
19,80.40089086859689,80.33374711208512,80.51608065077895,80.23937624937794,89.75501113585747,89.72495177253717,89.72360770228265,89.77788193541927
20,79.62138084632517,79.09792012188348,79.57772614128264,79.51899849766387,89.81069042316258,89.77858616602032,89.76371410186752,89.82580564377274
21,80.40089086859689,80.0838789789561,80.15927815182988,80.26683105968951,89.92204899777283,89.8854437452409,89.89782630121195,89.89665058206894
22,80.73496659242761,80.40287444992464,80.50997438854068,80.59924980604278,89.47661469933185,89.46207471826212,89.5070631414614,89.4763629902506
23,81.45879732739421,81.22553731731081,81.26955390476903,81.33621472210481,89.25389755011136,89.21687473479884,89.24216326926665,89.20025669429828
24,81.29175946547885,81.01841586840759,81.09839655528067,81.17150583548582,90.53452115812918,90.53808032738053,90.5484597289233,90.56376038281458
25,81.12472160356347,80.92597034370598,80.98207164280605,81.02042524842061,90.03340757238307,89.97825439479874,89.96747978375065,90.00023754518475
26,81.62583518930958,81.48215786129323,81.51665877021227,81.51151548525803,90.31180400890868,90.31519204290042,90.32750692400168,90.3228853114832
27,81.34743875278396,81.18672857363265,81.22445384152778,81.23823426924368,88.36302895322939,88.3569990357297,88.40041133092996,88.32950007866796
28,81.23608017817372,80.96977038333955,81.03184291844553,81.11341084059308,90.20044543429844,90.20574277832966,90.22136368556724,90.23039977874326
29,81.68151447661471,81.4982960657607,81.63913696795883,81.59795838144245,89.81069042316258,89.82054852593448,89.82292863449987,89.8349391420704
30,81.73719376391982,81.50079283061031,81.57308312594655,81.62750270159097,89.86636971046771,89.83282557685018,89.83447853370302,89.84872687371548
31,81.9042316258352,81.76801060940373,81.81320489001553,81.78706808453133,88.97550111358574,88.9866372073222,89.05879055171684,89.03599700420564
32,81.34743875278396,81.0902272331174,81.23363784670839,81.2427346191805,90.0890868596882,90.05386853262351,90.03719548038876,90.08059033276794
33,82.01559020044543,81.83149433994927,81.94013599251132,81.91899345452967,89.30957683741649,89.28930288453068,89.36354265215735,89.35524429238046
34,82.07126948775056,81.90504986277904,81.97798382692443,81.97134279058686,90.81291759465479,90.80225993333312,90.79381294060389,90.84738273664877
35,82.51670378619154,82.35282260777161,82.45533207099902,82.42826030611947,89.30957683741649,89.22508341201656,89.27696912127826,89.29627568854195
36,82.57238307349665,82.34079299741946,82.45814665759788,82.48034940905318,89.19821826280624,89.15398372793032,89.17957076158373,89.15167337111697
37,81.9599109131403,81.66145320260568,81.85108165230136,81.853307556218,89.64365256124721,89.60144682910722,89.62934678859028,89.60958070962938
38,82.79510022271714,82.61516044881533,82.64615455770075,82.67341143738449,90.53452115812918,90.5251551480305,90.54192288848226,90.52735777005182
39,82.96213808463251,82.7422855520892,82.80496636477193,82.86000549196082,90.31180400890868,90.32257047494295,90.35856844053491,90.31510254701706
40,82.9064587973274,82.80754787283111,82.85603292258908,82.79172891464354,90.47884187082406,90.49236501576101,90.537650324534,90.49080269187462
41,83.35189309576838,83.21523196163804,83.26705140140736,83.25101374395872,90.0890868596882,90.05733568792753,90.09708934248772,90.09315014138038
42,82.85077951002228,82.72115422273184,82.84708993002322,82.78963385612592,88.36302895322939,88.3289316016199,88.4143778244764,88.341230421172
43,82.57238307349665,82.42892425945269,82.52718973040999,82.48363182358254,89.3652561247216,89.37726398957683,89.44007559904277,89.34267801030722
44,82.79510022271714,82.62968673427096,82.67344372143816,82.6792789822388,89.03118040089086,89.0551916147759,89.09914922944819,89.08129791285761
45,82.9064587973274,82.73925347092825,82.77630320932688,82.80209680943463,90.0890868596882,90.055526879657,90.03638690009925,90.12634426037074
46,82.62806236080178,82.42241166903965,82.49015486610367,82.52403854927401,91.36971046770601,91.34362960236584,91.35169606905426,91.34003585187538
47,83.40757238307349,83.28125973277395,83.3325785020154,83.30196438092261,90.75723830734967,90.76335106078584,90.81658104949301,90.75964656630377
48,83.63028953229399,83.56071658439257,83.68135839469917,83.5334976318231,89.75501113585747,89.7398256773923,89.73328759564204,89.75517204855811
49,83.79732739420935,83.63283883344529,83.70749979466822,83.70850049247623,89.86636971046771,89.83917567983144,89.83336439517456,89.88844815238798
