round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,29.0646,18.3723,25.1097,28.9604,0,0.190227,0.062,5.205027,1.014068,0.842634,0.089774,0.001941,0.000633,0.002224,0.000433,0.030327,0.003231,0.34214,0.093451,0.166942,56.4815,36.1111,92.5926,18.2963
2,0.00999014,26.7261,14.4626,26.6275,27.5,0,0.181635,0.114044,0.909053,0.531473,0.666328,0.530591,0.001854,0.001164,0.000388,0.000227,0.023982,0.019096,0.863765,0.348504,0.218495,50.6004,41.5929,92.1933,15.3203
3,0.00996061,27.0045,14.6988,26.1863,27.0662,0,0.268182,0.118949,1.303179,0.378422,1.473367,0.70655,0.002737,0.001214,0.000557,0.000162,0.053028,0.025429,0.827708,0.420043,0.488952,38.3472,53.8462,92.1933,12.4055
4,0.00991152,24.8886,10.9513,27.2671,25.5789,0,0.213884,0.127607,1.019123,0.762245,0.802812,0.783694,0.002183,0.001302,0.000435,0.000326,0.028894,0.028206,0.844383,0.351002,0.354098,29.6933,62.5,92.1933,8.9877
5,0.00984307,40.7016,32.4724,31.854,40.3424,0,0.335809,0.101197,1.523754,0.37842,1.865422,0.855279,0.003427,0.001033,0.000651,0.000162,0.067138,0.030782,0.86485,0.509622,0.570452,43.3933,48.8,92.1933,12.8249
6,0.00975553,24.6102,10.4327,19.7428,25.3158,0,0.18581,0.108378,1.027275,0.785524,0.709905,0.528802,0.001896,0.001106,0.000439,0.000336,0.02555,0.019032,0.864852,0.349575,0.366648,45.3651,47.2,92.5651,14.4166
7,0.00964923,31.8486,22.9259,29.7454,31.9816,0,0.336181,0.122472,1.758491,0.490411,1.92575,0.801147,0.003431,0.00125,0.000751,0.00021,0.069309,0.028834,0.80726,0.565515,0.609967,33.281,60.177,93.4579,11.3372
8,0.00952461,37.6949,26.9669,27.4521,37.6607,0,0.288437,0.202537,1.069337,0.781534,0.97588,0.917914,0.002944,0.002067,0.000457,0.000334,0.035123,0.033036,0.879903,0.387672,0.37711,27.0579,68.2692,95.3271,8.4778
9,0.00938215,33.2405,24.7758,28.983,33.2913,0,0.476149,0.171653,2.937823,2.673065,1.70538,0.772875,0.00486,0.001752,0.001255,0.001142,0.061378,0.027816,0.73817,0.398529,0.551772,54.2672,38.2979,92.5651,16.534
10,0.00922242,33.9087,23.4982,26.7317,34.077,0,0.290021,0.220882,0.913451,0.592724,0.844489,0.691423,0.00296,0.002254,0.00039,0.000253,0.030394,0.024885,0.896258,0.352078,0.130546,33.8835,59.5745,93.4579,10.0068
