round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,26.7261,14.2521,25.7379,26.8031,0,0.181088,0.058498,4.871509,0.923962,0.789628,0.075809,0.001848,0.000597,0.002082,0.000395,0.028419,0.002728,0.34627,0.091869,0.169173,56.0822,36.1111,92.1933,18.0922
2,0.00999014,25.6125,12.4506,24.3645,26.3636,0,0.177689,0.110995,0.899523,0.510288,0.622276,0.495127,0.001814,0.001133,0.000384,0.000218,0.022396,0.01782,0.833497,0.347981,0.21895,62.5933,29.6,92.1933,16.6136
3,0.00996061,37.3608,30.6609,50.0781,37.0201,0,0.280265,0.151966,1.267554,0.469148,1.339087,0.623758,0.00286,0.001551,0.000542,0.0002,0.048195,0.02245,0.82309,0.399616,0.43055,48.8305,43.3628,92.1933,16.4606
4,0.00991152,27.3385,15.177,29.1955,27.8947,0,0.174858,0.10158,0.817501,0.555432,0.628832,0.552776,0.001785,0.001037,0.000349,0.000237,0.022632,0.019895,0.918429,0.3393,0.276784,44.7668,47.4265,92.1933,13.5331
5,0.00984307,46.1024,39.9206,38.1333,45.7288,0,0.259269,0.092538,1.35164,0.307413,1.620651,0.744386,0.002646,0.000944,0.000578,0.000131,0.058329,0.026791,0.795654,0.489696,0.490269,35.4625,56.7308,92.1933,11.4373
6,0.00975553,24.2762,9.767,6.069,25.0,0,0.18648,0.12318,1.017364,0.793686,0.630751,0.479042,0.001903,0.001257,0.000435,0.000339,0.022701,0.017241,0.830517,0.254695,0.295209,26.7066,65.4867,92.1933,8.1346
7,0.00964923,30.5122,21.453,29.6259,30.7562,0,0.264418,0.116188,1.263684,0.335326,1.320019,0.488798,0.002699,0.001186,0.00054,0.000143,0.047509,0.017592,0.795624,0.533635,0.451282,44.9711,47.2222,92.1933,14.3968
8,0.00952461,39.922,28.7739,27.5235,39.7424,0,0.218979,0.150673,0.737054,0.424203,0.73765,0.616599,0.002235,0.001538,0.000315,0.000181,0.026549,0.022192,0.906468,0.413239,0.227287,30.4368,62.5,92.9368,8.7988
9,0.00938215,47.1047,41.28,39.5074,46.7621,0,0.225311,0.104847,0.880705,0.105442,1.095713,0.390487,0.0023,0.00107,0.000376,4.5e-05,0.039436,0.014054,0.677336,0.430945,0.309752,24.8856,67.3077,92.1933,7.2966
10,0.00922242,59.3541,51.4196,47.2921,59.0801,0,0.135589,0.098283,0.69319,0.334888,0.603698,0.411575,0.001384,0.001003,0.000296,0.000143,0.021728,0.014813,0.694942,0.206378,0.073261,24.2272,69.2308,93.4579,7.2307
