round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,29.5657,19.0547,25.4289,29.4305,0,0.19032,0.06197,5.206004,1.013812,0.84284,0.089813,0.342102,0.093656,0.166705,56.1728,36.1111,92.284,18.2483
2,0.0099846,28.5078,17.3385,27.2721,29.3182,0,0.186421,0.118192,0.925345,0.552589,0.670875,0.559393,0.827628,0.336644,0.194312,62.5933,29.6,92.1933,16.5453
3,0.0099385,32.2383,22.387,26.0609,31.9249,0,0.312492,0.163438,1.432022,0.58598,1.469282,0.700043,0.807992,0.372664,0.527775,51.4853,40.708,92.1933,17.2046
4,0.00986199,24.6659,10.5326,23.603,25.3684,0,0.182956,0.108451,0.897864,0.638178,0.674967,0.632184,0.922175,0.372237,0.305205,32.6188,59.5745,92.1933,9.7406
5,0.00975553,47.2717,40.8912,37.3155,46.8704,0,0.294688,0.108416,1.60361,0.431924,1.807739,0.826863,0.812367,0.518208,0.553667,38.211,53.9823,92.1933,12.1497
6,0.00961978,24.2762,9.767,6.069,25.0,0,0.187892,0.130648,0.922284,0.6305,0.655821,0.511658,0.830918,0.303778,0.30423,34.158,58.4071,92.5651,9.8584
7,0.00945558,39.5323,33.9241,42.6488,39.6339,0,0.316287,0.128563,1.620038,0.412168,1.606544,0.612193,0.811641,0.571935,0.511353,32.0163,60.177,92.1933,10.975
8,0.00926394,39.1982,28.1037,27.066,39.0629,0,0.253363,0.215193,0.80487,0.493946,0.859371,0.795725,0.898734,0.399751,0.406078,22.219,69.2308,91.4498,6.871
9,0.00904604,44.2094,39.7049,44.6309,44.1134,0,0.320818,0.17535,1.074402,0.170402,1.381371,0.552809,0.734173,0.407673,0.400553,20.4416,73.0769,93.5185,6.9918
10,0.00880323,39.0312,25.7335,19.3885,38.2789,0,0.292046,0.367757,3.231091,7.335776,0.692159,0.569307,0.7258,0.251054,0.175368,21.783,71.1538,92.9368,6.6937
11,0.008537,26.5033,13.4344,29.8291,26.762,0,0.261083,0.138426,1.602606,0.880705,1.091738,0.510659,0.70208,0.354087,0.311064,36.8742,55.3191,92.1933,12.2439
12,0.00824899,48.5523,41.5998,42.2749,48.9005,0,0.164273,0.087804,0.71006,0.319911,0.812809,0.486503,0.793682,0.406041,0.111776,36.8742,55.3191,92.1933,12.362
13,0.00794099,50.0557,43.8756,41.4193,49.6243,0,0.182606,0.060203,0.771203,0.154339,0.786216,0.268667,0.630759,0.311994,0.15887,36.8742,55.3191,92.1933,11.858
14,0.00761488,52.784,47.053,69.1327,52.8649,0,0.109955,0.058369,0.743968,0.36115,0.549549,0.210902,0.284782,0.052335,-0.031639,32.6188,59.5745,92.1933,10.2911
15,0.00727268,51.1136,49.117,62.2476,50.9262,0,0.116454,0.019195,0.913592,0.163783,0.560109,0.148415,0.36971,0.204062,0.071011,24.1082,68.0851,92.1933,8.1853
16,0.0069165,58.0178,55.3128,65.0288,58.0288,0,0.104099,0.046269,0.808507,0.326108,0.429193,0.141966,0.294196,0.088771,-0.027809,25.2574,67.3077,92.5651,8.1456
17,0.00654854,52.4499,50.6738,63.1641,52.2696,0,0.110255,0.017596,0.887378,0.157278,0.459145,0.084089,0.380775,0.20276,0.066644,22.3523,70.2128,92.5651,7.5016
18,0.00617106,62.1381,59.9393,64.3311,62.119,0,0.103067,0.045364,0.778007,0.31788,0.421542,0.146967,0.259533,0.042921,-0.067688,20.7422,72.5664,93.3086,6.7934
19,0.00578639,57.4053,56.5093,64.1746,57.3209,0,0.102816,0.01889,0.793393,0.127224,0.39401,0.07566,0.370914,0.116583,0.049449,24.0137,69.9115,93.9252,8.7882
20,0.0053969,59.6325,57.3063,62.1852,59.6948,0,0.097579,0.035998,0.748257,0.256647,0.385255,0.121464,0.269321,0.018737,-0.056412,21.3589,72.5664,93.9252,7.0239
21,0.005005,61.9154,61.8163,66.5057,61.82,0,0.107184,0.022834,0.793161,0.13808,0.389254,0.078648,0.295492,0.087529,0.031944,24.4235,68.1416,92.5651,7.6022
22,0.0046131,63.2517,61.9004,65.1766,63.3181,0,0.097985,0.034079,0.729865,0.200406,0.348795,0.102216,0.214344,-0.004794,-0.069485,24.6136,72.1154,96.729,7.8867
23,0.00422361,63.5301,63.5389,66.5759,63.3786,0,0.104675,0.023681,0.770676,0.153077,0.352254,0.063577,0.319047,0.066102,-0.012115,20.229,73.4513,93.6803,6.8896
24,0.00383894,62.6392,59.7618,64.16,62.5983,0,0.096011,0.032416,0.715896,0.191272,0.319331,0.093244,0.236397,-8.5e-05,-0.054651,24.6136,72.1154,96.729,7.4253
25,0.00346146,64.9777,65.1298,66.8185,64.8611,0,0.105792,0.025489,0.797981,0.16624,0.346408,0.081052,0.279157,0.069743,-0.000224,23.6953,72.5664,96.2617,7.0734
26,0.0030935,65.2004,64.0635,65.6162,65.2252,0,0.100714,0.031846,0.75169,0.213488,0.31904,0.08002,0.221298,0.024612,-0.073585,19.2701,74.0385,93.3086,6.3527
27,0.00273732,67.8731,66.6872,67.8454,67.7303,0,0.10621,0.026149,0.783235,0.143207,0.346732,0.05794,0.255116,0.07616,0.001327,37.487,61.1111,98.5981,10.3767
28,0.00239512,69.5991,68.7793,69.7317,69.4503,0,0.100449,0.028625,0.756491,0.148698,0.315975,0.063437,0.238972,0.046287,-0.020383,22.0743,76.9912,99.0654,6.6014
29,0.00206901,70.49,69.7681,70.6062,70.3711,0,0.099733,0.029504,0.73652,0.156968,0.308439,0.061021,0.239866,0.033616,-0.028535,18.9723,74.3363,93.3086,6.5279
30,0.00176101,71.1024,69.7513,71.2802,70.9003,0,0.096226,0.027619,0.716463,0.141823,0.305566,0.057418,0.208849,0.012133,-0.038701,29.9892,68.1416,98.1308,8.7146
31,0.001473,74.3875,73.4841,73.6468,74.1333,0,0.095316,0.026751,0.716706,0.141792,0.282846,0.056343,0.264285,0.020414,-0.044891,24.6299,72.5664,97.1963,7.4405
32,0.00120677,73.1069,71.9499,73.9589,72.8367,0,0.095685,0.026677,0.704667,0.123461,0.285689,0.051538,0.23485,0.028796,-0.057078,25.4942,74.0385,99.5327,7.9564
33,0.00096396,75.3898,74.3379,75.2446,75.2397,0,0.094186,0.028723,0.679107,0.168757,0.276208,0.06621,0.231121,0.0045,-0.034431,33.161,66.3717,99.5327,9.2114
34,0.00074606,75.7238,75.1787,75.6427,75.4866,0,0.098024,0.025824,0.714952,0.140959,0.27638,0.047191,0.239126,0.020176,-0.033505,19.3386,76.9231,96.2617,6.6716
35,0.00055442,74.6102,74.2327,74.2386,74.4997,0,0.095543,0.029475,0.6902,0.158241,0.259538,0.060656,0.217357,-0.002618,-0.049035,19.2847,78.8462,98.1308,6.2589
36,0.00039022,75.6125,74.4542,74.8618,75.389,0,0.100361,0.028088,0.716922,0.137985,0.275646,0.048569,0.228552,0.029998,-0.046789,21.7981,76.8,98.5981,7.5142
37,0.00025447,73.4967,73.6331,74.8788,73.3267,0,0.101918,0.0275,0.735638,0.143346,0.266245,0.048218,0.237503,0.031739,-0.028294,18.8174,78.8462,97.6636,6.2572
38,0.00014801,73.2183,71.3417,73.8768,72.9701,0,0.105652,0.03827,0.755039,0.190966,0.267143,0.069551,0.207823,0.00019,-0.071282,21.5351,76.5957,98.1308,6.7348
39,7.15e-05,72.216,72.0671,73.0857,72.0548,0,0.11195,0.027888,0.821713,0.155218,0.300191,0.063778,0.256213,0.095136,0.020498,20.539,75.0,95.539,6.5412
40,2.54e-05,77.0601,76.552,76.5733,76.9074,0,0.099223,0.030723,0.725672,0.149139,0.259912,0.05622,0.212257,0.01969,-0.063223,19.3116,77.8846,97.1963,6.5249
