round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,33.7416,22.5764,19.7101,33.3069,0,0.002119,0.000205,0.086962,0.009858,0.015248,0.002541,0.275568,0.122926,0.138204,45.3848,46.8085,92.1933,14.4945
2,0.0099846,39.922,32.8312,37.5881,39.4538,0,0.001962,0.000467,0.072628,0.023176,0.012944,0.005625,0.31092,-0.0075,0.002692,45.0779,47.1154,92.1933,13.8825
3,0.0099385,42.4276,32.8337,31.2713,41.978,0,0.001904,0.000321,0.070746,0.017257,0.011139,0.003226,0.315534,-0.02341,0.004428,51.9155,40.2778,92.1933,17.2767
4,0.00986199,39.4209,34.1111,42.2501,39.098,0,0.001763,0.000287,0.065151,0.017893,0.008286,0.002811,0.3446,-0.053922,-0.01103,59.3933,32.8,92.1933,17.1029
5,0.00975553,40.8686,36.6899,40.6563,40.7255,0,0.001811,0.000269,0.067682,0.016057,0.008623,0.00222,0.336165,-0.024405,-0.003224,35.7419,56.5421,92.284,12.8416
6,0.00961978,45.1002,38.9022,54.6197,44.7061,0,0.001793,0.000335,0.066488,0.020109,0.008728,0.002968,0.337199,-0.072286,-0.055597,39.8684,51.9531,91.8216,13.5106
7,0.00945558,43.4855,38.8109,37.7411,43.1981,0,0.001723,0.000297,0.062577,0.015889,0.007315,0.002285,0.39981,-0.012551,0.011371,43.1548,49.0385,92.1933,13.4012
8,0.00926394,47.2717,39.9399,52.5824,46.7314,0,0.001625,0.000301,0.056508,0.019853,0.006535,0.002357,0.435574,-0.067223,-0.037843,52.851,38.9706,91.8216,14.6771
9,0.00904604,41.8151,37.6449,43.5758,41.6635,0,0.00172,0.000357,0.06113,0.020069,0.007294,0.003105,0.404525,-0.026827,0.027861,52.8551,39.3382,92.1933,15.0508
10,0.00880323,45.1559,37.4608,56.2314,44.415,0,0.001686,0.000333,0.059323,0.018059,0.006239,0.002169,0.424696,-0.05447,-0.016422,34.501,57.6923,92.1933,11.4518
11,0.008537,41.5367,37.2345,61.662,41.4591,0,0.001696,0.000339,0.05945,0.019506,0.006754,0.002921,0.449764,-0.022561,0.033384,60.1933,32.0,92.1933,16.8528
12,0.00824899,40.4788,33.1484,47.8693,40.3022,0,0.001654,0.000258,0.059288,0.015217,0.005918,0.001618,0.408699,-0.068849,-0.011031,45.3848,46.8085,92.1933,14.5905
13,0.00794099,43.3185,38.4701,45.7159,43.0168,0,0.001673,0.000151,0.060402,0.010363,0.005555,0.000858,0.411411,-0.044103,0.002721,51.4853,40.708,92.1933,15.3082
14,0.00761488,56.9042,54.2975,57.6457,56.7432,0,0.001592,0.000317,0.05319,0.020405,0.005668,0.001955,0.466716,-0.07904,-0.042833,53.2063,37.5,90.7063,17.409
15,0.00727268,41.0356,36.3071,47.2502,40.8,0,0.001675,0.000203,0.058751,0.011005,0.005882,0.001175,0.434989,-0.041585,-0.027286,53.1308,39.0625,92.1933,17.5686
16,0.0069165,58.7416,57.3881,60.3801,58.6643,0,0.001622,0.000415,0.0526,0.022634,0.005922,0.002673,0.488476,-0.078387,-0.042154,56.6464,35.5469,92.1933,18.8882
17,0.00654854,47.049,43.0155,61.6671,46.8932,0,0.001666,0.000249,0.057566,0.012128,0.005618,0.00142,0.449228,-0.053688,-0.026474,47.9455,44.2478,92.1933,15.4722
18,0.00617106,48.4967,47.6875,59.1947,48.7254,0,0.001657,0.000321,0.056165,0.01714,0.005253,0.001695,0.461196,-0.070731,0.011832,42.1933,50.0,92.1933,13.4879
19,0.00578639,45.49,39.8077,56.111,45.0353,0,0.001676,0.000258,0.058652,0.013245,0.005248,0.001161,0.448701,-0.036334,-0.005638,38.3472,53.8462,92.1933,13.2184
20,0.0053969,53.9532,53.2955,64.1551,53.7261,0,0.001659,0.000244,0.05509,0.015668,0.005338,0.001394,0.472049,-0.079465,-0.041145,46.36,45.8333,92.1933,14.5247
21,0.005005,47.3274,46.951,63.4519,47.729,0,0.001694,0.000317,0.053986,0.016782,0.004702,0.001568,0.519057,-0.074671,-0.009836,31.8992,60.2941,92.1933,9.5157
22,0.0046131,41.0356,35.2034,40.1722,41.1464,0,0.001737,0.000292,0.057777,0.011545,0.005337,0.001201,0.503995,-0.005857,0.050949,57.7933,34.4,92.1933,16.8992
23,0.00422361,52.951,50.3394,60.3423,52.3205,0,0.001695,0.000386,0.051436,0.017455,0.005496,0.001374,0.565854,-0.054195,-0.048528,52.8551,39.3382,92.1933,14.3872
24,0.00383894,54.7327,54.3304,62.3299,54.5748,0,0.001767,0.000271,0.052744,0.016274,0.005515,0.00112,0.568489,-0.043905,-0.00074,51.3845,40.8088,92.1933,14.7907
25,0.00346146,48.2183,45.7102,67.6966,48.025,0,0.001801,0.000241,0.056114,0.014542,0.005092,0.001304,0.527247,-0.061632,-0.007921,43.1548,49.0385,92.1933,11.5898
26,0.0030935,60.6347,60.0065,62.2333,60.6559,0,0.001822,0.000394,0.053519,0.017963,0.004943,0.00137,0.58193,-0.081433,-0.03951,32.6188,59.5745,92.1933,11.6691
27,0.00273732,44.2094,39.4728,57.4217,44.0251,0,0.001977,0.000267,0.057112,0.008424,0.004669,0.000646,0.601578,-0.040061,0.011693,43.1548,49.0385,92.1933,14.59
28,0.00239512,56.1804,52.8101,58.0977,56.2876,0,0.002081,0.00032,0.054239,0.015666,0.005613,0.001499,0.660017,-0.052046,-0.044007,36.8742,55.3191,92.1933,12.1371
29,0.00206901,45.5457,41.1222,64.5477,45.3628,0,0.00224,0.000571,0.060044,0.009235,0.005218,0.001086,0.659279,-0.018655,0.043606,44.7668,47.4265,92.1933,14.0065
30,0.00176101,56.7929,57.2101,63.7329,57.2142,0,0.002459,0.000463,0.052306,0.017891,0.005759,0.001644,0.767924,-0.031034,0.001785,48.0527,44.1406,92.1933,13.4987
31,0.001473,51.2806,48.912,59.6721,51.1124,0,0.002682,0.000514,0.058658,0.013994,0.005071,0.001149,0.780069,-0.009011,0.006342,36.4241,55.7692,92.1933,12.6333
