round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,29.0646,18.3723,25.1097,28.9604,0,0.190227,0.062,5.205028,1.014068,0.842634,0.089775,0.001941,0.000633,0.002224,0.000433,0.030327,0.003231,0.34214,0.093451,0.166942,56.4815,36.1111,92.5926,18.2963
2,0.00999014,28.0067,16.5572,26.7862,28.8068,0,0.186503,0.118409,0.92472,0.552702,0.670472,0.559669,0.001903,0.001209,0.000395,0.000236,0.024131,0.020143,0.828172,0.337652,0.195469,62.5933,29.6,92.1933,16.541
3,0.00996061,31.9042,22.0272,25.8824,31.6091,0,0.314563,0.164752,1.44164,0.594703,1.470151,0.699074,0.00321,0.001681,0.000616,0.000254,0.052912,0.02516,0.809095,0.375058,0.520149,51.4853,40.708,92.1933,16.9419
4,0.00991152,25.4454,11.9774,28.0262,26.1053,0,0.188804,0.116371,0.928933,0.707043,0.668926,0.624386,0.001927,0.001188,0.000397,0.000302,0.024075,0.022472,0.917931,0.35185,0.297161,32.6188,59.5745,92.1933,9.7375
5,0.00984307,48.6637,41.646,36.8372,48.1645,0,0.301041,0.111011,1.572221,0.410548,1.781496,0.8017,0.003072,0.001133,0.000672,0.000175,0.064117,0.028854,0.804548,0.514009,0.555743,47.7275,44.2478,91.9753,14.4133
6,0.00975553,24.2762,9.767,6.069,25.0,0,0.19483,0.14189,0.926413,0.633376,0.679013,0.540721,0.001988,0.001448,0.000396,0.000271,0.024438,0.019461,0.839569,0.267391,0.338242,36.2996,56.6372,92.9368,10.7933
7,0.00964923,38.7528,31.5487,38.792,39.0167,0,0.300305,0.134903,1.399701,0.412502,1.441364,0.523999,0.003065,0.001377,0.000598,0.000176,0.051876,0.018859,0.797549,0.526378,0.487606,32.0163,60.177,92.1933,11.462
8,0.00952461,37.5278,26.8607,27.5788,37.5028,0,0.242584,0.202944,0.756801,0.47656,0.801768,0.729065,0.002476,0.002071,0.000323,0.000204,0.028856,0.02624,0.898917,0.379693,0.39702,26.8087,65.3846,92.1933,8.9696
9,0.00938215,48.608,43.9058,45.7619,48.3279,0,0.32516,0.160622,1.089634,0.184969,1.374962,0.555547,0.003319,0.001639,0.000466,7.9e-05,0.049486,0.019995,0.768226,0.454542,0.413233,27.7702,64.4231,92.1933,7.4297
10,0.00922242,42.2049,31.07,53.2599,41.9437,0,0.225307,0.175537,0.805153,0.521461,0.760107,0.710156,0.0023,0.001792,0.000344,0.000223,0.027357,0.025559,0.817327,0.243555,0.213535,21.3968,70.7965,92.1933,6.9643
