round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,29.0646,18.3723,25.1097,28.9604,0,0.190227,0.062,5.205028,1.014068,0.842634,0.089774,0.001941,0.000633,0.002224,0.000433,0.030327,0.003231,0.34214,0.093451,0.166942,56.4815,36.1111,92.5926,18.2963
2,0.00999014,28.0067,16.5572,26.7862,28.8068,0,0.186503,0.118409,0.924721,0.552701,0.670472,0.559669,0.001903,0.001209,0.000395,0.000236,0.024131,0.020143,0.828172,0.337651,0.195468,62.5933,29.6,92.1933,16.541
3,0.00996061,31.9042,22.0272,25.8824,31.6091,0,0.314562,0.164752,1.441633,0.594698,1.470146,0.69907,0.00321,0.001681,0.000616,0.000254,0.052912,0.02516,0.809094,0.375057,0.520154,51.4853,40.708,92.1933,16.9419
4,0.00991152,25.4454,11.9774,28.0262,26.1053,0,0.188806,0.116374,0.92897,0.707118,0.668932,0.624392,0.001927,0.001188,0.000397,0.000302,0.024075,0.022472,0.917927,0.351845,0.297165,32.6188,59.5745,92.1933,9.7375
5,0.00984307,48.608,41.5979,36.8086,48.1089,0,0.301073,0.110999,1.572374,0.41064,1.781446,0.801722,0.003073,0.001133,0.000672,0.000175,0.064116,0.028855,0.804505,0.513813,0.555735,47.9455,44.2478,92.1933,14.458
6,0.00975553,24.2762,9.767,6.069,25.0,0,0.195595,0.143438,0.961883,0.69591,0.678079,0.539002,0.001996,0.001464,0.000411,0.000297,0.024405,0.019399,0.83908,0.259808,0.338951,44.806,48.1308,92.9368,13.3458
7,0.00964923,38.6971,31.9709,37.3119,38.8905,0,0.289478,0.121783,1.350608,0.39233,1.413141,0.510646,0.002954,0.001243,0.000577,0.000168,0.05086,0.018379,0.799584,0.52415,0.475775,33.281,60.177,93.4579,11.7857
8,0.00952461,38.5301,27.6418,27.3516,38.4407,0,0.239808,0.197059,0.754966,0.479688,0.792292,0.714002,0.002448,0.002011,0.000323,0.000205,0.028515,0.025698,0.897303,0.37868,0.390564,25.8472,66.3462,92.1933,8.0753
9,0.00938215,49.6102,44.2607,43.2291,49.275,0,0.314968,0.153979,1.092886,0.188889,1.383985,0.549182,0.003215,0.001572,0.000467,8.1e-05,0.049811,0.019765,0.7268,0.412746,0.41832,25.1887,68.2692,93.4579,7.3946
10,0.00922242,40.7572,30.4932,49.8136,40.6224,0,0.229357,0.181477,0.791597,0.53345,0.759807,0.722892,0.002341,0.001852,0.000338,0.000228,0.027346,0.026017,0.856117,0.248972,0.240528,20.4497,72.1154,92.5651,6.6572
11,0.00904604,44.4321,36.1962,34.5912,43.9623,0,0.235843,0.08543,0.919971,0.135411,1.086966,0.449151,0.002407,0.000872,0.000393,5.8e-05,0.039121,0.016165,0.707835,0.348289,0.321479,22.5265,71.1538,93.6803,7.1007
12,0.00885371,56.7372,50.1228,61.217,56.5646,0,0.112848,0.062129,0.742487,0.385506,0.630142,0.377203,0.001152,0.000634,0.000317,0.000165,0.022679,0.013576,0.523051,0.190849,0.012111,19.3925,75.0,94.3925,6.6771
13,0.0086462,49.4989,46.0792,63.3768,49.2402,0,0.154505,0.036366,0.894429,0.111378,0.667199,0.187338,0.001577,0.000371,0.000382,4.8e-05,0.024013,0.006742,0.409728,0.234516,0.126743,28.2324,65.3846,93.617,8.6906
