round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,24.3183,9.7807,6.0796,25.0,0,0.530023,0.123373,7.755972,1.252896,1.066302,0.187588,0.002128,0.000495,0.003054,0.000493,0.014896,0.002621,0.085592,-0.001441,0.061406,45.2381,33.3333,78.5714,14.3785
2,0.00999014,25.8208,10.2609,6.4552,25.0,0,0.459456,0.138904,5.981376,1.305371,0.938187,0.187061,0.001845,0.000558,0.002355,0.000514,0.013106,0.002613,0.108389,0.011726,0.01486,72.1971,17.0886,89.2857,19.3592
3,0.00996061,33.1664,26.7313,27.5398,33.1664,0,0.403158,0.123044,4.795244,1.089426,0.856156,0.130943,0.001618,0.000494,0.001888,0.000429,0.01196,0.001829,0.16577,0.028065,-0.00354,56.0388,28.3019,84.3407,17.0454
4,0.00991152,30.4953,20.7019,23.1972,30.8041,0,0.352993,0.115244,3.938694,0.971306,0.806252,0.127378,0.001417,0.000463,0.001551,0.000382,0.011263,0.001779,0.202845,0.033877,0.008438,49.1723,35.443,84.6154,13.7399
5,0.00984307,42.0701,35.3131,54.4851,42.6366,0,0.325674,0.115433,3.557695,0.938676,0.775872,0.124958,0.001307,0.000463,0.001401,0.00037,0.010839,0.001746,0.246094,0.034821,-0.000452,28.1972,61.6379,89.8352,8.258
6,0.00975553,55.1475,52.8032,63.0552,55.688,0,0.298308,0.102237,3.176448,0.833074,0.7218,0.12685,0.001198,0.00041,0.001251,0.000328,0.010084,0.001772,0.240224,0.0372,0.003524,35.0466,55.0633,90.1099,11.5691
7,0.00964923,69.2821,68.3212,73.1038,69.7736,0,0.291653,0.09393,2.929877,0.767072,0.664146,0.13172,0.001171,0.000377,0.001154,0.000302,0.009278,0.00184,0.238079,0.032264,-0.01637,21.7081,63.9241,85.6322,6.1875
8,0.00952461,77.9633,78.0971,79.7659,78.1949,0,0.278551,0.095062,2.77901,0.763705,0.648241,0.140608,0.001118,0.000382,0.001094,0.000301,0.009056,0.001964,0.250837,0.029371,-0.006716,15.7371,75.4717,91.2088,5.6133
9,0.00938215,83.1942,83.2773,83.9175,83.3587,0,0.276291,0.087425,2.684544,0.716437,0.619784,0.118451,0.001109,0.000351,0.001057,0.000282,0.008658,0.001655,0.228831,0.026171,-0.029036,23.4483,71.5517,95.0,7.5077
10,0.00922242,85.6427,85.7078,86.1534,85.7893,0,0.27033,0.084828,2.633006,0.672796,0.594988,0.152177,0.001085,0.000341,0.001037,0.000265,0.008312,0.002126,0.231337,0.018799,-0.039733,22.248,71.9828,94.2308,5.9043
11,0.00904604,84.8637,84.8535,85.549,85.0748,0,0.268091,0.087746,2.603687,0.690194,0.582284,0.161754,0.001076,0.000352,0.001025,0.000272,0.008134,0.00226,0.223174,0.019282,-0.046972,15.0452,75.431,90.4762,4.6271
12,0.00885371,86.7001,86.7585,87.4655,86.7866,0,0.276982,0.086598,2.587809,0.690884,0.554101,0.157163,0.001112,0.000348,0.001019,0.000272,0.007741,0.002196,0.213087,0.014513,-0.045453,22.3933,72.8448,95.2381,6.4181
13,0.0086462,89.2042,89.2698,89.507,89.2622,1,0.259981,0.08016,2.377524,0.637507,0.532122,0.153945,0.001044,0.000322,0.000936,0.000251,0.007434,0.002151,0.223265,0.011872,-0.043603,11.9032,82.3276,94.2308,3.4159
14,0.00842431,88.5921,88.6386,89.0037,88.705,0,0.265295,0.076367,2.405761,0.58166,0.509383,0.143676,0.001065,0.000307,0.000947,0.000229,0.007116,0.002007,0.22057,0.014863,-0.055797,14.4733,84.2767,98.75,4.143
15,0.00818893,90.1503,90.1921,90.5376,90.2154,0,0.251301,0.076274,2.258942,0.532052,0.503491,0.158551,0.001009,0.000306,0.000889,0.000209,0.007034,0.002215,0.233797,0.011661,-0.035913,20.5646,77.8481,98.4127,5.5038
16,0.00794099,90.5954,90.641,90.8248,90.6659,0,0.270629,0.085432,2.4405,0.699704,0.491078,0.156104,0.001086,0.000343,0.000961,0.000275,0.00686,0.002181,0.205456,0.009365,-0.065301,17.7759,76.7296,94.5055,5.4585
17,0.00768145,92.0423,92.079,92.5088,92.0629,0,0.250906,0.075974,2.239332,0.618892,0.497819,0.179225,0.001007,0.000305,0.000882,0.000244,0.006955,0.002504,0.230199,0.010608,-0.04662,17.6724,82.3276,100.0,5.0933
18,0.00741136,91.8197,91.8351,92.2695,91.8266,0,0.253609,0.073897,2.222773,0.545655,0.461167,0.156509,0.001018,0.000297,0.000875,0.000215,0.006442,0.002186,0.223952,0.01188,-0.046621,16.066,82.684,98.75,4.5908
19,0.00713177,92.2092,92.235,92.33,92.2744,0,0.251445,0.073744,2.220726,0.561294,0.444831,0.152186,0.001009,0.000296,0.000874,0.000221,0.006214,0.002126,0.231421,0.010767,-0.06013,11.9116,84.9138,96.8254,3.9127
20,0.00684378,93.7117,93.7217,93.8359,93.7505,0,0.246493,0.068435,2.170492,0.519374,0.432257,0.146251,0.00099,0.000275,0.000855,0.000204,0.006039,0.002043,0.235531,0.010155,-0.043932,15.1724,82.3276,97.5,3.9582
21,0.00654854,93.6561,93.6622,93.8039,93.6908,0,0.235081,0.06753,2.000941,0.538133,0.410932,0.141832,0.000944,0.000271,0.000788,0.000212,0.005741,0.001981,0.249052,0.010626,-0.046717,12.5,87.5,100.0,3.7434
22,0.00624721,92.3762,92.3842,92.8717,92.3765,0,0.252515,0.087009,2.167488,0.836083,0.410102,0.164297,0.001014,0.000349,0.000853,0.000329,0.005729,0.002295,0.232475,0.009746,-0.04632,26.0085,71.519,97.5275,7.5688
23,0.00594097,93.5448,93.5558,93.6846,93.5732,0,0.244449,0.079148,2.088189,0.567435,0.379764,0.129966,0.000981,0.000318,0.000822,0.000223,0.005305,0.001816,0.237694,0.006329,-0.061406,10.4121,87.0879,97.5,2.6279
24,0.00563104,94.2126,94.2065,94.4693,94.2092,0,0.229067,0.064394,1.886586,0.49454,0.355085,0.136841,0.00092,0.000259,0.000743,0.000195,0.004961,0.001912,0.265418,0.014773,-0.037213,15.0862,84.9138,100.0,3.7004
25,0.00531864,93.7117,93.6823,94.0427,93.7135,0,0.220628,0.061366,1.797899,0.368446,0.344439,0.129663,0.000886,0.000246,0.000708,0.000145,0.004812,0.001811,0.277747,0.010125,-0.040832,5.6745,89.6552,95.3297,1.9106
26,0.005005,94.6578,94.6569,94.7518,94.6783,0,0.228733,0.064417,1.888214,0.491427,0.333044,0.131097,0.000918,0.000259,0.000743,0.000193,0.004653,0.001831,0.251444,0.007259,-0.041152,9.0948,89.6552,98.75,2.6567
27,0.00469136,94.6021,94.5913,94.7692,94.607,0,0.223611,0.05912,1.802074,0.380407,0.322088,0.122217,0.000898,0.000237,0.00071,0.00015,0.0045,0.001707,0.282546,0.01336,-0.048732,9.9569,88.7931,98.75,2.6711
28,0.00437896,94.8247,94.8302,95.0499,94.832,0,0.2307,0.062745,1.878756,0.554138,0.314217,0.126259,0.000926,0.000252,0.00074,0.000218,0.00439,0.001764,0.265069,0.008932,-0.050811,10.2443,88.5057,98.75,2.682
29,0.00406903,94.7691,94.761,94.8701,94.7832,0,0.235073,0.058396,1.982056,0.363335,0.278826,0.098895,0.000944,0.000234,0.00078,0.000143,0.003895,0.001382,0.25461,0.009751,-0.05265,7.1695,89.0805,96.25,2.6597
30,0.00376279,94.8247,94.8155,95.0093,94.8354,0,0.208333,0.053392,1.615797,0.306734,0.268445,0.101664,0.000836,0.000214,0.000636,0.000121,0.00375,0.00142,0.317299,0.019778,-0.01869,8.2175,90.5325,98.75,2.4247
31,0.00346146,95.1586,95.1467,95.2275,95.1807,0,0.208175,0.065181,1.606006,0.628866,0.259605,0.130678,0.000836,0.000262,0.000632,0.000248,0.003627,0.001826,0.3265,0.011499,-0.046437,11.4943,88.5057,100.0,3.3768
32,0.00316622,94.7691,94.7675,95.0554,94.7646,0,0.210754,0.064614,1.672943,0.475146,0.248876,0.104339,0.000846,0.000259,0.000659,0.000187,0.003477,0.001458,0.309557,0.009744,-0.047257,13.0172,84.4828,97.5,3.6238
33,0.00287823,95.2699,95.2744,95.4008,95.2794,0,0.212621,0.062433,1.606846,0.562325,0.240792,0.114538,0.000854,0.000251,0.000633,0.000221,0.003364,0.0016,0.314086,0.017197,-0.041433,17.8161,82.1839,100.0,4.7518
34,0.00259864,94.2682,94.2448,94.6205,94.2621,0,0.208303,0.076001,1.642727,0.637077,0.238755,0.123183,0.000836,0.000305,0.000647,0.000251,0.003335,0.001721,0.326726,0.012561,-0.032221,9.1954,90.8046,100.0,3.1065
35,0.00232855,95.4925,95.498,95.6081,95.5062,0,0.20609,0.052066,1.598253,0.346643,0.22649,0.090471,0.000827,0.000209,0.000629,0.000136,0.003164,0.001264,0.329264,0.014289,-0.056532,6.8539,90.9483,97.8022,2.443
36,0.00206901,95.2699,95.279,95.4314,95.2756,0,0.185128,0.055856,1.29658,0.430616,0.182203,0.067696,0.000743,0.000224,0.00051,0.00017,0.002545,0.000946,0.397705,0.021572,-0.043286,10.6509,89.3491,100.0,3.104
37,0.00182107,94.8804,94.8853,95.0152,94.8951,0,0.213863,0.054575,1.699956,0.376892,0.203111,0.060446,0.000859,0.000219,0.000669,0.000148,0.002837,0.000844,0.289605,0.010183,-0.041974,10.3879,88.3621,98.75,3.1556
38,0.00158569,95.882,95.8718,96.04,95.8781,0,0.189225,0.06668,1.407476,0.504752,0.181764,0.056607,0.00076,0.000268,0.000554,0.000199,0.002539,0.000791,0.375979,0.024003,-0.03834,7.034,91.716,98.75,1.9785
39,0.0013638,95.7151,95.7143,95.8792,95.7093,0,0.19734,0.054992,1.475019,0.58287,0.195795,0.092893,0.000792,0.000221,0.000581,0.000229,0.002735,0.001298,0.354177,0.021113,-0.030203,7.8017,90.9483,98.75,2.8607
40,0.00115629,95.6038,95.6002,95.7073,95.6102,0,0.196358,0.070401,1.516592,0.527771,0.189213,0.078964,0.000788,0.000283,0.000597,0.000208,0.002643,0.001103,0.351494,0.013188,-0.033844,6.5086,92.2414,98.75,2.0411
41,0.00096396,95.7151,95.7297,95.8857,95.7143,0,0.187393,0.046502,1.3412,0.31555,0.174614,0.063133,0.000752,0.000187,0.000528,0.000124,0.002439,0.000882,0.382384,0.021646,-0.050718,8.8757,91.1243,100.0,2.3359
42,0.00078758,95.6594,95.6491,95.7642,95.6623,0,0.187106,0.062845,1.321884,0.4629,0.157922,0.06514,0.000751,0.000252,0.00052,0.000182,0.002206,0.00091,0.391493,0.021431,-0.037585,8.658,91.342,100.0,2.5758
43,0.00062785,95.9933,96.0021,96.1748,95.9904,0,0.182725,0.055977,1.225487,0.454737,0.152361,0.056244,0.000734,0.000225,0.000482,0.000179,0.002128,0.000786,0.419945,0.022431,-0.036753,7.8017,90.9483,98.75,2.7446
44,0.00048539,96.2716,96.2764,96.4305,96.2657,0,0.175505,0.070463,1.212422,0.438306,0.142832,0.052896,0.000705,0.000283,0.000477,0.000173,0.001995,0.000739,0.434652,0.018234,-0.010437,8.8757,91.1243,100.0,2.3818
45,0.00036077,95.1029,95.0982,95.2704,95.1114,0,0.207247,0.085483,1.621714,0.826124,0.161035,0.078475,0.000832,0.000343,0.000638,0.000325,0.00225,0.001096,0.345588,0.018133,-0.04553,62.069,37.931,100.0,17.4734
46,0.00025447,95.882,95.8867,95.9982,95.8888,0,0.179583,0.05172,1.231304,0.417489,0.140076,0.070288,0.000721,0.000208,0.000485,0.000164,0.001957,0.000982,0.408634,0.028351,-0.04421,12.426,87.574,100.0,3.2479
47,0.00016693,95.9933,95.9977,96.0994,95.9937,0,0.170863,0.055906,1.098428,0.309395,0.128592,0.053706,0.000686,0.000224,0.000432,0.000122,0.001796,0.00075,0.444034,0.027698,-0.031981,8.284,91.716,100.0,2.6979
48,9.848e-05,95.8264,95.8265,95.9265,95.838,0,0.167556,0.055024,1.09921,0.30205,0.121027,0.043871,0.000673,0.000221,0.000433,0.000119,0.001691,0.000613,0.469035,0.02399,-0.037356,12.069,87.931,100.0,3.5278
49,4.939e-05,95.9933,96.0011,96.1488,95.9899,0,0.170171,0.059977,1.149247,0.377978,0.125841,0.050144,0.000683,0.000241,0.000452,0.000149,0.001758,0.000701,0.452052,0.024429,-0.02534,10.2219,88.6792,98.9011,3.6358
50,1.986e-05,96.1046,96.1174,96.2349,96.1022,0,0.170804,0.057845,1.097503,0.463494,0.118913,0.063086,0.000686,0.000232,0.000432,0.000182,0.001661,0.000881,0.467566,0.030032,-0.021405,9.4009,89.3491,98.75,2.9686
