round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,25.0974,10.0311,6.2743,25.0,0,0.003492,0.000124,0.063811,0.002473,0.017068,0.004805,0.462009,0.013037,0.531353,48.0817,3.0172,51.0989,15.9593
2,0.0099846,25.0974,10.0311,6.2743,25.0,0,0.003803,0.00013,0.063251,0.001244,0.017072,0.006458,0.498694,0.027908,0.344711,57.3276,3.0172,60.3448,21.136
3,0.0099385,24.3183,9.7807,6.0796,25.0,0,0.003906,0.000165,0.063691,0.002475,0.01557,0.006246,0.513705,0.009182,0.269608,53.9956,6.3492,60.3448,16.3626
4,0.00986199,24.3183,9.7807,6.0796,25.0,0,0.004096,0.000227,0.063299,0.001608,0.016737,0.004145,0.512924,0.013105,0.150272,60.4748,3.0172,63.4921,18.2246
5,0.00975553,24.3183,9.7807,6.0796,25.0,0,0.00406,0.000196,0.063479,0.001547,0.013968,0.004854,0.536182,0.003126,0.024804,40.7376,22.7545,63.4921,13.2803
6,0.00961978,24.3183,9.7807,6.0796,25.0,0,0.00408,0.000203,0.063913,0.002666,0.011835,0.003016,0.528247,0.041474,0.034561,40.7376,22.7545,63.4921,13.3207
7,0.00945558,24.3183,9.7807,6.0796,25.0,0,0.004096,0.0002,0.063316,0.002092,0.012328,0.00224,0.517577,0.007099,-0.005618,31.5955,31.8966,63.4921,12.5697
8,0.00926394,24.3183,9.7807,6.0796,25.0,0,0.004128,0.00022,0.06472,0.002621,0.014128,0.003832,0.532631,0.034333,-0.0269,40.7376,22.7545,63.4921,13.2803
9,0.00904604,24.3183,9.7807,6.0796,25.0,0,0.004295,0.000202,0.062635,0.001426,0.013047,0.003899,0.547369,0.013552,0.04389,40.7376,22.7545,63.4921,13.3207
10,0.00880323,24.3183,9.7807,6.0796,25.0,0,0.004214,0.000197,0.0645,0.003044,0.012545,0.005227,0.551459,0.021925,0.073602,40.7376,22.7545,63.4921,13.3207
