round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,28.6032,22.798,25.5703,28.6993,0,0.203341,0.097734,2.388561,0.684533,0.803099,0.122353,0.471633,0.04108,0.075266,33.0096,42.1384,75.1479,9.46
2,0.0099846,48.581,40.163,42.0573,48.0671,0,0.20036,0.096312,2.198607,0.688456,0.744357,0.115561,0.514994,0.157512,0.126855,39.9985,44.0252,84.0237,12.9631
3,0.0099385,51.8086,44.6757,41.7587,51.4365,0,0.202038,0.087082,1.862334,0.58768,0.574541,0.090903,0.494807,0.156509,0.091987,30.254,52.5862,82.8402,8.7086
4,0.00986199,56.2604,48.685,45.1131,55.9217,0,0.19895,0.089698,1.768214,0.655202,0.522205,0.094275,0.469163,0.104144,0.079956,25.7626,60.7759,86.5385,8.7096
5,0.00975553,65.8876,58.3199,78.1768,65.7628,0,0.216876,0.080107,1.975375,0.538807,0.509889,0.103446,0.466986,0.179985,0.148969,27.7504,61.9048,89.6552,9.6554
6,0.00961978,71.0629,69.3535,72.5889,71.0874,0,0.200877,0.078334,1.767405,0.510736,0.450296,0.092735,0.44527,0.10618,0.077272,28.0952,61.9048,90.0,9.8728
7,0.00945558,74.6244,73.9199,75.5101,74.6676,0,0.192831,0.081663,1.726983,0.533302,0.419441,0.089623,0.451846,0.092242,0.086172,26.4623,66.0377,92.5,9.0743
8,0.00926394,79.4658,79.2669,79.0536,79.6438,0,0.197289,0.076318,1.750656,0.50482,0.40317,0.084333,0.416179,0.066406,0.110223,23.294,72.956,96.25,6.4113
9,0.00904604,80.4674,80.1656,81.2003,80.4957,0,0.204858,0.081282,1.84498,0.5811,0.352311,0.073159,0.389648,0.055388,0.077787,22.5862,72.4138,95.0,6.4793
10,0.00880323,82.3038,82.2687,82.2345,82.4921,0,0.209218,0.080747,1.925444,0.583349,0.324048,0.076917,0.36782,0.045847,0.090022,19.1379,75.8621,95.0,6.1679
11,0.008537,84.808,84.8167,85.0226,84.8707,0,0.213732,0.07516,1.984346,0.560267,0.288459,0.060188,0.339378,0.043517,0.039842,20.819,75.431,96.25,5.4958
12,0.00824899,86.5888,86.5589,86.8574,86.6279,0,0.219126,0.081761,1.992186,0.644754,0.270815,0.061073,0.32545,0.032044,0.052318,16.5086,79.7414,96.25,5.3688
13,0.00794099,86.8114,86.7403,87.0465,86.8577,1,0.224945,0.084673,2.055446,0.651871,0.250793,0.056336,0.299702,0.026716,0.010086,15.2976,80.9524,96.25,5.1876
14,0.00761488,87.813,87.7787,88.0623,87.8369,0,0.223242,0.075157,2.046802,0.597338,0.238714,0.055593,0.304564,0.02622,0.009551,19.4828,78.0172,97.5,5.5283
15,0.00727268,88.3139,88.3813,88.711,88.3236,0,0.221222,0.077285,2.031502,0.614042,0.223908,0.058975,0.303503,0.020001,0.026036,15.2155,81.0345,96.25,4.5563
16,0.0069165,87.4235,87.3047,88.3484,87.3958,0,0.23005,0.072653,2.12837,0.507855,0.218565,0.043915,0.278433,0.016587,0.010268,18.1349,79.3651,97.5,5.4603
17,0.00654854,89.1486,89.1102,89.1662,89.188,0,0.223694,0.082163,1.98985,0.640768,0.191557,0.053039,0.294693,0.016472,0.009028,17.8463,79.6537,97.5,4.7907
18,0.00617106,89.872,89.8857,90.158,89.8813,0,0.233924,0.079452,2.111128,0.599411,0.191077,0.048384,0.270381,0.016793,-0.009422,13.9655,81.0345,95.0,4.4107
19,0.00578639,89.8164,89.7952,90.8058,89.7742,0,0.222819,0.0676,1.958893,0.492575,0.181141,0.034484,0.29253,0.020105,0.012554,16.4224,82.3276,98.75,4.556
20,0.0053969,90.4285,90.4212,90.8457,90.4201,0,0.22088,0.066666,1.869675,0.63352,0.162834,0.04932,0.295163,0.014098,0.015902,17.7586,79.7414,97.5,5.5356
21,0.005005,91.4858,91.5101,91.5733,91.5162,0,0.22041,0.075397,1.811836,0.673337,0.146698,0.042747,0.298375,0.012938,0.023367,16.5086,79.7414,96.25,4.6963
22,0.0046131,90.5954,90.56,91.2111,90.5712,0,0.244321,0.059562,2.140924,0.474136,0.171214,0.036848,0.241205,0.011694,0.015248,13.67,82.7586,96.4286,4.4137
23,0.00422361,91.4302,91.4567,91.6362,91.4331,0,0.228408,0.06981,1.905104,0.544536,0.156412,0.033422,0.275744,0.015284,0.003566,21.7424,75.7576,97.5,5.7106
24,0.00383894,91.5415,91.5137,92.1487,91.5212,0,0.212625,0.065204,1.728469,0.499557,0.135529,0.031909,0.321994,0.014566,-0.015599,16.9805,80.5195,97.5,4.7216
25,0.00346146,91.8197,91.8657,92.1283,91.8128,0,0.205618,0.058243,1.629378,0.440649,0.130398,0.034376,0.332174,0.014948,0.016445,13.373,84.127,97.5,4.2729
26,0.0030935,91.9866,92.023,92.2714,91.9839,0,0.236463,0.072634,1.999782,0.616142,0.135686,0.037609,0.261099,0.011372,0.003728,14.3831,83.1169,97.5,4.5194
27,0.00273732,91.0963,91.1145,91.8851,91.0515,0,0.212757,0.068355,1.648669,0.608619,0.131034,0.03249,0.328031,0.02249,0.001614,20.8766,76.6234,97.5,5.8639
28,0.00239512,91.6528,91.6574,92.2592,91.6241,0,0.212419,0.065891,1.672196,0.598897,0.122595,0.037284,0.311172,0.014176,-0.009382,13.4483,84.0517,97.5,3.8425
29,0.00206901,92.0423,92.0453,92.2686,92.0491,0,0.229063,0.085878,1.859849,0.70497,0.128275,0.03875,0.287016,0.012164,-0.011247,18.8836,78.6164,97.5,5.9296
